category,name,when,place,seq,href
공연-자유참가작,서정희,2026.09.26 (토) 17:00,탈춤공원 / 탈춤공원무대,4403,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4403
공연-자유참가작,소리뫼놀이패,2026.09.27 (일) 18:00,탈춤공원 / 탈춤공원무대,4422,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=4&seq=4422
공연-자유참가작,소리샘 통기타,2026.09.29 (화) 14:00,탈춤공원 / 탈춤공원무대,4476,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4476
공연-자유참가작,소리향경기민요예술원,2026.10.01 (목) 14:30,중앙선1942 / 메인무대,4409,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4409
공연-자유참가작,소명예술연구소,2026.09.26 (토) 11:00,중앙선1942 / 메인무대,4449,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4449
공연-자유참가작,수아브(Suave),2026.09.30 (수) 16:00,중앙선1942 / 메인무대,4459,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4459
공연-자유참가작,신명어울림공연단,2026.10.01 (목) 13:00,중앙선1942 / 메인무대,4479,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4479
공연-자유참가작,실버스타즈하모니카연주단,2026.09.29 (화) 19:30,중앙선1942 / 메인무대,4415,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4415
공연-자유참가작,싱어송라이터 김현수,2026.09.27 (일) 19:00,탈춤공원 / 탈춤공원무대,4406,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4406
공연-자유참가작,아랑고고장구 대곡지부,2026.10.04 (일) 12:00,탈춤공원 / 탈춤공원무대,4443,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=5&seq=4443
공연-민속놀이,안동놋다리밟기,2026.10.03. (18:00),중앙선1942 메인무대,4394,/2024/sub2/sub1_6.asp?yflag=2026&search=&page=1&seq=4394
공연-민속놀이,안동차전놀이,2026.10.03 (13:00),중앙선1942 메인무대,4393,/2024/sub2/sub1_6.asp?yflag=2026&search=&page=1&seq=4393
공연-하회마을행사,강신,2026.09.25 (10:00),하회마을,4492,/2024/sub2/sub1_7.asp?yflag=2026&search=&page=1&seq=4492
공연-하회마을행사,속초사자놀음,2026.09.27 (13:00),하회마을 / 전수회관,4335,/2024/sub2/sub1_7.asp?yflag=2026&search=&page=1&seq=4335
공연-하회마을행사,영양원놀음,2026.09.27 (15:30),하회마을 / 전수회관,4336,/2024/sub2/sub1_7.asp?yflag=2026&search=&page=1&seq=4336
공연-하회마을행사,예천청단놀음,2026.10.04 (15:30),하회마을 / 전수회관,4334,/2024/sub2/sub1_7.asp?yflag=2026&search=&page=1&seq=4334
공연-하회마을행사,퇴계원산대놀이,2026.10.03 (15:30),하회마을 / 전수회관,4333,/2024/sub2/sub1_7.asp?yflag=2026&search=&page=1&seq=4333
공연-하회마을행사,하회별신굿탈놀이,2026.09.25 ~ 10.04,하회마을 / 전수회관,4370,/2024/sub2/sub1_7.asp?yflag=2026&search=&page=1&seq=4370
공연-하회마을행사,하회선유줄불놀이,"2026.09.26, 10.03. 10.04 (19:00~21:00)",하회마을 일원,4511,/2024/sub2/sub1_7.asp?yflag=2026&search=&page=1&seq=4511
전시,동아시아문화도시 탈전시,2026.09.25 ~ 10.04,탈춤공원,4504,/2024/sub2/sub18.asp?yflag=2026&search=&page=1&seq=4504
전시,세계창작탈공모전 전시,2026.09.25 ~ 10.04,중앙선1942,4501,/2024/sub2/sub18.asp?yflag=2026&search=&page=1&seq=4501
전시,전통주 박람회,2026.09.25 ~ 10.04,탈춤공원 / 벚꽃길,4503,/2024/sub2/sub18.asp?yflag=2026&search=&page=1&seq=4503
전시,주빈국(말레이시아)의 날 부스,2026.09.25 ~ 10.04,탈춤공원,4502,/2024/sub2/sub18.asp?yflag=2026&search=&page=1&seq=4502
전시,ODA전시,2026.09.25 ~ 10.04,중앙선1942,4505,/2024/sub2/sub18.asp?yflag=2026&search=&page=1&seq=4505
연계,2026 안동 K-POP 콘서트,2026.10. 2.(금) 19:00,탐춤공원 / 탈춤공원무대,4506,/2024/sub2/sub17.asp?yflag=2026&search=&page=1&seq=4506
연계,2026 경상북도건축문화의날,2026.10.01.~10.04.,안동문화예술의전당,4373,/2024/sub2/sub17.asp?yflag=2026&search=&page=1&seq=4373
연계,2026 국악한마당,2026.09.26. (14:00~15:00) / 09.27. (16:00~17:00),탈춤공원 / 탈춤공원무대,4382,/2024/sub2/sub17.asp?yflag=2026&search=&page=1&seq=4382
연계,2026 동아시아문화도시 안동 동아시아 탈전시 및 체험,2026.09.24.~10.04.,탈춤공원,4380,/2024/sub2/sub17.asp?yflag=2026&search=&page=1&seq=4380
연계,2026 상설문화콘서트,2026.09.30. (14:00~15:00),탈춤공원 / 탈춤공원무대,4386,/2024/sub2/sub17.asp?yflag=2026&search=&page=1&seq=4386
연계,2026 안동마라톤대회,2026.10.04.,안동시민운동장,4379,/2024/sub2/sub17.asp?yflag=2026&search=&page=1&seq=4379
연계,2026 안동소주 공개행사,2026.09.24.~10.04.,탈춤공원,4376,/2024/sub2/sub17.asp?yflag=2026&search=&page=1&seq=4376
연계,2026년 제24회 안동의날,2026.10.03. (15:00~18:00),중앙선1942 / 메인무대,4371,/2024/sub2/sub17.asp?yflag=2026&search=&page=1&seq=4371
연계,경북버스킹공연단,"2026.09.27.(17:00~18:00), 09.29.(20:00~21:00)",탈춤공원/ 탈춤공원무대,4387,/2024/sub2/sub17.asp?yflag=2026&search=&page=2&seq=4387
연계,나리소년소녀합창단,2026.09.29. (19:00~20:00),탈춤공원 / 탈춤공원무대,4384,/2024/sub2/sub17.asp?yflag=2026&search=&page=2&seq=4384
연계,나리어머니합창단,2026.09.29. (19:00~20:00),탈춤공원 / 탈춤공원무대,4385,/2024/sub2/sub17.asp?yflag=2026&search=&page=2&seq=4385
연계,"낭만콘서트""웃는날 좋은날""","2026.09.30. (11:00~12:00, 16:00~17:00)",탈춤공원 / 탈춤공원무대,4390,/2024/sub2/sub17.asp?yflag=2026&search=&page=2&seq=4390
연계,시화예사,2026.09.26. (15:00~17:00),탈춤공원 / 탈춤공원무대,4388,/2024/sub2/sub17.asp?yflag=2026&search=&page=2&seq=4388
연계,실버가요제,2026.09.28. (15:00~18:00),탈춤공원 / 탈춤공원무대,4383,/2024/sub2/sub17.asp?yflag=2026&search=&page=2&seq=4383
연계,웅부객주로드,2026.9.24 ~10. 4 / 축제기간 중,원도심 음식의 거리,4499,/2024/sub2/sub17.asp?yflag=2026&search=&page=2&seq=4499
연계,제10회 안동시우리꽃연구회 우리꽃 전시회,2026.09.24.~10.04.,안동시립박물관 별관,4372,/2024/sub2/sub17.asp?yflag=2026&search=&page=2&seq=4372
연계,제23회 영남가요제,2026.09.24. (19:00~21:00),탈춤공원 / 탈춤공원무대,4381,/2024/sub2/sub17.asp?yflag=2026&search=&page=3&seq=4381
연계,제2회 대한민국 증류주 대상 심사 및 시상,2026.10.02. (13:00~18:00),중앙선1942 / 메인무대,4389,/2024/sub2/sub17.asp?yflag=2026&search=&page=3&seq=4389
연계,제30회 노인의날 기념행사,2026.09.28. (08:00~12:00),탈춤공연장 무대,4374,/2024/sub2/sub17.asp?yflag=2026&search=&page=3&seq=4374
연계,주빈국(말레이시아)의 날,2026.09.29 (토) 14:00 ~ 16:00,중앙선1942 / 메인무대,4493,/2024/sub2/sub17.asp?yflag=2026&search=&page=3&seq=4493
연계,차전놀이 시연,2026.10.03. (14:00~14:30),중앙선1942 / 메인무대,4378,/2024/sub2/sub17.asp?yflag=2026&search=&page=3&seq=4378
연계,청소년어울림마당,2026.10.03. (14:00~16:00),탈춤공원 / 탈춤공원무대,4375,/2024/sub2/sub17.asp?yflag=2026&search=&page=3&seq=4375
연계,탈춤페스티벌 찾아가는 음악회,2026.10.03. (11:00~12:00),중앙선1942 / 메인무대,4391,/2024/sub2/sub17.asp?yflag=2026&search=&page=3&seq=4391
연계,하회선유줄불놀이,"2026.09.26, 10.03. 10.04 (19:00~21:00)",하회마을 일원,4377,/2024/sub2/sub17.asp?yflag=2026&search=&page=3&seq=4377
공연-자유참가작,아랑고고장구 안동지부,2026.09.28 (월) 19:00 / 2026.10.04 (일) 12:00,탈춤공원무대 / 메인무대,4411,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=6&seq=4411
공연-자유참가작,안동 연합 댄스팀,2026.09.26 (토) 20:30 / 2026.09.27 (일) 19:30,탈춤공원 / 탈춤공원무대,4482,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=6&seq=4482
공연-자유참가작,안동 으뜸 사물놀이패,2026.10.03 (10:30),탈춤공원 / 탈춤공원무대,4510,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=6&seq=4510
공연-자유참가작,안동가야금연주단,2026.09.25 (금) 18:30,탈춤공원 / 탈춤공원무대,4450,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=6&seq=4450
공연-자유참가작,안동미래태권도&줄넘기아카데미(경북도청),2026.09.27 (일) 15:00 / 2026.10.03 (토) 17:30,탈춤공원무대 / 탈춤공원버스킹무대,4427,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=6&seq=4427
공연-자유참가작,안동미래태권도&줄넘기아카데미(송현),2026.09.27 (일) 13:30 / 2026.10.03 (토) 13:30,메인무대 / 탈춤공원버스킹무대,4425,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=6&seq=4425
공연-자유참가작,안동사랑 예술단,2026.09.26 (토) 20:00,중앙선1942 / 메인무대,4397,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=6&seq=4397
공연-자유참가작,안동시종합사회복지관(위너스 키즈밸리),2026.10.04 (일) 13:00,탈춤공원 / 탈춤공원무대,4419,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=6&seq=4419
공연-자유참가작,안동아코디언동호회,2026.09.30 (수) 15:00,중앙선1942 / 메인무대,4462,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=7&seq=4462
공연-자유참가작,안동영호초등학교 탈춤동아리,2026.09.30 (수) 15:00,탈춤공원 / 탈춤공원무대,4457,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=7&seq=4457
공연-자유참가작,안동통사모(통기타를 사랑하는 모임),2026.09.29 (화) 20:50,중앙선1942 / 메인무대,4405,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=7&seq=4405
공연-자유참가작,안동하모니카앙상블,2026.10.04 (일) 15:00,중앙선1942 / 메인무대,4474,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=7&seq=4474
공연-자유참가작,안동향교국악반,2026.09.26 (토) 12:00,탈춤공원 / 탈춤공원무대,4463,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=7&seq=4463
공연-자유참가작,안민예술봉사단,2026.09.26 (토) 16:30,중앙선1942 / 메인무대,4413,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=7&seq=4413
공연-자유참가작,어게인 청춘,2026.09.29 (화) 13:00,중앙선1942 / 메인무대,4439,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=7&seq=4439
공연-자유참가작,어치브,2026.09.24 (목) 14:00,탈춤공원 / 탈춤공원무대,4453,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=7&seq=4453
공연-자유참가작,여울소리,2026.10.01 (목) 17:00,중앙선1942 / 메인무대,4433,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=8&seq=4433
공연-자유참가작,"열두장구,북아카데미",2026.09.26 (토) 16:00,중앙선1942 / 메인무대,4487,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=8&seq=4487
공연-자유참가작,영일16세 치어로빅단,2026.10.01 (목) 18:00,중앙선1942 / 메인무대,4469,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=8&seq=4469
공연-자유참가작,예술집단 단미,2026.10.04 (일) 17:00,중앙선1942 / 메인무대,4481,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=8&seq=4481
공연-자유참가작,용인대힘찬태권도,2026.09.24 (목) 16:00 / 2026.09.27 (일) 16:30,탈춤공원무대 / 탈춤공원버스킹무대,4407,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=8&seq=4407
공연-자유참가작,우리동네 친구들,2026.09.25 (금) 20:00,탈춤공원 / 탈춤공원무대,4421,/2024/sub2/sub1_4.asp?yflag=2026&search=&page=8&seq=4421
