BASE_DATE,SIDO_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,_YEAR
202105,전국,체험관광,160267,0,2021
202105,전국,레저스포츠,2210967,0,2021
202106,전국,기타관광,3050569,0,2021
202106,전국,쇼핑,4336736,0,2021
202106,전국,숙박,3376720,0,2021
202106,전국,음식,12661357,0,2021
202106,전국,문화관광,3755213,0,2021
202106,전국,역사관광,930455,0,2021
202106,전국,자연관광,2241008,0,2021
202106,전국,체험관광,150000,0,2021
202106,전국,레저스포츠,2223095,0,2021
202107,전국,기타관광,2969238,0,2021
202107,전국,문화관광,3347254,0,2021
202107,전국,쇼핑,4210218,0,2021
202107,전국,숙박,3896516,0,2021
202107,전국,음식,13357900,0,2021
202107,전국,역사관광,876647,0,2021
202107,전국,자연관광,2663483,0,2021
202107,전국,체험관광,126296,0,2021
202107,전국,레저스포츠,2071431,0,2021
202108,전국,기타관광,3290933,0,2021
202108,전국,쇼핑,4477853,0,2021
202108,전국,숙박,4159821,0,2021
202108,전국,음식,14046213,0,2021
202108,전국,문화관광,3866267,0,2021
202108,전국,역사관광,1090407,0,2021
202108,전국,자연관광,3215646,0,2021
202108,전국,체험관광,144789,0,2021
202108,전국,레저스포츠,2059363,0,2021
202109,전국,기타관광,3303865,0,2021
202109,전국,문화관광,3910253,0,2021
202109,전국,쇼핑,4930581,0,2021
202109,전국,숙박,3181728,0,2021
202109,전국,음식,12622566,0,2021
202109,전국,역사관광,1115352,0,2021
202109,전국,자연관광,2375282,0,2021
202109,전국,체험관광,161323,0,2021
202109,전국,레저스포츠,2087574,0,2021
202110,전국,기타관광,3925854,0,2021
202110,전국,문화관광,4841413,0,2021
202110,전국,쇼핑,5417952,0,2021
202110,전국,숙박,4166623,0,2021
202110,전국,음식,14814853,0,2021
202110,전국,역사관광,1437679,0,2021
202110,전국,자연관광,2644919,0,2021
202110,전국,체험관광,220771,0,2021
202110,전국,레저스포츠,2387264,0,2021
202111,전국,기타관광,3472162,0,2021
202111,전국,쇼핑,4861236,0,2021
202111,전국,숙박,3712787,0,2021
202111,전국,음식,13271050,0,2021
202111,전국,문화관광,3863662,0,2021
202111,전국,역사관광,1199825,0,2021
202111,전국,자연관광,1759283,0,2021
202111,전국,체험관광,149103,0,2021
202111,전국,레저스포츠,1934487,0,2021
202112,전국,기타관광,2833582,0,2021
202112,전국,문화관광,3003675,0,2021
202112,전국,쇼핑,4778118,0,2021
202112,전국,숙박,3428687,0,2021
202112,전국,음식,11485090,0,2021
202112,전국,역사관광,705810,0,2021
202112,전국,자연관광,1357503,0,2021
202112,전국,체험관광,123760,0,2021
202112,전국,레저스포츠,1286375,0,2021
202201,전국,전체,25996594,0,2022
202202,전국,전체,26301883,0,2022
202203,전국,전체,27564319,0,2022
202204,전국,전체,37605617,0,2022
202205,전국,전체,42946999,0,2022
202206,전국,전체,40486248,0,2022
202207,전국,전체,43401298,0,2022
202208,전국,전체,46240568,0,2022
202209,전국,전체,38294482,0,2022
202210,전국,전체,46213078,0,2022
202211,전국,전체,36891806,0,2022
202212,전국,전체,35562692,0,2022
202201,전국,기타관광,2738743,0,2022
202201,전국,문화관광,2799676,0,2022
202201,전국,쇼핑,4412964,0,2022
202201,전국,숙박,2914912,0,2022
202201,전국,음식,9589995,0,2022
202201,전국,역사관광,786214,0,2022
202201,전국,자연관광,1511853,0,2022
202201,전국,체험관광,139688,0,2022
202201,전국,레저스포츠,1102549,0,2022
202202,전국,기타관광,2579124,0,2022
202202,전국,쇼핑,3991832,0,2022
202202,전국,숙박,3016596,0,2022
202202,전국,음식,10367676,0,2022
202202,전국,문화관광,2776080,0,2022
202202,전국,역사관광,795685,0,2022
202202,전국,자연관광,1446082,0,2022
202202,전국,체험관광,132487,0,2022
202202,전국,레저스포츠,1196321,0,2022
202203,전국,기타관광,2548826,0,2022
202203,전국,문화관광,3026759,0,2022
202203,전국,쇼핑,4220149,0,2022
202203,전국,숙박,2631501,0,2022
202203,전국,음식,11178163,0,2022
202203,전국,역사관광,762087,0,2022
202203,전국,자연관광,1396076,0,2022
202203,전국,체험관광,145088,0,2022
202203,전국,레저스포츠,1655670,0,2022
202204,전국,기타관광,3569585,0,2022
202204,전국,쇼핑,4885800,0,2022
202204,전국,숙박,3749635,0,2022
202204,전국,음식,14664072,0,2022
202204,전국,문화관광,4822040,0,2022
202204,전국,역사관광,1335789,0,2022
202204,전국,자연관광,2127921,0,2022
202204,전국,체험관광,182434,0,2022
202204,전국,레저스포츠,2268341,0,2022
202205,전국,기타관광,3971017,0,2022
202205,전국,문화관광,5595460,0,2022
202205,전국,쇼핑,5377366,0,2022
202205,전국,숙박,4361059,0,2022
202205,전국,음식,17100810,0,2022
202205,전국,역사관광,1376325,0,2022
202205,전국,자연관광,2384419,0,2022
202205,전국,체험관광,217400,0,2022
202205,전국,레저스포츠,2563143,0,2022
202206,전국,기타관광,3716827,0,2022
202206,전국,문화관광,5006540,0,2022
202206,전국,쇼핑,5031773,0,2022
202206,전국,숙박,4500928,0,2022
202206,전국,음식,16349815,0,2022
202206,전국,역사관광,1033216,0,2022
202206,전국,자연관광,2229851,0,2022
202206,전국,체험관광,220002,0,2022
202206,전국,레저스포츠,2397296,0,2022
202207,전국,기타관광,3710786,0,2022
202207,전국,문화관광,5057781,0,2022
202207,전국,쇼핑,5289423,0,2022
202207,전국,숙박,5165104,0,2022
202207,전국,음식,18043236,0,2022
202207,전국,역사관광,964794,0,2022
202207,전국,자연관광,2607141,0,2022
202207,전국,체험관광,196609,0,2022
202207,전국,레저스포츠,2366424,0,2022
202208,전국,기타관광,4038540,0,2022
202208,전국,문화관광,5457084,0,2022
202208,전국,쇼핑,5410303,0,2022
202208,전국,숙박,5686225,0,2022
202208,전국,음식,18729782,0,2022
202208,전국,역사관광,1168784,0,2022
202208,전국,자연관광,3170974,0,2022
202208,전국,체험관광,222379,0,2022
202208,전국,레저스포츠,2356497,0,2022
202209,전국,기타관광,3762645,0,2022
202209,전국,문화관광,4648949,0,2022
202209,전국,쇼핑,5260675,0,2022
202209,전국,숙박,3946447,0,2022
202209,전국,음식,14893840,0,2022
