DPTR_REGN_NM,DPTR_REGN_DTL_NM,TMAP_CATE_MCLS_NM,SRCH_CNT,SPPY_SRCH_CNT,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
장수군,쇼핑,쇼핑,7463,0,549586,741.0,0.0,7463,86.0,1.4
장수군,숙박,숙박,70589,0,549586,741.0,0.0,70589,266.0,12.8
장수군,역사관광,역사관광,34766,0,549586,741.0,0.0,34766,186.0,6.3
장수군,음식,음식,88958,0,549586,741.0,0.0,88958,298.0,16.2
장수군,자연관광,자연관광,91226,0,549586,741.0,0.0,91226,302.0,16.6
장수군,체험관광,체험관광,14891,0,549586,741.0,0.0,14891,122.0,2.7
장흥군,기타관광,기타관광,109334,0,1400672,1183.0,0.0,109334,331.0,7.8
장흥군,레저스포츠,레저스포츠,169900,0,1400672,1183.0,0.0,169900,412.0,12.1
장흥군,문화관광,문화관광,264648,0,1400672,1183.0,0.0,264648,514.0,18.9
장흥군,쇼핑,쇼핑,173470,0,1400672,1183.0,0.0,173470,416.0,12.4
장흥군,숙박,숙박,112376,0,1400672,1183.0,0.0,112376,335.0,8.0
장흥군,역사관광,역사관광,54514,0,1400672,1183.0,0.0,54514,233.0,3.9
장흥군,음식,음식,313122,0,1400672,1183.0,0.0,313122,560.0,22.4
장흥군,자연관광,자연관광,202998,0,1400672,1183.0,0.0,202998,451.0,14.5
장흥군,체험관광,체험관광,310,0,1400672,1183.0,0.0,310,18.0,0.0
전주시,기타관광,기타관광,3112923,0,30416430,5515.0,0.9,3112923,1764.0,10.2
전주시,레저스포츠,레저스포츠,225491,0,30416430,5515.0,0.9,225491,475.0,0.7
전주시,문화관광,문화관광,3514867,0,30416430,5515.0,0.9,3514867,1875.0,11.6
전주시,쇼핑,쇼핑,1927276,0,30416430,5515.0,0.9,1927276,1388.0,6.3
전주시,숙박,숙박,3054180,0,30416430,5515.0,0.9,3054180,1748.0,10.0
전주시,역사관광,역사관광,2601094,0,30416430,5515.0,0.9,2601094,1613.0,8.6
전주시,음식,음식,15495676,0,30416430,5515.0,0.9,15495676,3936.0,50.9
전주시,자연관광,자연관광,473214,0,30416430,5515.0,0.9,473214,688.0,1.6
전주시,체험관광,체험관광,11709,0,30416430,5515.0,0.9,11709,108.0,0.0
정선군,기타관광,기타관광,831656,0,9864309,3141.0,0.3,831656,912.0,8.4
정선군,레저스포츠,레저스포츠,514719,0,9864309,3141.0,0.3,514719,717.0,5.2
정선군,문화관광,문화관광,2931051,0,9864309,3141.0,0.3,2931051,1712.0,29.7
정선군,쇼핑,쇼핑,704149,0,9864309,3141.0,0.3,704149,839.0,7.1
정선군,숙박,숙박,3301786,0,9864309,3141.0,0.3,3301786,1817.0,33.5
정선군,역사관광,역사관광,124204,0,9864309,3141.0,0.3,124204,352.0,1.3
정선군,음식,음식,994007,0,9864309,3141.0,0.3,994007,997.0,10.1
정선군,자연관광,자연관광,454218,0,9864309,3141.0,0.3,454218,674.0,4.6
정선군,체험관광,체험관광,8519,0,9864309,3141.0,0.3,8519,92.0,0.1
정읍시,기타관광,기타관광,1148700,0,3795698,1948.0,0.1,1148700,1072.0,30.3
정읍시,레저스포츠,레저스포츠,285336,0,3795698,1948.0,0.1,285336,534.0,7.5
정읍시,문화관광,문화관광,336394,0,3795698,1948.0,0.1,336394,580.0,8.9
정읍시,쇼핑,쇼핑,74885,0,3795698,1948.0,0.1,74885,274.0,2.0
정읍시,숙박,숙박,295124,0,3795698,1948.0,0.1,295124,543.0,7.8
정읍시,역사관광,역사관광,133659,0,3795698,1948.0,0.1,133659,366.0,3.5
정읍시,음식,음식,1327764,0,3795698,1948.0,0.1,1327764,1152.0,35.0
정읍시,자연관광,자연관광,143171,0,3795698,1948.0,0.1,143171,378.0,3.8
정읍시,체험관광,체험관광,50665,0,3795698,1948.0,0.1,50665,225.0,1.3
제물포구,기타관광,기타관광,22566,0,347919,590.0,0.0,22566,150.0,6.5
제물포구,레저스포츠,레저스포츠,3835,0,347919,590.0,0.0,3835,62.0,1.1
제물포구,문화관광,문화관광,58845,0,347919,590.0,0.0,58845,243.0,16.9
제물포구,쇼핑,쇼핑,52144,0,347919,590.0,0.0,52144,228.0,15.0
제물포구,숙박,숙박,18777,0,347919,590.0,0.0,18777,137.0,5.4
제물포구,역사관광,역사관광,868,0,347919,590.0,0.0,868,29.0,0.2
제물포구,음식,음식,106368,0,347919,590.0,0.0,106368,326.0,30.6
제물포구,자연관광,자연관광,83901,0,347919,590.0,0.0,83901,290.0,24.1
제물포구,체험관광,체험관광,615,0,347919,590.0,0.0,615,25.0,0.2
제주시,기타관광,기타관광,8596024,0,71197581,8438.0,2.1,8596024,2932.0,12.1
제주시,레저스포츠,레저스포츠,3069502,0,71197581,8438.0,2.1,3069502,1752.0,4.3
제주시,문화관광,문화관광,5115904,0,71197581,8438.0,2.1,5115904,2262.0,7.2
제주시,쇼핑,쇼핑,2846244,0,71197581,8438.0,2.1,2846244,1687.0,4.0
제주시,숙박,숙박,10118117,0,71197581,8438.0,2.1,10118117,3181.0,14.2
제주시,역사관광,역사관광,458888,0,71197581,8438.0,2.1,458888,677.0,0.6
제주시,음식,음식,29890617,0,71197581,8438.0,2.1,29890617,5467.0,42.0
제주시,자연관광,자연관광,10497292,0,71197581,8438.0,2.1,10497292,3240.0,14.7
제주시,체험관광,체험관광,604993,0,71197581,8438.0,2.1,604993,778.0,0.8
제천시,기타관광,기타관광,1924299,0,11007377,3318.0,0.3,1924299,1387.0,17.5
제천시,레저스포츠,레저스포츠,800511,0,11007377,3318.0,0.3,800511,895.0,7.3
제천시,문화관광,문화관광,534152,0,11007377,3318.0,0.3,534152,731.0,4.9
제천시,쇼핑,쇼핑,349023,0,11007377,3318.0,0.3,349023,591.0,3.2
제천시,숙박,숙박,2442292,0,11007377,3318.0,0.3,2442292,1563.0,22.2
제천시,역사관광,역사관광,393553,0,11007377,3318.0,0.3,393553,627.0,3.6
제천시,음식,음식,3661148,0,11007377,3318.0,0.3,3661148,1913.0,33.3
제천시,자연관광,자연관광,832695,0,11007377,3318.0,0.3,832695,913.0,7.6
제천시,체험관광,체험관광,69704,0,11007377,3318.0,0.3,69704,264.0,0.6
종로구,기타관광,기타관광,1052345,0,23490918,4847.0,0.7,1052345,1026.0,4.5
종로구,레저스포츠,레저스포츠,64257,0,23490918,4847.0,0.7,64257,253.0,0.3
종로구,문화관광,문화관광,6264987,0,23490918,4847.0,0.7,6264987,2503.0,26.7
종로구,쇼핑,쇼핑,2882732,0,23490918,4847.0,0.7,2882732,1698.0,12.3
종로구,숙박,숙박,3180681,0,23490918,4847.0,0.7,3180681,1783.0,13.5
종로구,역사관광,역사관광,2803741,0,23490918,4847.0,0.7,2803741,1674.0,11.9
종로구,음식,음식,7173071,0,23490918,4847.0,0.7,7173071,2678.0,30.5
종로구,자연관광,자연관광,61304,0,23490918,4847.0,0.7,61304,248.0,0.3
종로구,체험관광,체험관광,7800,0,23490918,4847.0,0.7,7800,88.0,0.0
중구,기타관광,기타관광,35586525,0,147145346,12130.0,4.3,35586525,5965.0,24.2
중구,레저스포츠,레저스포츠,2987832,0,147145346,12130.0,4.3,2987832,1729.0,2.0
중구,문화관광,문화관광,13037515,0,147145346,12130.0,4.3,13037515,3611.0,8.9
중구,쇼핑,쇼핑,27053386,0,147145346,12130.0,4.3,27053386,5201.0,18.4
중구,숙박,숙박,21695328,0,147145346,12130.0,4.3,21695328,4658.0,14.7
중구,역사관광,역사관광,785481,0,147145346,12130.0,4.3,785481,886.0,0.5
중구,음식,음식,35042643,0,147145346,12130.0,4.3,35042643,5920.0,23.8
중구,자연관광,자연관광,10738277,0,147145346,12130.0,4.3,10738277,3277.0,7.3
중구,체험관광,체험관광,218359,0,147145346,12130.0,4.3,218359,467.0,0.1
중랑구,기타관광,기타관광,216888,0,4866159,2206.0,0.1,216888,466.0,4.5
중랑구,레저스포츠,레저스포츠,32859,0,4866159,2206.0,0.1,32859,181.0,0.7
중랑구,문화관광,문화관광,820512,0,4866159,2206.0,0.1,820512,906.0,16.9
중랑구,쇼핑,쇼핑,717308,0,4866159,2206.0,0.1,717308,847.0,14.7
중랑구,숙박,숙박,305844,0,4866159,2206.0,0.1,305844,553.0,6.3
중랑구,역사관광,역사관광,48766,0,4866159,2206.0,0.1,48766,221.0,1.0
중랑구,음식,음식,2718162,0,4866159,2206.0,0.1,2718162,1649.0,55.9
중랑구,자연관광,자연관광,2042,0,4866159,2206.0,0.1,2042,45.0,0.0
중랑구,체험관광,체험관광,3778,0,4866159,2206.0,0.1,3778,61.0,0.1
증평군,기타관광,기타관광,305071,0,2246418,1499.0,0.1,305071,552.0,13.6
증평군,레저스포츠,레저스포츠,350218,0,2246418,1499.0,0.1,350218,592.0,15.6
증평군,문화관광,문화관광,126899,0,2246418,1499.0,0.1,126899,356.0,5.6
증평군,쇼핑,쇼핑,34309,0,2246418,1499.0,0.1,34309,185.0,1.5
증평군,숙박,숙박,201484,0,2246418,1499.0,0.1,201484,449.0,9.0
증평군,역사관광,역사관광,12691,0,2246418,1499.0,0.1,12691,113.0,0.6
증평군,음식,음식,981141,0,2246418,1499.0,0.1,981141,991.0,43.7
증평군,자연관광,자연관광,174084,0,2246418,1499.0,0.1,174084,417.0,7.7
증평군,체험관광,체험관광,60521,0,2246418,1499.0,0.1,60521,246.0,2.7
진도군,기타관광,기타관광,235062,0,2777130,1666.0,0.1,235062,485.0,8.5
진도군,레저스포츠,레저스포츠,35785,0,2777130,1666.0,0.1,35785,189.0,1.3
진도군,문화관광,문화관광,348457,0,2777130,1666.0,0.1,348457,590.0,12.5
진도군,쇼핑,쇼핑,79140,0,2777130,1666.0,0.1,79140,281.0,2.8
