region,visits,night,weekend,야간비중,주말비중
임실군,9183113.0,1187398.0,3614039.0,12.930234006703392,39.35527091956725
제주시,60111076.0,18173380.0,17918333.0,30.232997326482725,29.80870447236712
괴산군,11617368.0,2160282.0,4619839.0,18.59527906837418,39.76665799000256
구리시,48324562.0,8011986.0,16141611.0,16.57953154340023,33.40249829889819
안성시,36616466.0,6460505.0,12499954.0,17.64371526187153,34.13752162756504
밀양시,16012294.0,2924794.0,6737513.0,18.265927418020176,42.07712523889457
창원시 마산합포구,25286703.0,5267103.0,9121705.0,20.829536377280977,36.07312902753673
창원시 마산회원구,22601101.0,4207228.0,7114464.0,18.615146226725855,31.47839567638762
창원시 성산구,34839830.0,6728347.0,10793818.0,19.312226839223957,30.98125909339971
김천시,15764189.0,3286969.0,5579470.0,20.850860136223943,35.39332089966696
정선군,10187345.0,3114652.0,3865302.0,30.573736336601932,37.94219200390288
노원구,61534565.0,12500694.0,19415531.0,20.314914064964952,31.552235723125694
용산구,118812686.0,21220944.0,40517205.0,17.860840213645197,34.101749875429974
구례군,6485328.0,1246764.0,2875125.0,19.224378473995454,44.332761581218406
영암군,10672496.0,1932912.0,3408301.0,18.11115225529248,31.93536919573453
군산시,26817690.0,6971055.0,9684112.0,25.994241114726886,36.1109103729665
무주군,8380581.0,1956294.0,3561208.0,23.34317871278853,42.49356935992862
정읍시,11773052.0,2502083.0,4201338.0,21.252628460317684,35.68605659772844
예산군,16398129.0,3344988.0,6100853.0,20.39859547391047,37.204567667445474
부천시 소사구,30420520.0,5619059.0,10067864.0,18.47127859747302,33.095634131171984
시흥시,56498246.0,11235002.0,18935871.0,19.885576624803537,33.515856403754555
평택시,54350075.0,11810750.0,16859503.0,21.730880776153484,31.02020190404521
포천시,28267068.0,5659174.0,10210034.0,20.02037848424888,36.11989046759289
고성군,23771742.0,5597805.0,9432678.0,23.548148049057573,39.68021359141455
함안군,11526401.0,1618109.0,3913973.0,14.03828480373015,33.95659234829675
양양군,15541620.0,3930496.0,6308398.0,25.290130629882857,40.59035029810277
남동구,58331887.0,11644293.0,18720405.0,19.962140089862,32.09291857813549
목포시,28289717.0,8014175.0,9635014.0,28.328933089008984,34.05836120594631
화순군,12980920.0,2319456.0,4773309.0,17.86819424201058,36.77173112537478
영덕군,10876644.0,2706633.0,4551387.0,24.88481741242979,41.84550859621773
영주시,9517910.0,2375236.0,3443336.0,24.955436645229888,36.17743811403974
칠곡군,23083000.0,3362471.0,8020241.0,14.566871723779403,34.74522808993631
달성군,31257488.0,5772091.0,11126094.0,18.466266387113386,35.59497167526706
기장군,42224314.0,6775802.0,17098262.0,16.047157095317168,40.493877532267305
사상구,29561048.0,5462915.0,8849990.0,18.48011274837076,29.93801166995162
당진시,22250363.0,4947871.0,8197423.0,22.237259679763426,36.84174950314294
홍성군,13169252.0,2896069.0,4580760.0,21.99114270119518,34.783752334604884
증평군,6128349.0,1110294.0,2071661.0,18.117342860205905,33.80455323285276
세종특별자치시,33609583.0,7976722.0,10948899.0,23.73347506275219,32.576717777188726
문경시,12248902.0,2739330.0,4859271.0,22.363882085104443,39.67107419097646
양구군,3034165.0,753498.0,1054226.0,24.833784583237893,34.74517700916068
성북구,59138453.0,13332941.0,17529019.0,22.54529891067661,29.640645148428213
군위군,7956575.0,1016276.0,3163273.0,12.772782258697996,39.75671692908067
청주시 서원구,32194640.0,6751849.0,10436181.0,20.971966140947686,32.41589593795737
부천시 원미구,66620443.0,13108512.0,21054035.0,19.676410737767082,31.60296457350186
수원시 팔달구,76094889.0,14301493.0,27349981.0,18.7942885362511,35.941942171700916
이천시,36501258.0,7082270.0,11922813.0,19.40281071956479,32.66411530254656
진주시,23631729.0,5852201.0,8363389.0,24.764167700128926,35.39050824423384
영월군,7287029.0,1803512.0,2878162.0,24.749620181283756,39.49705703106163
평창군,17450406.0,4576092.0,7010834.0,26.223412796240957,40.175764391957415
고양시 덕양구,62382863.0,11273119.0,21972162.0,18.070858658731325,35.22147099917488
