시군,업종,2024,2026
괴산군,레저용품쇼핑,5.2079667167995245,4.6610309233018565
괴산군,기타레저,114.04648475074768,57.368480374387055
괴산군,문화서비스,23.652481536999485,21.14337504359121
괴산군,여행업,0.0,0.0
괴산군,호텔,16.17991832348285,15.601844757419645
괴산군,캠핑장/펜션,40.475649469618396,47.87582839851496
괴산군,렌터카,3.471758526543947,33.753270251187345
구례군,일반외식업,2714.3067961877186,3109.4287459484085
구례군,육상운송,779.1017413214448,740.9183223897567
구례군,기타관광쇼핑,2348.8836166115157,2184.244246126573
구례군,대형쇼핑몰,0.0,0.1435306231595889
구례군,제과음료업,642.7105986892171,1075.657792594558
구례군,골프장,6.1502706747811615,12.755116997000622
구례군,기타숙박,202.62885704468283,183.53310725993526
구례군,뷰티,20.88380697235882,27.30208679629009
구례군,레저용품쇼핑,35.77670498479078,28.170870492601008
구례군,기타레저,40.27943749244123,78.91491717457906
구례군,문화서비스,21.38590552600936,19.685192395091818
구례군,여행업,0.0,0.0
구례군,호텔,0.0,0.0
구례군,캠핑장/펜션,37.74711435229068,32.4909033939021
구례군,렌터카,2.172995218711947,4.268136049659424
구리시,일반외식업,4107.712463667171,4435.208766502556
구리시,육상운송,3157.431852447243,3176.8577135764044
구리시,기타관광쇼핑,3996.937018311015,3864.9099226600147
구리시,대형쇼핑몰,881.9890451987675,1267.596500167443
구리시,제과음료업,489.09973196897926,481.9284254800676
구리시,골프장,41.85091186153477,31.955114030521386
구리시,기타숙박,61.43634684162546,56.33479890561449
구리시,뷰티,259.92455636771047,231.87525339881108
구리시,레저용품쇼핑,171.8388803481861,138.59265809918236
구리시,기타레저,151.45194816676212,174.56481135985402
구리시,문화서비스,52.74571315710411,26.164670469097796
구리시,여행업,1.432921915096031,0.14730114165896957
