시군,방문_2024,방문_2026,관광소비_방문당_2024,관광소비_방문당_2026,체험문화_2024,체험문화_2026,방문_변화율,관광소비_변화율,체험문화_변화율
원주시,22557703.0,23349185.0,19885.041486715203,20265.200776815123,458.5239906740504,496.94805193414675,0.035086994451518416,0.019117852500026178,0.08379945660773669
음성군,11779580.0,12805374.0,27202.712999954158,24809.02720998231,249.52188448145012,179.68018739632282,0.08708239173213306,-0.0879943772511177,-0.27990209047302805
의령군,2920119.0,2984862.0,6369.925335234626,7668.111289567156,65.61684643673769,57.84321017186055,0.02217135671525705,0.20379924190818066,-0.11847012904486098
의성군,4555385.0,4444033.0,13737.097962082238,15960.385532690689,32.78230050808,23.823180430928392,-0.024444037112121175,0.16184550599735625,-0.2732913779172823
의왕시,19617134.0,20666545.0,19063.777308142973,20600.78406913202,122.51126999489324,142.65243658289276,0.0534946134333385,0.08062446052244443,0.16440256140385356
의정부시,27963671.0,29950039.0,19104.026577912464,18791.929519691108,385.017939883501,383.2063457413194,0.07103387820576201,-0.016336716081739255,-0.004705220080731154
이천시,23501886.0,25305472.0,25033.692572587577,24872.14006520013,369.0929740702512,333.73445869731256,0.07674218145726686,-0.006453403025503013,-0.09579839730628059
익산시,15896907.0,17646074.0,14349.017893858221,13623.010308128596,179.84378973846924,158.43263493058004,0.11003190746476665,-0.050596325901884676,-0.11905417940216634
인제군,5809011.0,8035452.0,12794.384792867495,10020.42311994397,161.75180250132078,100.13313501219346,0.3832736760181725,-0.21681086803563465,-0.3809457856806522
임실군,5744124.0,5955887.0,12303.370540051015,12964.771158351392,85.35156970845337,98.5665107481052,0.0368660216945178,0.053757676902221885,0.1548295020793624
장성군,6529432.0,6874320.0,17847.86272374075,20626.84658264381,41.756465187170946,60.819979285223845,0.05282052098865564,0.15570401352350904,0.45654041865377715
장수군,1775582.0,1767452.0,13507.060220254541,13360.014868862068,71.93584976644279,98.79249903250555,-0.004578780366099711,-0.010886554808719251,0.3733416558400213
장흥군,3572722.0,3653712.0,10780.373339991189,11294.943608034788,46.713682172864274,66.77400955521398,0.022668990198509764,0.0477321380081277,0.4294315166189713
정선군,6726784.0,6697697.0,14857.842618404278,15686.34457485909,930.772713974464,875.2553303023412,-0.004324057380168611,0.05576192841271266,-0.0596465526315868
정읍시,7039128.0,7285917.0,13397.171638305199,14913.71161653365,129.3322127399871,114.06072838875326,0.035059598291151906,0.11319851825234206,-0.11807951033773811
제주시,39557362.0,39206919.0,33433.476074567356,28850.41349461813,558.4577404327417,609.8690641822684,-0.008859109462354908,-0.13708005023849534,0.09205947026482031
제천시,10339663.0,10492719.0,21787.517639598118,22888.27109541388,295.3096246947313,282.3332064834673,0.014802803534312403,0.05052220606422719,-0.04394173818302771
증평군,3931643.0,4089954.0,21031.63639221567,20704.17735749595,1610.923473977673,1651.2647819510928,0.04026586340621474,-0.015569831496369924,0.025042349078078452
진도군,3485930.0,3492625.0,10258.21172542191,8407.894062488816,41.90789832268577,56.0002863175978,0.0019205778658779593,-0.18037429061321042,0.3362704539941932
진안군,3191290.0,3319211.0,9001.551723597668,10039.134902842874,37.726123291834966,22.08898440020836,0.04008441727326573,0.11526714627714352,-0.41449100854237353
진주시,14685263.0,15293406.0,14909.236831509248,14702.416453208658,248.8237357410623,333.95425453296673,0.04141178813072677,-0.013871962773003621,0.3421318249176004
진천군,8606038.0,9417565.0,24023.777608232733,23617.891567512408,215.67996794808482,169.04773155268904,0.0942973991051399,-0.016895179739810362,-0.21621032699068454
창녕군,6584552.0,6904531.0,15727.89705358846,19597.7056225832,65.16859461357431,58.79588345681988,0.048595409376370524,0.24604742489154363,-0.09778807099558084
철원군,4475445.0,4148572.0,10345.569881877667,11158.833690243293,335.4915544711196,341.1347326260699,-0.07303698291454819,0.07860986080527277,0.016820626569411967
청도군,6787793.0,6962042.0,13734.354745349483,15897.613803536377,149.84575988100994,115.32018910543775,0.02567093604651771,0.15750714891934647,-0.23040739226113827
청송군,3005144.0,3059023.0,11191.04808288721,11665.09699338645,49.241234363478085,55.59585527797601,0.017928924537393254,0.042359652732091524,0.12905080460799945
청양군,3078848.0,3406693.0,7931.0086110129505,8336.203174163331,48.41746003700085,53.372875102041775,0.106483009229426,0.05108991592667422,0.10234768740974798
춘천시,20140669.0,19743292.0,19123.932874325077,20106.323099511468,818.255788822109,991.0675990609873,-0.019730079472533912,0.051369675455476216,0.21119534086968494
충주시,20301985.0,20089071.0,18516.857341782095,17797.55649228379,310.1510517321336,295.23291544940037,-0.010487348897164517,-0.03884573047259199,-0.04809958308836404
