FSTV_ID,FSTV_REPS_NM,BASE_YEAR,FSTV_PERD_CNT,TOT_LOCAL,TOT_OUT,TOT_FORE,TOTAL_COL,TOTAL_AVG,PRE_VAL,GROTH_VAL,LOCAL_TOU_NUM_RAT,OUT_TOU_NUM_RAT,FORE_TOU_NUM_RAT,GROTH_VAL_RATE,GROTH_MARK,DISP_YN,PRE_TOTAL,PRE_TOTAL_AVG,TOTAL_AVG_VAR
KCTF0022,목포항구축제,2022,3,48985.0,48174.0,128.0,97287.0,32429.0,89593,7694.0,50.35,49.52,0.13,8.59,▲,N,89593.0,22398.25,44.8
KCTF0022,목포항구축제,2023,3,40189.0,43629.0,390.0,84208.0,28069.3333,97287,-13079.0,47.73,51.81,0.46,-13.44,▼,N,97287.0,32429.0,-13.4
KCTF0022,목포항구축제,2024,3,47855.0,49540.0,248.0,97643.0,32547.6667,84208,13435.0,49.01,50.74,0.25,15.95,▲,N,84208.0,28069.3333,16.0
KCTF0022,목포항구축제,2025,3,25501.0,5086.0,80.0,30667.0,10222.3333,97643,-66976.0,83.15,16.58,0.26,-68.59,▼,N,97643.0,32547.6667,-68.6
KCTF0023,무주반딧불축제,2018,9,78309.0,99007.0,0.0,177316.0,19701.7778,N/A,177316.0,44.16,55.84,0.0,0.0,,N,,,
KCTF0023,무주반딧불축제,2019,9,75086.0,70230.0,0.0,145316.0,16146.2222,177316,-32000.0,51.67,48.33,0.0,-18.05,▼,N,177316.0,19701.7778,-18.0
KCTF0023,무주반딧불축제,2022,9,85965.0,88057.0,88.0,174110.0,19345.5556,145316,28794.0,49.37,50.58,0.05,19.81,▲,N,145316.0,16146.2222,19.8
KCTF0023,무주반딧불축제,2023,9,87064.0,120005.0,399.0,207468.0,23052.0,174110,33358.0,41.97,57.84,0.19,19.16,▲,N,174110.0,19345.5556,19.2
KCTF0023,무주반딧불축제,2024,9,94748.0,101405.0,496.0,196649.0,21849.8889,207468,-10819.0,48.18,51.57,0.25,-5.21,▼,N,207468.0,23052.0,-5.2
KCTF0023,무주반딧불축제,2025,9,97568.0,99968.0,456.0,197992.0,21999.1111,196649,1343.0,49.28,50.49,0.23,0.68,▲,N,196649.0,21849.8889,0.7
KCTF0024,문경찻사발축제,2018,10,48486.0,126086.0,0.0,174572.0,17457.2,N/A,174572.0,27.77,72.23,0.0,0.0,,N,,,
KCTF0024,문경찻사발축제,2019,10,48092.0,121642.0,0.0,169734.0,16973.4,174572,-4838.0,28.33,71.67,0.0,-2.77,▼,N,174572.0,17457.2,-2.8
KCTF0024,문경찻사발축제,2022,9,49408.0,117671.0,212.0,167291.0,18587.8889,169734,-2443.0,29.53,70.34,0.13,-1.44,▼,N,169734.0,16973.4,9.5
KCTF0024,문경찻사발축제,2023,9,59726.0,146531.0,1241.0,207498.0,23055.3333,167291,40207.0,28.78,70.62,0.6,24.03,▲,N,167291.0,18587.8889,24.0
KCTF0024,문경찻사발축제,2024,10,64582.0,179998.0,1170.0,245750.0,24575.0,207498,38252.0,26.28,73.24,0.48,18.43,▲,N,207498.0,23055.3333,6.6
KCTF0024,문경찻사발축제,2025,9,58704.0,196700.0,1166.0,256570.0,28507.7778,245750,10820.0,22.88,76.67,0.45,4.4,▲,N,245750.0,24575.0,16.0
KCTF0025,밀양아리랑대축제,2018,4,82638.0,31585.0,0.0,114223.0,28555.75,N/A,114223.0,72.35,27.65,0.0,0.0,,N,,,
KCTF0025,밀양아리랑대축제,2019,4,81580.0,30527.0,0.0,112107.0,28026.75,114223,-2116.0,72.77,27.23,0.0,-1.85,▼,N,114223.0,28555.75,-1.9
KCTF0025,밀양아리랑대축제,2022,4,101733.0,35483.0,53.0,137269.0,34317.25,112107,25162.0,74.11,25.85,0.04,22.44,▲,N,112107.0,28026.75,22.4
KCTF0025,밀양아리랑대축제,2023,4,104343.0,37401.0,262.0,142006.0,35501.5,137269,4737.0,73.48,26.34,0.18,3.45,▲,N,137269.0,34317.25,3.5
