FSTV_ID,FSTV_REPS_NM,SIDO_CD,SIDO_NM,ADONG_NM1,ADONG_NM2,ADONG_NM3,ADONG_NM4,ADONG_NM5,FSTV_BGNG_YMD,FSTV_END_YMD,BASE_YEAR,ROWNUM,FLOOR_VAR,MOD_VAR,PAGING_VAR
KCTF0001,강경젓갈축제,44,충청남도,,,논산시 강경읍,,,2022-10-12,2022-10-16,2022,173,17,3,18
KCTF0002,강릉커피축제,51,강원특별자치도,,,강릉시 포남2동,,,2022-10-07,2022-10-10,2022,174,17,4,18
KCTF0003,강진청자축제,46,전라남도,,,강진군 대구면,,,-,-,2022,175,17,5,18
KCTF0004,고령대가야축제,47,경상북도,,,고령군 대가야읍,,,2022-05-05,2022-05-08,2022,176,17,6,18
KCTF0005,곡성세계장미축제,46,전라남도,,,곡성군 오곡면,,,2022-05-21,2022-06-06,2022,177,17,7,18
KCTF0006,관악강감찬축제,11,서울특별시,,,관악구 낙성대동,,,2022-10-14,2022-10-16,2022,178,17,8,18
KCTF0007,광안리어방축제,26,부산광역시,,,수영구 광안2동,,,2022-10-14,2022-10-16,2022,179,17,9,18
KCTF0008,광주김치축제,29,광주광역시,,,서구 치평동,,,2022-10-20,2022-10-23,2022,180,18,0,18
KCTF0009,괴산고추축제,43,충청북도,,,괴산군 괴산읍,,,2022-09-01,2022-09-04,2022,181,18,1,19
KCTF0010,군산시간여행축제,52,전북특별자치도,,,군산시 월명동,,,2022-10-07,2022-10-10,2022,182,18,2,19
KCTF0011,금산인삼축제,44,충청남도,,,금산군 금산읍,,,2022-09-30,2022-10-10,2022,183,18,3,19
KCTF0012,금호강바람소리길축제,27,대구광역시,,,북구 산격2동,,,2022-09-24,2022-09-25,2022,184,18,4,19
KCTF0013,김제지평선축제,52,전북특별자치도,,,김제시 부량면,,,2022-09-29,2022-10-03,2022,185,18,5,19
KCTF0014,김해분청도자기축제,48,경상남도,,,김해시 진례면,,,2022-10-21,2022-10-30,2022,186,18,6,19
KCTF0015,남원춘향제,52,전북특별자치도,,,남원시 금동,,,2022-05-04,2022-05-08,2022,187,18,7,19
KCTF0016,담양대나무축제,46,전라남도,,,담양군 담양읍,,,-,-,2022,188,18,8,19
KCTF0017,대구약령시한방문화축제,27,대구광역시,,,중구 성내2동,,,2022-10-06,2022-10-10,2022,189,18,9,19
KCTF0018,대구치맥페스티벌,27,대구광역시,,,달서구 두류3동,,,2022-07-06,2022-07-10,2022,190,19,0,19
KCTF0019,대전사이언스페스티벌,30,대전광역시,,,유성구 신성동,,,2022-10-20,2022-10-23,2022,191,19,1,20
KCTF0020,대전효문화뿌리축제,30,대전광역시,,,중구 산성동,,,2022-10-07,2022-10-09,2022,192,19,2,20
KCTF0021,동래읍성역사축제,26,부산광역시,,,동래구 명륜동,,,2022-10-14,2022-10-16,2022,193,19,3,20
KCTF0022,목포항구축제,46,전라남도,,,목포시 만호동,,,2022-10-14,2022-10-16,2022,194,19,4,20
KCTF0023,무주반딧불축제,52,전북특별자치도,,,무주군 무주읍,,,2022-08-27,2022-09-04,2022,195,19,5,20
KCTF0024,문경찻사발축제,47,경상북도,,,문경시 문경읍,,,2022-04-30,2022-05-08,2022,196,19,6,20
KCTF0025,밀양아리랑대축제,48,경상남도,,,밀양시 삼문동,,,2022-09-22,2022-09-25,2022,197,19,7,20
KCTF0026,보령머드축제,44,충청남도,,,보령시 대천5동,,,2022-07-16,2022-08-15,2022,198,19,8,20
KCTF0027,보성다향대축제,46,전라남도,,,보성군 보성읍,,,-,-,2022,199,19,9,20
KCTF0028,봉화은어축제,47,경상북도,,,봉화군 봉화읍,,,2022-07-30,2022-08-07,2022,200,20,0,20
KCTF0029,부안마실축제,52,전북특별자치도,,,부안군 부안읍,,,2022-05-05,2022-05-31,2022,201,20,1,21
KCTF0030,부천국제만화축제,41,경기도,,,부천시 상동,,,2022-09-30,2022-10-03,2022,202,20,2,21
KCTF0031,부평풍물대축제,28,인천광역시,,,부평구 부평1동,,,2022-09-30,2022-10-02,2022,203,20,3,21
KCTF0032,산청한방약초축제,48,경상남도,,,산청군 금서면,,,2022-09-30,2022-10-10,2022,204,20,4,21
KCTF0033,서산해미읍성축제,44,충청남도,,,서산시 해미면,,,2022-10-07,2022-10-09,2022,205,20,5,21
KCTF0034,석장리세계구석기축제,44,충청남도,,,공주시 월송동,,,2022-05-05,2022-05-08,2022,206,20,6,21
KCTF0035,세종축제,36,세종특별자치시,,,세종특별자치시 새롬동,,,2022-10-07,2022-10-10,2022,207,20,7,21
KCTF0036,소래포구축제,28,인천광역시,,,남동구 논현고잔동,,,2022-10-01,2022-10-03,2022,208,20,8,21
KCTF0037,수성못페스티벌,27,대구광역시,,,수성구 두산동,,,2022-09-23,2022-09-25,2022,209,20,9,21
KCTF0038,수원화성문화제,41,경기도,,,수원시 팔달구 행궁동,,,2022-10-07,2022-10-09,2022,210,21,0,21
KCTF0039,순창장류축제,52,전북특별자치도,,,순창군 순창읍,,,2022-10-14,2022-10-16,2022,211,21,1,22
KCTF0040,시흥갯골축제,41,경기도,,,시흥시 장곡동,,,2022-09-23,2022-09-25,2022,212,21,2,22
KCTF0041,안동탈춤축제,47,경상북도,,,안동시 중구동,,,2022-09-29,2022-10-03,2022,213,21,3,22
KCTF0042,안성맞춤남사당바우덕이축제,41,경기도,,,안성시 보개면,,,2022-09-30,2022-10-03,2022,214,21,4,22
KCTF0043,알프스하동섬진강문화재첩축제,48,경상남도,,,하동군 하동읍,,,2022-08-05,2022-08-07,2022,215,21,5,22
KCTF0044,양양송이축제,51,강원특별자치도,,,양양군 양양읍,,,2022-09-30,2022-10-02,2022,216,21,6,22
KCTF0045,여주오곡나루축제,41,경기도,,,여주시 오학동,,,2022-10-21,2022-10-23,2022,217,21,7,22
KCTF0046,연천구석기축제,41,경기도,,,연천군 전곡읍,,,2022-10-07,2022-10-10,2022,218,21,8,22
