시군,연월,방문
거창군,202205,643307.0
거창군,202206,576399.0
거창군,202207,704182.0
거창군,202208,779977.0
거창군,202209,722885.0
거창군,202210,797699.0
거창군,202211,573473.0
거창군,202212,415855.0
거창군,202301,564177.0
거창군,202302,405596.0
거창군,202303,497711.0
거창군,202304,524623.0
거창군,202305,562718.0
거창군,202306,512340.0
거창군,202307,547611.0
거창군,202308,652897.0
거창군,202309,680663.0
거창군,202310,691340.0
거창군,202311,505319.0
거창군,202312,435465.0
거창군,202401,445699.0
거창군,202402,540838.0
거창군,202403,482852.0
거창군,202404,498724.0
거창군,202405,567504.0
거창군,202406,492553.0
거창군,202407,533511.0
거창군,202408,676065.0
거창군,202409,720789.0
거창군,202410,686147.0
거창군,202411,541445.0
거창군,202412,422901.0
거창군,202501,582335.0
거창군,202502,349926.0
거창군,202503,480366.0
거창군,202504,495482.0
거창군,202505,668935.0
거창군,202506,508435.0
거창군,202507,575651.0
거창군,202508,680194.0
거창군,202509,653544.0
거창군,202510,948376.0
거창군,202511,584369.0
거창군,202512,443742.0
거창군,202601,470467.0
거창군,202602,534788.0
거창군,202603,475771.0
거창군,202604,529827.0
거창군,202605,641892.0
거창군,202606,471948.0
거창군,202607,549363.0
거창군,202608,643796.0
검단구,202607,2225461.0
검단구,202608,2164135.0
경산시,201901,2195383.0
경산시,201902,2492676.0
경산시,201903,3759547.0
경산시,201904,2343024.0
경산시,201905,2506559.0
경산시,201906,2338525.0
경산시,201907,2462890.0
경산시,201908,2556090.0
경산시,201909,3541082.0
경산시,201910,2528138.0
경산시,201911,2506102.0
경산시,201912,2426799.0
경산시,202001,2518673.0
경산시,202002,1792379.0
경산시,202003,1560810.0
경산시,202004,1988320.0
경산시,202005,2368272.0
경산시,202006,2283895.0
경산시,202007,2274549.0
경산시,202008,2389410.0
경산시,202009,2537243.0
경산시,202010,2627728.0
경산시,202011,2267147.0
경산시,202012,2028091.0
경산시,202101,1894679.0
경산시,202102,2132180.0
경산시,202103,2938860.0
경산시,202104,2206306.0
경산시,202105,2420642.0
경산시,202106,2407285.0
경산시,202107,2287270.0
경산시,202108,2339901.0
경산시,202109,2825868.0
경산시,202110,2466959.0
경산시,202111,2354851.0
경산시,202112,2189175.0
경산시,202201,2236978.0
경산시,202202,2064427.0
경산시,202203,3069336.0
경산시,202204,2255261.0
경산시,202205,2504830.0
경산시,202206,2345990.0
경산시,202207,2887766.0
경산시,202208,2600977.0
경산시,202209,3261142.0
경산시,202210,2586577.0
경산시,202211,2409368.0
경산시,202212,2301888.0
경산시,202301,2526248.0
경산시,202302,2331342.0
경산시,202303,3552107.0
경산시,202304,2413339.0
경산시,202305,2704986.0
경산시,202306,2436609.0
경산시,202307,2474161.0
경산시,202308,2583895.0
경산시,202309,3114486.0
경산시,202310,2429696.0
경산시,202311,2230124.0
경산시,202312,2303209.0
경산시,202401,2141723.0
경산시,202402,2402228.0
경산시,202403,3366705.0
경산시,202404,2178838.0
경산시,202405,2467618.0
경산시,202406,2343621.0
경산시,202407,2258639.0
경산시,202408,2320850.0
경산시,202409,3168110.0
경산시,202410,2429604.0
경산시,202411,2360785.0
경산시,202412,2298194.0
경산시,202501,2434706.0
경산시,202502,2118934.0
경산시,202503,3330696.0
경산시,202504,2262501.0
경산시,202505,2811035.0
경산시,202506,2463775.0
경산시,202507,2459292.0
경산시,202508,2656458.0
경산시,202509,3171696.0
경산시,202510,2823154.0
경산시,202511,2574462.0
경산시,202512,2447345.0
경산시,202601,2315742.0
경산시,202602,2459700.0
경산시,202603,3527894.0
경산시,202604,2288451.0
경산시,202605,2737524.0
경산시,202606,2446004.0
경산시,202607,2412744.0
경산시,202608,2616567.0
경주시,201901,3059414.0
경주시,201902,3404363.0
경주시,201903,3766663.0
경주시,201904,3497455.0
경주시,201905,3494871.0
경주시,201906,3255698.0
경주시,201907,3622160.0
경주시,201908,4410611.0
경주시,201909,3668386.0
경주시,201910,3854282.0
경주시,201911,3494888.0
경주시,201912,3214990.0
경주시,202001,3525319.0
경주시,202002,2278029.0
경주시,202003,2158073.0
경주시,202004,2499762.0
경주시,202005,3230418.0
경주시,202006,2857355.0
경주시,202007,3177750.0
경주시,202008,4157468.0
경주시,202009,2749888.0
경주시,202010,3719307.0
경주시,202011,3186129.0
경주시,202012,2384796.0
경주시,202101,2294679.0
경주시,202102,2868307.0
경주시,202103,3128939.0
경주시,202104,3186763.0
경주시,202105,3494612.0
경주시,202106,3113001.0
경주시,202107,3438842.0
경주시,202108,3771519.0
경주시,202109,3613182.0
경주시,202110,3951356.0
경주시,202111,3579497.0
경주시,202112,3074129.0
경주시,202201,3337691.0
경주시,202202,2913560.0
경주시,202203,2908833.0
경주시,202204,3756166.0
경주시,202205,3687574.0
경주시,202206,3548747.0
경주시,202207,4503527.0
경주시,202208,4669482.0
경주시,202209,3964555.0
경주시,202210,4629062.0
경주시,202211,3750744.0
경주시,202212,3415952.0
경주시,202301,3779359.0
경주시,202302,3401133.0
경주시,202303,4037727.0
경주시,202304,4091806.0
경주시,202305,4047336.0
경주시,202306,3735376.0
경주시,202307,4070618.0
경주시,202308,4558839.0
경주시,202309,4125650.0
경주시,202310,4469699.0
경주시,202311,3671924.0
경주시,202312,3553593.0
경주시,202401,3322347.0
경주시,202402,3719788.0
경주시,202403,3941448.0
경주시,202404,4076371.0
경주시,202405,3957185.0
경주시,202406,3833982.0
