시군,연월,체험문화,체험문화_유원제외,관광총소비,방문
해남군,202503,102624000.0,82438000.0,7090132000.0,763203.0
해남군,202504,121031000.0,73906000.0,7039405000.0,736609.0
해남군,202505,194964000.0,132563000.0,8924834000.0,944387.0
해남군,202506,206447000.0,165232000.0,7181516000.0,775329.0
해남군,202507,169310000.0,144707000.0,7383568000.0,785279.0
해남군,202508,197622000.0,174336000.0,8702357000.0,886365.0
해남군,202509,156118000.0,115509000.0,6536310000.0,761355.0
해남군,202510,317962000.0,202931000.0,10888374000.0,1175464.0
해남군,202511,171834000.0,112344000.0,8791435000.0,848689.0
해남군,202512,103382000.0,66222000.0,8610531000.0,781612.0
해남군,202601,102269000.0,90422000.0,7974922000.0,675274.0
해남군,202602,116956000.0,92084000.0,8706185000.0,807071.0
해남군,202603,104017000.0,60786000.0,8297809000.0,755103.0
해남군,202604,139816000.0,84478000.0,9191094000.0,753843.0
해남군,202605,249730000.0,167520000.0,10210339000.0,892298.0
해남군,202606,185281000.0,146464000.0,8838248000.0,726232.0
해남군,202607,133470000.0,109576000.0,9015515000.0,753532.0
해남군,202608,210083000.0,184716000.0,10384022000.0,878523.0
해운대구,201901,1896655000.0,1512919000.0,100361778000.0,5256586.0
해운대구,201902,1941690000.0,1560638000.0,103564127000.0,5222626.0
해운대구,201903,1489022000.0,1195059000.0,112547533000.0,5461994.0
해운대구,201904,1346978000.0,1138611000.0,104715194000.0,4636318.0
해운대구,201905,1672819000.0,1340984000.0,111943777000.0,5605387.0
해운대구,201906,1743646000.0,1440264000.0,108522197000.0,5543549.0
해운대구,201907,1788614000.0,1470232000.0,112265084000.0,5994057.0
해운대구,201908,2400862000.0,1845671000.0,131088729000.0,6508415.0
해운대구,201909,1491154000.0,1254873000.0,109021465000.0,5464570.0
해운대구,201910,1462124000.0,1259276000.0,114037890000.0,5567465.0
해운대구,201911,1548234000.0,1353885000.0,119111790000.0,5643891.0
해운대구,201912,1844124000.0,1574515000.0,131190293000.0,6299116.0
해운대구,202001,1622379000.0,1341260000.0,110686342000.0,5768885.0
해운대구,202002,865073000.0,774544000.0,87464594000.0,4107044.0
해운대구,202003,523802000.0,508850000.0,73749873000.0,3480414.0
해운대구,202004,552451000.0,515661000.0,85319876000.0,3961040.0
해운대구,202005,1012899000.0,902843000.0,112886906000.0,5044561.0
해운대구,202006,962587000.0,846662000.0,111856374000.0,4788762.0
해운대구,202007,1171672000.0,989001000.0,114426437000.0,5326944.0
해운대구,202008,1387427000.0,1104195000.0,126755982000.0,5603639.0
해운대구,202009,824925000.0,759839000.0,103151189000.0,4309123.0
해운대구,202010,1185700000.0,989675000.0,115359084000.0,5196267.0
해운대구,202011,1279529000.0,972666000.0,113702059000.0,4843808.0
해운대구,202012,621548000.0,502120000.0,97934102000.0,4187657.0
해운대구,202101,728365000.0,577216000.0,100312947000.0,4256761.0
해운대구,202102,1185047000.0,706434000.0,118647849000.0,4701870.0
해운대구,202103,1483678000.0,935286000.0,128781251000.0,5096028.0
해운대구,202104,1327705000.0,810116000.0,122407817000.0,4520346.0
해운대구,202105,1576022000.0,864680000.0,137566409000.0,5247296.0
해운대구,202106,1765421000.0,1121635000.0,134695286000.0,5088656.0
해운대구,202107,1879422000.0,1177763000.0,131948480000.0,5274939.0
해운대구,202108,1656728000.0,1002820000.0,115553231000.0,4837836.0
해운대구,202109,1560786000.0,1018897000.0,126166566000.0,5080991.0
해운대구,202110,1730748000.0,1125633000.0,147556626000.0,5509929.0
해운대구,202111,1631087000.0,1096147000.0,141117856000.0,5224779.0
해운대구,202112,1550870000.0,1024338000.0,145819055000.0,5371941.0
해운대구,202201,1554334000.0,953334000.0,146897295000.0,5381464.0
해운대구,202202,1249299000.0,781286000.0,127854100000.0,4561812.0
해운대구,202203,1339564000.0,886970000.0,129918640000.0,4727812.0
해운대구,202204,1976277000.0,1334176000.0,144635360000.0,5089914.0
해운대구,202205,2478752000.0,1698574000.0,164079659000.0,5887970.0
해운대구,202206,2419746000.0,1687479000.0,149595863000.0,5809162.0
해운대구,202207,2951361000.0,2049100000.0,167240561000.0,6459823.0
해운대구,202208,2989440000.0,1944837000.0,166529023000.0,6420611.0
해운대구,202209,2189152000.0,1545335000.0,138945145000.0,5346457.0
해운대구,202210,2269959000.0,1580145000.0,169172741000.0,5791339.0
해운대구,202211,2057020000.0,1473545000.0,146582168000.0,5250627.0
해운대구,202212,2219495000.0,1630674000.0,158850184000.0,5793118.0
해운대구,202301,2278093000.0,1634034000.0,148715663000.0,5661524.0
해운대구,202302,1906933000.0,1446974000.0,143887546000.0,5216486.0
해운대구,202303,1701352000.0,1517416000.0,136985087000.0,5414852.0
해운대구,202304,1587554000.0,1319037000.0,145495111000.0,5293855.0
해운대구,202305,1899298000.0,1551326000.0,149297920000.0,5748768.0
해운대구,202306,1943068000.0,1661663000.0,141225227000.0,5529542.0
해운대구,202307,2315314000.0,1862247000.0,148947827000.0,6127492.0
해운대구,202308,2482796000.0,1946683000.0,159462483000.0,6150136.0
해운대구,202309,1774534000.0,1500436000.0,142481448000.0,5610631.0
해운대구,202310,1698118000.0,1445872000.0,147938097000.0,5709163.0
해운대구,202311,1557713000.0,1364586000.0,137599448000.0,5269311.0
해운대구,202312,2227430000.0,1832688000.0,170716742000.0,5871427.0
해운대구,202401,1676910000.0,1387923000.0,146545614000.0,5493034.0
해운대구,202402,1798255000.0,1469577000.0,143682815000.0,5430929.0
해운대구,202403,1684333000.0,1433576000.0,149955500000.0,5483408.0
해운대구,202404,1545611000.0,1280752000.0,140603201000.0,4970475.0
해운대구,202405,1799264000.0,1498578000.0,150872774000.0,5801651.0
해운대구,202406,1741039000.0,1448365000.0,144851952000.0,5650893.0
해운대구,202407,2079335000.0,1580000000.0,144425010000.0,6023093.0
해운대구,202408,2403467000.0,1798836000.0,157341555000.0,6469069.0
해운대구,202501,1862385000.0,1502777000.0,158691081000.0,5993701.0
해운대구,202502,1703172000.0,1410254000.0,135255267000.0,5216989.0
해운대구,202503,1612462000.0,1324459000.0,139951971000.0,5662177.0
해운대구,202504,1294935000.0,1092269000.0,125921905000.0,5141210.0
해운대구,202505,1893126000.0,1480668000.0,158405474000.0,6387272.0
해운대구,202506,1495771000.0,1203594000.0,137729914000.0,5867959.0
해운대구,202507,1952636000.0,1452457000.0,151190220000.0,6604461.0
해운대구,202508,2102539000.0,1431387000.0,158779293000.0,6999746.0
해운대구,202509,1290112000.0,1028151000.0,134768528000.0,5872794.0
해운대구,202510,1783625000.0,1324404000.0,157953826000.0,6571516.0
해운대구,202511,1278287000.0,1036953000.0,154426108000.0,6100140.0
해운대구,202512,1522550000.0,1207927000.0,169414148000.0,6432944.0
해운대구,202601,1600978000.0,1245043000.0,169248084000.0,6037583.0
해운대구,202602,1603140000.0,1224333000.0,167586964000.0,5876412.0
해운대구,202603,1389815000.0,1127990000.0,147893951000.0,5866065.0
해운대구,202604,1395245000.0,1106640000.0,140973956000.0,5290283.0
해운대구,202605,1794686000.0,1273743000.0,178498627000.0,6515698.0
해운대구,202606,1338486000.0,1027529000.0,143407113000.0,5552572.0
해운대구,202607,1763457000.0,1202248000.0,148009400000.0,6535875.0
해운대구,202608,2331021000.0,1663718000.0,165474243000.0,6987729.0
홍성군,201901,163193000.0,149302000.0,11740492000.0,837937.0
홍성군,201902,186107000.0,177750000.0,12252735000.0,1001785.0
홍성군,201903,181803000.0,167972000.0,13211425000.0,1079200.0
홍성군,201904,164460000.0,147712000.0,12002586000.0,911558.0
홍성군,201905,202339000.0,177552000.0,13276213000.0,980124.0
홍성군,201906,185756000.0,169186000.0,11781849000.0,881692.0
홍성군,201907,148095000.0,136390000.0,10754711000.0,921673.0
홍성군,201908,187356000.0,174720000.0,14178641000.0,1060922.0
홍성군,201909,199406000.0,183767000.0,14744765000.0,1193258.0
홍성군,201910,202512000.0,183638000.0,14513452000.0,1078596.0
홍성군,201911,165386000.0,154358000.0,13115037000.0,1014336.0
홍성군,201912,210116000.0,203413000.0,11509807000.0,928177.0
홍성군,202001,164798000.0,155202000.0,13529818000.0,1065905.0
홍성군,202002,112155000.0,106531000.0,9667141000.0,735780.0
홍성군,202003,73684000.0,71379000.0,9913162000.0,760627.0
홍성군,202004,68243000.0,63472000.0,10869545000.0,836069.0
홍성군,202005,119990000.0,107136000.0,12866697000.0,1029592.0
홍성군,202006,129158000.0,120550000.0,12223490000.0,889770.0
홍성군,202007,127893000.0,118461000.0,12545410000.0,896695.0
홍성군,202008,135309000.0,130187000.0,13619227000.0,936186.0
홍성군,202009,90146000.0,78390000.0,14397841000.0,947413.0
홍성군,202010,151545000.0,138152000.0,15981242000.0,1153355.0
홍성군,202011,116259000.0,106150000.0,13583479000.0,962754.0
홍성군,202012,91244000.0,84070000.0,11718947000.0,796420.0
홍성군,202101,73160000.0,64637000.0,10626767000.0,770341.0
홍성군,202102,96888000.0,90473000.0,12229278000.0,896009.0
홍성군,202103,126834000.0,116381000.0,12488059000.0,993757.0
홍성군,202104,119177000.0,102822000.0,12785857000.0,919499.0
홍성군,202105,132896000.0,113764000.0,13882320000.0,980248.0
홍성군,202106,151608000.0,129288000.0,12226514000.0,896171.0
홍성군,202107,114756000.0,108562000.0,12391035000.0,914066.0
홍성군,202108,119888000.0,106916000.0,13339706000.0,973088.0
홍성군,202109,114715000.0,98704000.0,16413121000.0,1169092.0
홍성군,202110,120631000.0,106206000.0,17386652000.0,1149852.0
홍성군,202111,156969000.0,136597000.0,14095688000.0,1003764.0
홍성군,202112,121927000.0,108177000.0,11990915000.0,875745.0
홍성군,202201,90636000.0,75156000.0,13744606000.0,978081.0
홍성군,202202,67981000.0,59109000.0,11110763000.0,819542.0
홍성군,202203,108313000.0,89954000.0,13387344000.0,952767.0
홍성군,202204,129144000.0,107805000.0,14447160000.0,980989.0
홍성군,202205,195115000.0,172656000.0,15465831000.0,1066014.0
홍성군,202206,199982000.0,183674000.0,13948505000.0,964859.0
홍성군,202207,172195000.0,155438000.0,14297563000.0,980047.0
홍성군,202208,188303000.0,163645000.0,13841462000.0,1030676.0
홍성군,202209,181427000.0,156578000.0,17004732000.0,1266430.0
홍성군,202210,180739000.0,155862000.0,18525175000.0,1207713.0
홍성군,202211,145492000.0,126152000.0,14845908000.0,1015455.0
홍성군,202212,177319000.0,162554000.0,13015378000.0,890275.0
