SGG_CD,SGG_NM,부울경_2019,부울경_2022,부울경_2023,부울경_2025,수도권_2019,수도권_2022,수도권_2023,수도권_2025,d수도권_2022,d부울경_2022,d숙박_2022,d수도권_2023,d부울경_2023,d숙박_2023,d수도권_2025,d부울경_2025,d숙박_2025,ktx
28237,인천광역시 부평구,0.43,0.3,0.35,0.37,95.92,96.36,95.93,96.01,0.4399999999999977,-0.13,-0.4999999999999991,0.010000000000005116,-0.08000000000000002,-0.3249999999999984,0.09000000000000341,-0.06,-0.6749999999999989,
28245,인천광역시 계양구,0.13,0.27,0.24,0.33,96.94,97.09,97.08,96.25,0.15000000000000568,0.14,-0.6083333333333325,0.14000000000000057,0.10999999999999999,-0.5333333333333323,-0.6899999999999977,0.2,-1.6666666666666652,
28260,인천광역시 서구,0.97,0.75,0.66,0.7,93.93,94.65,95.36,94.83,0.7199999999999989,-0.21999999999999997,-0.8833333333333346,1.4299999999999926,-0.30999999999999994,-0.29166666666666785,0.8999999999999915,-0.27,-1.4666666666666677,
28710,인천광역시 강화군,0.04,0.06,0.04,0.09,98.79,98.97,99.0,98.64,0.1799999999999926,0.019999999999999997,0.625,0.20999999999999375,0.0,0.81666666666667,-0.15000000000000568,0.049999999999999996,-1.8749999999999982,
28720,인천광역시 옹진군,0.29,0.52,0.56,0.71,97.18,96.46,96.03,95.53,-0.7200000000000131,0.23000000000000004,2.4166666666666643,-1.1500000000000057,0.2700000000000001,3.6166666666666636,-1.6500000000000057,0.42,-0.8500000000000014,
29110,광주광역시 동구,1.4,1.48,1.56,1.5,2.59,3.18,3.07,3.86,0.5900000000000003,0.08000000000000007,0.5499999999999998,0.48,0.16000000000000014,0.8166666666666664,1.27,0.10000000000000009,0.3916666666666666,
29140,광주광역시 서구,1.81,1.97,1.92,2.26,4.62,4.72,4.76,5.42,0.09999999999999964,0.15999999999999992,-0.4833333333333334,0.13999999999999968,0.10999999999999988,-0.7250000000000005,0.7999999999999998,0.44999999999999973,-1.6749999999999998,
29155,광주광역시 남구,0.58,0.79,0.91,1.0,1.7,1.54,1.65,2.22,-0.15999999999999992,0.21000000000000008,0.125,-0.050000000000000044,0.33000000000000007,-0.25833333333333286,0.5200000000000002,0.42000000000000004,-1.1583333333333332,
29170,광주광역시 북구,1.22,1.44,1.72,2.31,2.42,3.26,3.73,5.62,0.8399999999999999,0.21999999999999997,-0.34999999999999964,1.31,0.5,-0.5333333333333314,3.2,1.09,-1.758333333333332,
29200,광주광역시 광산구,1.84,2.01,2.13,2.5,3.83,4.42,4.65,5.45,0.5899999999999999,0.1699999999999997,0.049999999999998934,0.8200000000000003,0.2899999999999998,-0.18333333333333357,1.62,0.6599999999999999,-1.458333333333334,
30110,대전광역시 동구,1.94,1.49,1.58,2.01,11.31,7.79,8.25,9.48,-3.5200000000000005,-0.44999999999999996,0.04166666666666696,-3.0600000000000005,-0.3599999999999999,-0.049999999999998934,-1.83,0.06999999999999984,-0.7749999999999995,
30140,대전광역시 중구,1.18,1.31,1.4,1.96,6.24,6.22,7.15,10.05,-0.020000000000000462,0.13000000000000012,0.3333333333333339,0.9100000000000001,0.21999999999999997,-0.033333333333333215,3.8100000000000005,0.78,-0.4666666666666668,
30170,대전광역시 서구,1.8,1.52,1.57,2.16,10.83,9.53,9.69,10.94,-1.3000000000000007,-0.28,-0.06666666666666643,-1.1400000000000006,-0.22999999999999998,-0.05833333333333357,0.10999999999999943,0.3600000000000001,-0.9083333333333332,
30200,대전광역시 유성구,2.35,2.02,2.03,2.2,16.51,14.35,14.18,13.88,-2.160000000000002,-0.33000000000000007,-0.18333333333333357,-2.330000000000002,-0.3200000000000003,-0.21666666666666856,-2.630000000000001,-0.1499999999999999,-1.0000000000000009,
30230,대전광역시 대덕구,1.3,1.42,1.41,1.85,8.12,7.55,8.63,9.61,-0.5699999999999994,0.11999999999999988,-0.10833333333333428,0.5100000000000016,0.10999999999999988,-0.4083333333333341,1.4900000000000002,0.55,-1.908333333333334,
31110,울산광역시 중구,87.72,88.61,88.52,87.1,1.98,1.69,1.87,2.86,-0.29000000000000004,0.8900000000000006,-0.4083333333333341,-0.10999999999999988,0.7999999999999972,-0.3000000000000007,0.8799999999999999,-0.6200000000000045,-0.7666666666666666,
31140,울산광역시 남구,79.65,80.52,79.87,78.57,4.13,3.98,4.12,4.81,-0.1499999999999999,0.8699999999999903,-0.9999999999999991,-0.009999999999999787,0.21999999999999886,-1.0999999999999988,0.6799999999999997,-1.0800000000000125,-2.0666666666666655,
31170,울산광역시 동구,82.06,83.25,82.07,82.2,2.48,2.85,3.52,3.23,0.3700000000000001,1.1899999999999977,-0.966666666666665,1.04,0.009999999999990905,-0.8583333333333307,0.75,0.14000000000000057,-1.549999999999999,
31200,울산광역시 북구,74.38,74.2,72.12,69.49,2.61,2.44,2.8,3.35,-0.16999999999999993,-0.1799999999999926,-0.5916666666666659,0.18999999999999995,-2.259999999999991,-0.5999999999999988,0.7400000000000002,-4.890000000000001,-1.166666666666666,
31710,울산광역시 울주군,82.54,82.87,82.82,77.31,2.28,2.39,2.62,3.94,0.11000000000000032,0.3299999999999983,-1.0083333333333337,0.3400000000000003,0.2799999999999869,-1.083333333333334,1.6600000000000001,-5.230000000000004,-1.866666666666668,
41111,경기도 수원시 장안구,0.52,0.38,0.52,0.59,93.93,95.55,94.44,91.94,1.6199999999999903,-0.14,-1.1083333333333325,0.5099999999999909,0.0,-1.083333333333333,-1.990000000000009,0.06999999999999995,-2.091666666666666,
41113,경기도 수원시 권선구,0.36,0.36,0.38,0.37,95.68,95.67,95.19,94.4,-0.010000000000005116,0.0,-0.125,-0.4900000000000091,0.020000000000000018,-0.15000000000000124,-1.2800000000000011,0.010000000000000009,-1.5916666666666677,
41115,경기도 수원시 팔달구,0.33,0.32,0.32,0.4,94.95,95.41,95.01,94.67,0.45999999999999375,-0.010000000000000009,-0.2833333333333341,0.060000000000002274,-0.010000000000000009,0.024999999999999467,-0.28000000000000114,0.07,-0.875,
41117,경기도 수원시 영통구,0.61,0.52,0.47,0.58,93.55,94.45,94.12,93.59,0.9000000000000057,-0.08999999999999997,-0.49166666666666714,0.5700000000000074,-0.14,-0.625,0.04000000000000625,-0.030000000000000027,-1.2333333333333343,
41131,경기도 성남시 수정구,0.41,0.38,0.38,0.58,94.39,95.96,95.65,94.42,1.5699999999999932,-0.02999999999999997,-0.6999999999999993,1.2600000000000051,-0.02999999999999997,-0.833333333333333,0.030000000000001137,0.16999999999999998,-1.5750000000000002,
41133,경기도 성남시 중원구,0.51,0.33,0.5,0.54,95.74,96.45,96.07,94.87,0.710000000000008,-0.18,-0.25833333333333197,0.3299999999999983,-0.010000000000000009,0.025000000000000355,-0.8699999999999903,0.030000000000000027,-1.7833333333333332,
41135,경기도 성남시 분당구,0.32,0.41,0.36,0.42,95.81,95.64,96.01,95.9,-0.1700000000000017,0.08999999999999997,-0.5583333333333336,0.20000000000000284,0.03999999999999998,-0.5333333333333332,0.09000000000000341,0.09999999999999998,-0.9000000000000004,
41150,경기도 의정부시,0.15,0.32,0.28,0.34,97.31,96.52,95.87,95.91,-0.7900000000000063,0.17,-1.2166666666666668,-1.4399999999999977,0.13000000000000003,-0.8499999999999996,-1.4000000000000057,0.19000000000000003,-1.708333333333334,
41171,경기도 안양시 만안구,0.27,0.32,0.36,0.51,96.35,96.56,96.11,94.91,0.21000000000000796,0.04999999999999999,-0.2833333333333341,-0.23999999999999488,0.08999999999999997,-0.4583333333333339,-1.4399999999999977,0.24,-1.4000000000000004,
