관리번호,사업장명,업태구분명,인허가일자,소재지면적,시설총규모,남성종사자수,여성종사자수,전통업소주된음식,도로명주소,지번주소,전화번호,경도,위도,데이터갱신시점
5070000-101-2000-00372,안풍식당,한식,2000-03-11,10.2,10.2,0.0,0.0,,경상북도 안동시 중앙시장2길 31 (옥야동),경상북도 안동시 옥야동 303-17 ,,128.7235843999911,36.56401202160069,2026-05-07 22:02:45
5070000-101-2000-00540,한라식당,한식,2000-03-11,59.8,59.8,0.0,0.0,,경상북도 안동시 송하1길 20 (송현동),경상북도 안동시 송현동 339-4 ,,128.69613443126553,36.57130752986691,2026-05-07 22:02:50
5070000-101-2000-00356,오케이양념치킨(OK양념치킨),통닭(치킨),2000-03-11,24.0,24.0,0.0,0.0,,경상북도 안동시 태화중앙로 117-1 (태화동),경상북도 안동시 태화동 249-13 ,548571660.0,128.71424164084164,36.56279471117544,2026-05-07 22:02:45
5070000-101-2000-01177,병산손국수 하회점,기타,2000-03-11,106.22,106.22,0.0,0.0,,경상북도 안동시 풍천면 효부골길 2-1,경상북도 안동시 풍천면 병산리 213-3 ,548583933.0,128.53762755212242,36.55603377387521,2026-05-07 22:03:17
5070000-101-2000-00154,목석원,한식,2000-03-11,56.29,56.29,0.0,0.0,,경상북도 안동시 풍천면 전서로 159,경상북도 안동시 풍천면 하회리 247-3 ,548535332.0,128.5305188494198,36.55157693309997,2026-05-07 22:01:57
5070000-101-2000-00484,청하감자탕,한식,2000-03-11,88.29,88.29,0.0,0.0,,"경상북도 안동시 태사길 138, 1층 (신세동)",경상북도 안동시 신세동 92-15 ,548576164.0,128.7385110097621,36.565419240263296,2026-05-07 22:02:48
5070000-101-2000-00856,원천식육식당,식육(숯불구이),2000-03-11,65.74,65.74,0.0,0.0,,,경상북도 안동시 녹전면 원천리 823-3 ,,,,2026-05-07 22:03:09
5070000-101-2000-01271,우정찜닭,통닭(치킨),2000-03-11,80.2,80.2,,,,"경상북도 안동시 번영길 12, 1층 (남문동)",경상북도 안동시 남문동 181-4 ,548540507.0,128.72768996638845,36.56546348003812,2026-05-07 22:03:21
5070000-101-2000-00584,고돼지 안동점,식육(숯불구이),2000-03-11,118.3,118.3,0.0,0.0,,경상북도 안동시 대안로 180 (운흥동),경상북도 안동시 운흥동 182-1 외3필 ,548576003.0,128.7324111436945,36.56375812050603,2026-06-13 03:03:03
5070000-101-2000-01146,김여사네,한식,2000-03-11,44.85,44.85,0.0,0.0,,"경상북도 안동시 서부시장길 27 (태화동,외 1필지)",경상북도 안동시 태화동 60-19 외 1필지 ,548541916.0,128.7153469409326,36.564909518696105,2026-05-07 22:03:16
5070000-101-2000-00802,일미중화요리,한식,2000-03-11,58.57,58.57,0.0,0.0,,"경상북도 안동시 풍천면 지풍로 1672, 1층",경상북도 안동시 풍천면 가곡리 902-9 1층 ,548532490.0,128.5241245651795,36.56493980489976,2026-05-07 22:03:07
5070000-101-2000-01194,시골손국수,기타,2000-03-11,114.4,114.4,0.0,0.0,,경상북도 안동시 안기천로 77-1 (태화동),경상북도 안동시 태화동 175-61 ,548528266.0,128.7169155329842,36.564441833008765,2026-05-07 22:03:19
5070000-101-2000-01672,제비원식당,한식,2000-03-11,68.76,68.76,0.0,0.0,,"경상북도 안동시 번영4길 5, 1층 (남문동)",경상북도 안동시 남문동 185-51 1층 ,548582646.0,128.7289338310693,36.565039028943644,2026-05-07 22:03:42
5070000-101-2000-01699,안성식당,한식,2000-03-11,35.5,35.5,0.0,0.0,,,경상북도 안동시 옥야동 305-9 ,548544663.0,,,2026-05-07 22:03:43
5070000-101-2000-00817,용궁,중국식,2000-03-11,83.58,83.58,0.0,0.0,,,경상북도 안동시 임하면 신덕리 687-1 ,548230234.0,128.83046030406118,36.52484147941328,2026-05-07 22:03:08
5070000-101-2000-01469,목화식당,한식,2000-03-11,67.13,67.13,0.0,0.0,,경상북도 안동시 서동문로 120 (대석동),경상북도 안동시 대석동 141-2 ,548575419.0,128.72511613356963,36.566648404214156,2026-05-07 22:03:33
5070000-101-2000-01414,갈비둥지로,식육(숯불구이),2000-03-11,211.57,211.57,0.0,0.0,,경상북도 안동시 제비원로 158 (광석동),경상북도 안동시 광석동 10-7 ,548434555.0,128.7211114324367,36.566325968468,2026-05-07 22:03:28
5070000-101-2000-00828,안동식당,한식,2000-03-11,45.24,45.24,0.0,0.0,,경상북도 안동시 예안면 농암로 1508-1,경상북도 안동시 예안면 정산리 666-1 ,548565008.0,128.88577988413755,36.662138937412635,2026-05-07 22:03:08
5070000-101-2000-01114,산수갑산,한식,2000-03-11,87.56,87.56,0.0,0.0,,경상북도 안동시 북순환로 92 (상아동),경상북도 안동시 상아동 234 ,548583293.0,128.75253826972863,36.58290112414527,2026-05-07 22:03:15
5070000-101-2000-00655,만찐두빵,한식,2000-03-11,27.38,27.38,,,,경상북도 안동시 송천1길 120 (송천동),경상북도 안동시 송천동 884 ,548235281.0,128.79316937072707,36.54430484416122,2026-05-07 22:02:59
5070000-101-2000-00853,부산식당,한식,2000-03-11,46.86,46.86,0.0,0.0,,경상북도 안동시 녹전면 녹전로 716,경상북도 안동시 녹전면 신평리 721-20 ,548564208.0,128.77426475756332,36.74262431785623,2026-05-07 22:03:09
5070000-101-2000-00818,임하식당,한식,2000-03-11,56.55,56.55,0.0,0.0,,경상북도 안동시 임하면 충효로 3265,경상북도 안동시 임하면 신덕리 691-2 ,548553067.0,128.8295709197185,36.52490476865853,2026-05-07 22:03:08
5070000-101-2000-01074,흑염소가든,식육(숯불구이),2000-03-11,242.0,242.0,0.0,0.0,,경상북도 안동시 옹정골길 212 (정상동),경상북도 안동시 정상동 443-2 ,548538892.0,128.74604486914438,36.550394233614405,2026-05-07 22:03:15
