SGG_CD,SGG_NM,MCLS_NM,SRCH_CNT,TOTL_CNT,SPPY_SRCH_CNT,SPPY_SRCH_PER,TOTL_SPPY_SRCH_CNT,TOTL_SPPY_SRCH_PER
43750,충청북도 진천군,역사관광,75971353,2688055119,,,,
43750,충청북도 진천군,음식,1445063818,2688055119,,,,
43750,충청북도 진천군,자연관광,110908743,2688055119,,,,
43750,충청북도 진천군,체험관광,14532972,2688055119,,,,
43130,충청북도 충주시,기타관광,174002006,2688055119,,,,
43130,충청북도 충주시,레저스포츠,123956738,2688055119,,,,
43130,충청북도 충주시,문화관광,304199404,2688055119,,,,
43130,충청북도 충주시,쇼핑,154088721,2688055119,,,,
43130,충청북도 충주시,숙박,285331364,2688055119,,,,
43130,충청북도 충주시,역사관광,75971353,2688055119,,,,
43130,충청북도 충주시,음식,1445063818,2688055119,,,,
43130,충청북도 충주시,자연관광,110908743,2688055119,,,,
43130,충청북도 충주시,체험관광,14532972,2688055119,,,,
44270,충청남도 당진시,기타관광,174002006,2688055119,,,,
44270,충청남도 당진시,레저스포츠,123956738,2688055119,,,,
44270,충청남도 당진시,문화관광,304199404,2688055119,,,,
44270,충청남도 당진시,쇼핑,154088721,2688055119,,,,
44270,충청남도 당진시,숙박,285331364,2688055119,,,,
44270,충청남도 당진시,역사관광,75971353,2688055119,,,,
44270,충청남도 당진시,음식,1445063818,2688055119,,,,
44270,충청남도 당진시,자연관광,110908743,2688055119,,,,
44270,충청남도 당진시,체험관광,14532972,2688055119,,,,
44150,충청남도 공주시,기타관광,174002006,2688055119,,,,
44150,충청남도 공주시,레저스포츠,123956738,2688055119,,,,
44150,충청남도 공주시,문화관광,304199404,2688055119,,,,
44150,충청남도 공주시,쇼핑,154088721,2688055119,,,,
44150,충청남도 공주시,숙박,285331364,2688055119,,,,
44150,충청남도 공주시,역사관광,75971353,2688055119,,,,
44150,충청남도 공주시,음식,1445063818,2688055119,,,,
44150,충청남도 공주시,자연관광,110908743,2688055119,,,,
44150,충청남도 공주시,체험관광,14532972,2688055119,,,,
44760,충청남도 부여군,기타관광,174002006,2688055119,,,,
44760,충청남도 부여군,레저스포츠,123956738,2688055119,,,,
44760,충청남도 부여군,문화관광,304199404,2688055119,,,,
44760,충청남도 부여군,쇼핑,154088721,2688055119,,,,
44760,충청남도 부여군,숙박,285331364,2688055119,,,,
44760,충청남도 부여군,역사관광,75971353,2688055119,,,,
44760,충청남도 부여군,음식,1445063818,2688055119,,,,
44760,충청남도 부여군,자연관광,110908743,2688055119,,,,
44760,충청남도 부여군,체험관광,14532972,2688055119,,,,
44230,충청남도 논산시,기타관광,174002006,2688055119,,,,
44230,충청남도 논산시,레저스포츠,123956738,2688055119,,,,
44230,충청남도 논산시,문화관광,304199404,2688055119,,,,
44230,충청남도 논산시,쇼핑,154088721,2688055119,,,,
44230,충청남도 논산시,숙박,285331364,2688055119,,,,
44230,충청남도 논산시,역사관광,75971353,2688055119,,,,
44230,충청남도 논산시,음식,1445063818,2688055119,,,,
44230,충청남도 논산시,자연관광,110908743,2688055119,,,,
44230,충청남도 논산시,체험관광,14532972,2688055119,,,,
44210,충청남도 서산시,기타관광,174002006,2688055119,,,,
44210,충청남도 서산시,레저스포츠,123956738,2688055119,,,,
44210,충청남도 서산시,문화관광,304199404,2688055119,,,,
44210,충청남도 서산시,쇼핑,154088721,2688055119,,,,
44210,충청남도 서산시,숙박,285331364,2688055119,,,,
44210,충청남도 서산시,역사관광,75971353,2688055119,,,,
44210,충청남도 서산시,음식,1445063818,2688055119,,,,
44210,충청남도 서산시,자연관광,110908743,2688055119,,,,
44210,충청남도 서산시,체험관광,14532972,2688055119,,,,
44250,충청남도 계룡시,기타관광,174002006,2688055119,,,,
44250,충청남도 계룡시,레저스포츠,123956738,2688055119,,,,
44250,충청남도 계룡시,문화관광,304199404,2688055119,,,,
44250,충청남도 계룡시,쇼핑,154088721,2688055119,,,,
44250,충청남도 계룡시,숙박,285331364,2688055119,,,,
44250,충청남도 계룡시,역사관광,75971353,2688055119,,,,
44250,충청남도 계룡시,음식,1445063818,2688055119,,,,
44250,충청남도 계룡시,자연관광,110908743,2688055119,,,,
44250,충청남도 계룡시,체험관광,14532972,2688055119,,,,
44130,충청남도 천안시,기타관광,174002006,2688055119,,,,
44130,충청남도 천안시,레저스포츠,123956738,2688055119,,,,
44130,충청남도 천안시,문화관광,304199404,2688055119,,,,
44130,충청남도 천안시,쇼핑,154088721,2688055119,,,,
44130,충청남도 천안시,숙박,285331364,2688055119,,,,
44130,충청남도 천안시,역사관광,75971353,2688055119,,,,
44130,충청남도 천안시,음식,1445063818,2688055119,,,,
44130,충청남도 천안시,자연관광,110908743,2688055119,,,,
44130,충청남도 천안시,체험관광,14532972,2688055119,,,,
44200,충청남도 아산시,기타관광,174002006,2688055119,,,,
44200,충청남도 아산시,레저스포츠,123956738,2688055119,,,,
44200,충청남도 아산시,문화관광,304199404,2688055119,,,,
44200,충청남도 아산시,쇼핑,154088721,2688055119,,,,
44200,충청남도 아산시,숙박,285331364,2688055119,,,,
44200,충청남도 아산시,역사관광,75971353,2688055119,,,,
44200,충청남도 아산시,음식,1445063818,2688055119,,,,
44200,충청남도 아산시,자연관광,110908743,2688055119,,,,
44200,충청남도 아산시,체험관광,14532972,2688055119,,,,
44133,충청남도 천안시 서북구,기타관광,174002006,2688055119,,,,
44133,충청남도 천안시 서북구,레저스포츠,123956738,2688055119,,,,
44133,충청남도 천안시 서북구,문화관광,304199404,2688055119,,,,
44133,충청남도 천안시 서북구,쇼핑,154088721,2688055119,,,,
44133,충청남도 천안시 서북구,숙박,285331364,2688055119,,,,
44133,충청남도 천안시 서북구,역사관광,75971353,2688055119,,,,
44133,충청남도 천안시 서북구,음식,1445063818,2688055119,,,,
44133,충청남도 천안시 서북구,자연관광,110908743,2688055119,,,,
44133,충청남도 천안시 서북구,체험관광,14532972,2688055119,,,,
44790,충청남도 청양군,기타관광,174002006,2688055119,,,,
44790,충청남도 청양군,레저스포츠,123956738,2688055119,,,,
44790,충청남도 청양군,문화관광,304199404,2688055119,,,,
44790,충청남도 청양군,쇼핑,154088721,2688055119,,,,
44790,충청남도 청양군,숙박,285331364,2688055119,,,,
44790,충청남도 청양군,역사관광,75971353,2688055119,,,,
44790,충청남도 청양군,음식,1445063818,2688055119,,,,
44790,충청남도 청양군,자연관광,110908743,2688055119,,,,
44790,충청남도 청양군,체험관광,14532972,2688055119,,,,
44770,충청남도 서천군,기타관광,174002006,2688055119,,,,
44770,충청남도 서천군,레저스포츠,123956738,2688055119,,,,
44770,충청남도 서천군,문화관광,304199404,2688055119,,,,
44770,충청남도 서천군,쇼핑,154088721,2688055119,,,,
44770,충청남도 서천군,숙박,285331364,2688055119,,,,
44770,충청남도 서천군,역사관광,75971353,2688055119,,,,
44770,충청남도 서천군,음식,1445063818,2688055119,,,,
44770,충청남도 서천군,자연관광,110908743,2688055119,,,,
44770,충청남도 서천군,체험관광,14532972,2688055119,,,,
44800,충청남도 홍성군,기타관광,174002006,2688055119,,,,
44800,충청남도 홍성군,레저스포츠,123956738,2688055119,,,,
44800,충청남도 홍성군,문화관광,304199404,2688055119,,,,
44800,충청남도 홍성군,쇼핑,154088721,2688055119,,,,
44800,충청남도 홍성군,숙박,285331364,2688055119,,,,
44800,충청남도 홍성군,역사관광,75971353,2688055119,,,,
