SGG_CD,SGG_NM,PERIOD,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,2018,경상북도,예천군,6656,82.0,45.4,1532,39.0,23.0
47170,경상북도 안동시,2018,경상북도,영주시,6656,82.0,45.4,1023,32.0,15.4
47170,경상북도 안동시,2018,경상북도,의성군,6656,82.0,45.4,599,24.0,9.0
47170,경상북도 안동시,2018,경상북도,구미시,6656,82.0,45.4,493,22.0,7.4
47170,경상북도 안동시,2018,경상북도,청송군,6656,82.0,45.4,394,20.0,5.9
47170,경상북도 안동시,2018,경상북도,상주시,6656,82.0,45.4,312,18.0,4.7
47170,경상북도 안동시,2018,경상북도,경주시,6656,82.0,45.4,268,16.0,4.0
47170,경상북도 안동시,2018,경상북도,문경시,6656,82.0,45.4,256,16.0,3.8
47170,경상북도 안동시,2018,경상북도,포항시 북구,6656,82.0,45.4,211,15.0,3.2
47170,경상북도 안동시,2018,경상북도,칠곡군,6656,82.0,45.4,215,15.0,3.2
47170,경상북도 안동시,2018,경상북도,봉화군,6656,82.0,45.4,206,14.0,3.1
47170,경상북도 안동시,2018,경상북도,영덕군,6656,82.0,45.4,190,14.0,2.9
47170,경상북도 안동시,2018,경상북도,경산시,6656,82.0,45.4,181,13.0,2.7
47170,경상북도 안동시,2018,경상북도,포항시 남구,6656,82.0,45.4,171,13.0,2.6
47170,경상북도 안동시,2018,경상북도,영천시,6656,82.0,45.4,154,12.0,2.3
47170,경상북도 안동시,2018,경상북도,김천시,6656,82.0,45.4,149,12.0,2.2
47170,경상북도 안동시,2018,경상북도,영양군,6656,82.0,45.4,121,11.0,1.8
47170,경상북도 안동시,2018,경상북도,울진군,6656,82.0,45.4,87,9.0,1.3
47170,경상북도 안동시,2018,경상북도,성주군,6656,82.0,45.4,40,6.0,0.6
47170,경상북도 안동시,2018,경상북도,고령군,6656,82.0,45.4,30,5.0,0.5
47170,경상북도 안동시,2018,경상북도,청도군,6656,82.0,45.4,23,5.0,0.3
47170,경상북도 안동시,2018,경상북도,울릉군,6656,82.0,45.4,1,1.0,0.0
47170,경상북도 안동시,2018,대구광역시,북구,1801,42.0,12.3,476,22.0,26.4
47170,경상북도 안동시,2018,대구광역시,달서구,1801,42.0,12.3,330,18.0,18.3
47170,경상북도 안동시,2018,대구광역시,동구,1801,42.0,12.3,260,16.0,14.4
47170,경상북도 안동시,2018,대구광역시,수성구,1801,42.0,12.3,260,16.0,14.4
47170,경상북도 안동시,2018,대구광역시,달성군,1801,42.0,12.3,176,13.0,9.8
47170,경상북도 안동시,2018,대구광역시,중구,1801,42.0,12.3,134,12.0,7.4
47170,경상북도 안동시,2018,대구광역시,서구,1801,42.0,12.3,104,10.0,5.8
47170,경상북도 안동시,2018,대구광역시,남구,1801,42.0,12.3,61,8.0,3.4
47170,경상북도 안동시,2018,경기도,성남시 분당구,1588,40.0,10.8,100,10.0,6.3
47170,경상북도 안동시,2018,경기도,광주시,1588,40.0,10.8,81,9.0,5.1
47170,경상북도 안동시,2018,경기도,여주시,1588,40.0,10.8,76,9.0,4.8
47170,경상북도 안동시,2018,경기도,남양주시,1588,40.0,10.8,77,9.0,4.8
47170,경상북도 안동시,2018,경기도,이천시,1588,40.0,10.8,74,9.0,4.7
47170,경상북도 안동시,2018,경기도,용인시 기흥구,1588,40.0,10.8,70,8.0,4.4
47170,경상북도 안동시,2018,경기도,평택시,1588,40.0,10.8,69,8.0,4.3
47170,경상북도 안동시,2018,경기도,용인시 수지구,1588,40.0,10.8,65,8.0,4.1
47170,경상북도 안동시,2018,경기도,수원시 영통구,1588,40.0,10.8,64,8.0,4.0
47170,경상북도 안동시,2018,경기도,용인시 처인구,1588,40.0,10.8,63,8.0,4.0
47170,경상북도 안동시,2018,경기도,하남시,1588,40.0,10.8,55,7.0,3.5
47170,경상북도 안동시,2018,경기도,안양시 동안구,1588,40.0,10.8,47,7.0,3.0
47170,경상북도 안동시,2018,경기도,수원시 권선구,1588,40.0,10.8,48,7.0,3.0
47170,경상북도 안동시,2018,경기도,구리시,1588,40.0,10.8,48,7.0,3.0
