SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL
29110,광주광역시 동구,4,목적지 검색량,
29110,광주광역시 동구,5,관광소비,12.9
29170,광주광역시 북구,1,방문자유입,
29170,광주광역시 북구,2,숙박방문자 비율,12.1
29170,광주광역시 북구,3,체류시간,10.6
29170,광주광역시 북구,4,목적지 검색량,
29170,광주광역시 북구,5,관광소비,13.9
29155,광주광역시 남구,1,방문자유입,
29155,광주광역시 남구,2,숙박방문자 비율,11.2
29155,광주광역시 남구,3,체류시간,11.0
29155,광주광역시 남구,4,목적지 검색량,
29155,광주광역시 남구,5,관광소비,13.2
30170,대전광역시 서구,1,방문자유입,
30170,대전광역시 서구,2,숙박방문자 비율,12.5
30170,대전광역시 서구,3,체류시간,10.7
30170,대전광역시 서구,4,목적지 검색량,
30170,대전광역시 서구,5,관광소비,12.8
31170,울산광역시 동구,1,방문자유입,
31170,울산광역시 동구,2,숙박방문자 비율,11.9
31170,울산광역시 동구,3,체류시간,11.8
31170,울산광역시 동구,4,목적지 검색량,
31170,울산광역시 동구,5,관광소비,12.6
30140,대전광역시 중구,1,방문자유입,
30140,대전광역시 중구,2,숙박방문자 비율,13.4
30140,대전광역시 중구,3,체류시간,10.1
30140,대전광역시 중구,4,목적지 검색량,
30140,대전광역시 중구,5,관광소비,16.7
30200,대전광역시 유성구,1,방문자유입,
30200,대전광역시 유성구,2,숙박방문자 비율,12.7
30200,대전광역시 유성구,3,체류시간,10.8
30200,대전광역시 유성구,4,목적지 검색량,
30200,대전광역시 유성구,5,관광소비,17.4
31200,울산광역시 북구,1,방문자유입,
31200,울산광역시 북구,2,숙박방문자 비율,11.9
31200,울산광역시 북구,3,체류시간,10.9
31200,울산광역시 북구,4,목적지 검색량,
31200,울산광역시 북구,5,관광소비,13.3
31140,울산광역시 남구,1,방문자유입,
31140,울산광역시 남구,2,숙박방문자 비율,11.5
31140,울산광역시 남구,3,체류시간,10.5
31140,울산광역시 남구,4,목적지 검색량,
31140,울산광역시 남구,5,관광소비,14.3
31110,울산광역시 중구,1,방문자유입,
31110,울산광역시 중구,2,숙박방문자 비율,10.4
31110,울산광역시 중구,3,체류시간,11.1
31110,울산광역시 중구,4,목적지 검색량,
31110,울산광역시 중구,5,관광소비,13.2
31710,울산광역시 울주군,1,방문자유입,
31710,울산광역시 울주군,2,숙박방문자 비율,12.1
31710,울산광역시 울주군,3,체류시간,10.7
31710,울산광역시 울주군,4,목적지 검색량,
31710,울산광역시 울주군,5,관광소비,14.9
41280,경기도 고양시,1,방문자유입,
41280,경기도 고양시,2,숙박방문자 비율,
41280,경기도 고양시,3,체류시간,
41280,경기도 고양시,4,목적지 검색량,
41280,경기도 고양시,5,관광소비,
41820,경기도 가평군,1,방문자유입,
41820,경기도 가평군,2,숙박방문자 비율,10.0
41820,경기도 가평군,3,체류시간,10.4
41820,경기도 가평군,4,목적지 검색량,
41820,경기도 가평군,5,관광소비,12.3
41290,경기도 과천시,1,방문자유입,
41290,경기도 과천시,2,숙박방문자 비율,11.8
41290,경기도 과천시,3,체류시간,10.7
41290,경기도 과천시,4,목적지 검색량,
41290,경기도 과천시,5,관광소비,17.5
41210,경기도 광명시,1,방문자유입,
41210,경기도 광명시,2,숙박방문자 비율,12.2
41210,경기도 광명시,3,체류시간,10.9
41210,경기도 광명시,4,목적지 검색량,
41210,경기도 광명시,5,관광소비,13.2
41281,경기도 고양시 덕양구,1,방문자유입,
41281,경기도 고양시 덕양구,2,숙박방문자 비율,11.9
41281,경기도 고양시 덕양구,3,체류시간,11.3
41281,경기도 고양시 덕양구,4,목적지 검색량,
41281,경기도 고양시 덕양구,5,관광소비,13.9
41285,경기도 고양시 일산동구,1,방문자유입,
41285,경기도 고양시 일산동구,2,숙박방문자 비율,11.3
