SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL
41285,경기도 고양시 일산동구,3,체류시간,11.6
41285,경기도 고양시 일산동구,4,목적지 검색량,
41285,경기도 고양시 일산동구,5,관광소비,11.9
41287,경기도 고양시 일산서구,1,방문자유입,
41287,경기도 고양시 일산서구,2,숙박방문자 비율,11.9
41287,경기도 고양시 일산서구,3,체류시간,11.1
41287,경기도 고양시 일산서구,4,목적지 검색량,
41287,경기도 고양시 일산서구,5,관광소비,11.8
41310,경기도 구리시,1,방문자유입,
41310,경기도 구리시,2,숙박방문자 비율,11.8
41310,경기도 구리시,3,체류시간,9.8
41310,경기도 구리시,4,목적지 검색량,
41310,경기도 구리시,5,관광소비,14.1
41610,경기도 광주시,1,방문자유입,
41610,경기도 광주시,2,숙박방문자 비율,12.5
41610,경기도 광주시,3,체류시간,13.3
41610,경기도 광주시,4,목적지 검색량,
41610,경기도 광주시,5,관광소비,13.0
41190,경기도 부천시,1,방문자유입,
41190,경기도 부천시,2,숙박방문자 비율,
41190,경기도 부천시,3,체류시간,
41190,경기도 부천시,4,목적지 검색량,
41190,경기도 부천시,5,관광소비,
41410,경기도 군포시,1,방문자유입,
41410,경기도 군포시,2,숙박방문자 비율,10.0
41410,경기도 군포시,3,체류시간,10.1
41410,경기도 군포시,4,목적지 검색량,
41410,경기도 군포시,5,관광소비,14.1
41130,경기도 성남시,1,방문자유입,
41130,경기도 성남시,2,숙박방문자 비율,
41130,경기도 성남시,3,체류시간,
41130,경기도 성남시,4,목적지 검색량,
41130,경기도 성남시,5,관광소비,
41360,경기도 남양주시,1,방문자유입,
41360,경기도 남양주시,2,숙박방문자 비율,11.3
41360,경기도 남양주시,3,체류시간,10.3
41360,경기도 남양주시,4,목적지 검색량,
41360,경기도 남양주시,5,관광소비,14.5
41570,경기도 김포시,1,방문자유입,
41570,경기도 김포시,2,숙박방문자 비율,11.7
41570,경기도 김포시,3,체류시간,10.9
41570,경기도 김포시,4,목적지 검색량,
41570,경기도 김포시,5,관광소비,14.1
41250,경기도 동두천시,1,방문자유입,
41250,경기도 동두천시,2,숙박방문자 비율,12.1
41250,경기도 동두천시,3,체류시간,10.6
41250,경기도 동두천시,4,목적지 검색량,
41250,경기도 동두천시,5,관광소비,11.3
41194,경기도 부천시 소사구,1,방문자유입,
41194,경기도 부천시 소사구,2,숙박방문자 비율,53.4
41194,경기도 부천시 소사구,3,체류시간,51.2
41194,경기도 부천시 소사구,4,목적지 검색량,
41194,경기도 부천시 소사구,5,관광소비,54.0
41196,경기도 부천시 오정구,1,방문자유입,
41196,경기도 부천시 오정구,2,숙박방문자 비율,55.8
41196,경기도 부천시 오정구,3,체류시간,55.4
41196,경기도 부천시 오정구,4,목적지 검색량,
41196,경기도 부천시 오정구,5,관광소비,59.1
41192,경기도 부천시 원미구,1,방문자유입,
41192,경기도 부천시 원미구,2,숙박방문자 비율,55.9
41192,경기도 부천시 원미구,3,체류시간,53.7
41192,경기도 부천시 원미구,4,목적지 검색량,
41192,경기도 부천시 원미구,5,관광소비,54.7
41110,경기도 수원시,1,방문자유입,
41110,경기도 수원시,2,숙박방문자 비율,
41110,경기도 수원시,3,체류시간,
41110,경기도 수원시,4,목적지 검색량,
41110,경기도 수원시,5,관광소비,
41135,경기도 성남시 분당구,1,방문자유입,
41135,경기도 성남시 분당구,2,숙박방문자 비율,11.5
41135,경기도 성남시 분당구,3,체류시간,10.7
41135,경기도 성남시 분당구,4,목적지 검색량,
41135,경기도 성남시 분당구,5,관광소비,13.0
41131,경기도 성남시 수정구,1,방문자유입,
41131,경기도 성남시 수정구,2,숙박방문자 비율,11.6
41131,경기도 성남시 수정구,3,체류시간,10.4
41131,경기도 성남시 수정구,4,목적지 검색량,
41131,경기도 성남시 수정구,5,관광소비,13.6
41270,경기도 안산시,1,방문자유입,
41270,경기도 안산시,2,숙박방문자 비율,
41270,경기도 안산시,3,체류시간,
41270,경기도 안산시,4,목적지 검색량,
41270,경기도 안산시,5,관광소비,
41133,경기도 성남시 중원구,1,방문자유입,
41133,경기도 성남시 중원구,2,숙박방문자 비율,9.4
41133,경기도 성남시 중원구,3,체류시간,10.0
41133,경기도 성남시 중원구,4,목적지 검색량,
41133,경기도 성남시 중원구,5,관광소비,12.6
41117,경기도 수원시 영통구,1,방문자유입,
41117,경기도 수원시 영통구,2,숙박방문자 비율,11.3
41117,경기도 수원시 영통구,3,체류시간,10.6
41117,경기도 수원시 영통구,4,목적지 검색량,
41117,경기도 수원시 영통구,5,관광소비,12.4
41113,경기도 수원시 권선구,1,방문자유입,
41113,경기도 수원시 권선구,2,숙박방문자 비율,12.1
41113,경기도 수원시 권선구,3,체류시간,10.4
41113,경기도 수원시 권선구,4,목적지 검색량,
41113,경기도 수원시 권선구,5,관광소비,12.0
41111,경기도 수원시 장안구,1,방문자유입,
41111,경기도 수원시 장안구,2,숙박방문자 비율,12.6
41111,경기도 수원시 장안구,3,체류시간,10.2
41111,경기도 수원시 장안구,4,목적지 검색량,
41111,경기도 수원시 장안구,5,관광소비,14.5
41170,경기도 안양시,1,방문자유입,
41170,경기도 안양시,2,숙박방문자 비율,
41170,경기도 안양시,3,체류시간,
41170,경기도 안양시,4,목적지 검색량,
41170,경기도 안양시,5,관광소비,
41115,경기도 수원시 팔달구,1,방문자유입,
41115,경기도 수원시 팔달구,2,숙박방문자 비율,12.7
41115,경기도 수원시 팔달구,3,체류시간,10.3
41115,경기도 수원시 팔달구,4,목적지 검색량,
41115,경기도 수원시 팔달구,5,관광소비,12.3
41390,경기도 시흥시,1,방문자유입,
41390,경기도 시흥시,2,숙박방문자 비율,11.8
41390,경기도 시흥시,3,체류시간,11.2
41390,경기도 시흥시,4,목적지 검색량,
41390,경기도 시흥시,5,관광소비,13.2
41271,경기도 안산시 상록구,1,방문자유입,
41271,경기도 안산시 상록구,2,숙박방문자 비율,9.9
41271,경기도 안산시 상록구,3,체류시간,9.7
41271,경기도 안산시 상록구,4,목적지 검색량,
41271,경기도 안산시 상록구,5,관광소비,11.5
41273,경기도 안산시 단원구,1,방문자유입,
41273,경기도 안산시 단원구,2,숙박방문자 비율,12.2
41273,경기도 안산시 단원구,3,체류시간,10.9
41273,경기도 안산시 단원구,4,목적지 검색량,
41273,경기도 안산시 단원구,5,관광소비,12.8
41173,경기도 안양시 동안구,1,방문자유입,
41173,경기도 안양시 동안구,2,숙박방문자 비율,11.4
41173,경기도 안양시 동안구,3,체류시간,11.2
41173,경기도 안양시 동안구,4,목적지 검색량,
41173,경기도 안양시 동안구,5,관광소비,12.9
41550,경기도 안성시,1,방문자유입,
41550,경기도 안성시,2,숙박방문자 비율,12.4
41550,경기도 안성시,3,체류시간,11.7
41550,경기도 안성시,4,목적지 검색량,
41550,경기도 안성시,5,관광소비,15.1
41171,경기도 안양시 만안구,1,방문자유입,
