SGG_CD,SGG_NM,SEQ,TURSM_DNS_DIV_NM,TURSM_DNS_DIV_VAL,TURSM_DNS_DIV_VAL2
28200,인천광역시 남동구,1,방문자유입,224,36
28200,인천광역시 남동구,2,숙박방문자 비율,221,39
28200,인천광역시 남동구,3,체류시간,120,140
28200,인천광역시 남동구,4,목적지 검색량,213,46
28200,인천광역시 남동구,5,관광소비,228,32
28710,인천광역시 강화군,1,방문자유입,104,156
28710,인천광역시 강화군,2,숙박방문자 비율,151,109
28710,인천광역시 강화군,3,체류시간,105,155
28710,인천광역시 강화군,4,목적지 검색량,219,40
28710,인천광역시 강화군,5,관광소비,95,165
28177,인천광역시 미추홀구,1,방문자유입,205,55
28177,인천광역시 미추홀구,2,숙박방문자 비율,195,65
28177,인천광역시 미추홀구,3,체류시간,150,110
28177,인천광역시 미추홀구,4,목적지 검색량,184,75
28177,인천광역시 미추홀구,5,관광소비,207,53
28290,인천광역시 검단구,1,방문자유입,1,259
28290,인천광역시 검단구,2,숙박방문자 비율,2,258
28290,인천광역시 검단구,3,체류시간,195,65
28290,인천광역시 검단구,4,목적지 검색량,1,258
28290,인천광역시 검단구,5,관광소비,1,259
28237,인천광역시 부평구,1,방문자유입,216,44
28237,인천광역시 부평구,2,숙박방문자 비율,220,40
28237,인천광역시 부평구,3,체류시간,153,107
28237,인천광역시 부평구,4,목적지 검색량,156,103
28237,인천광역시 부평구,5,관광소비,204,56
28185,인천광역시 연수구,1,방문자유입,204,56
28185,인천광역시 연수구,2,숙박방문자 비율,188,72
28185,인천광역시 연수구,3,체류시간,166,94
28185,인천광역시 연수구,4,목적지 검색량,244,15
28185,인천광역시 연수구,5,관광소비,215,45
28155,인천광역시 영종구,1,방문자유입,7,253
28155,인천광역시 영종구,2,숙박방문자 비율,4,256
28155,인천광역시 영종구,3,체류시간,7,253
28155,인천광역시 영종구,4,목적지 검색량,29,230
28155,인천광역시 영종구,5,관광소비,5,255
28275,인천광역시 서해구,1,방문자유입,3,257
28275,인천광역시 서해구,2,숙박방문자 비율,3,257
28275,인천광역시 서해구,3,체류시간,116,144
28275,인천광역시 서해구,4,목적지 검색량,4,255
28275,인천광역시 서해구,5,관광소비,2,258
28125,인천광역시 제물포구,1,방문자유입,2,258
28125,인천광역시 제물포구,2,숙박방문자 비율,1,259
28125,인천광역시 제물포구,3,체류시간,15,245
28125,인천광역시 제물포구,4,목적지 검색량,3,256
28125,인천광역시 제물포구,5,관광소비,4,256
28720,인천광역시 옹진군,1,방문자유입,31,229
28720,인천광역시 옹진군,2,숙박방문자 비율,70,190
28720,인천광역시 옹진군,3,체류시간,201,59
28720,인천광역시 옹진군,4,목적지 검색량,85,174
28720,인천광역시 옹진군,5,관광소비,27,233
28140,인천광역시 동구,1,방문자유입,60,200
28140,인천광역시 동구,2,숙박방문자 비율,19,241
28140,인천광역시 동구,3,체류시간,24,236
28140,인천광역시 동구,4,목적지 검색량,11,248
28140,인천광역시 동구,5,관광소비,109,151
28110,인천광역시 중구,1,방문자유입,247,13
28110,인천광역시 중구,2,숙박방문자 비율,240,20
28110,인천광역시 중구,3,체류시간,9,251
28110,인천광역시 중구,4,목적지 검색량,258,1
28110,인천광역시 중구,5,관광소비,249,11
28260,인천광역시 서구,1,방문자유입,219,41
28260,인천광역시 서구,2,숙박방문자 비율,232,28
28260,인천광역시 서구,3,체류시간,212,48
28260,인천광역시 서구,4,목적지 검색량,216,43
28260,인천광역시 서구,5,관광소비,221,39
29200,광주광역시 광산구,1,방문자유입,206,54
29200,광주광역시 광산구,2,숙박방문자 비율,216,44
29200,광주광역시 광산구,3,체류시간,184,76
29200,광주광역시 광산구,4,목적지 검색량,181,78
29200,광주광역시 광산구,5,관광소비,190,70
29155,광주광역시 남구,1,방문자유입,118,142
29155,광주광역시 남구,2,숙박방문자 비율,114,146
29155,광주광역시 남구,3,체류시간,196,64
29155,광주광역시 남구,4,목적지 검색량,64,195
29155,광주광역시 남구,5,관광소비,99,161
29110,광주광역시 동구,1,방문자유입,174,86
29110,광주광역시 동구,2,숙박방문자 비율,107,153
29110,광주광역시 동구,3,체류시간,23,237
29110,광주광역시 동구,4,목적지 검색량,96,163
29110,광주광역시 동구,5,관광소비,135,125
29170,광주광역시 북구,1,방문자유입,210,50
29170,광주광역시 북구,2,숙박방문자 비율,226,34
29170,광주광역시 북구,3,체류시간,187,73
29170,광주광역시 북구,4,목적지 검색량,144,115
29170,광주광역시 북구,5,관광소비,172,88
29140,광주광역시 서구,1,방문자유입,217,43
29140,광주광역시 서구,2,숙박방문자 비율,211,49
29140,광주광역시 서구,3,체류시간,63,197
29140,광주광역시 서구,4,목적지 검색량,190,69
29140,광주광역시 서구,5,관광소비,236,24
30110,대전광역시 동구,1,방문자유입,182,78
30110,대전광역시 동구,2,숙박방문자 비율,148,112
30110,대전광역시 동구,3,체류시간,61,199
30110,대전광역시 동구,4,목적지 검색량,164,95
30110,대전광역시 동구,5,관광소비,244,16
30170,대전광역시 서구,1,방문자유입,237,23
30170,대전광역시 서구,2,숙박방문자 비율,241,19
30170,대전광역시 서구,3,체류시간,142,118
30170,대전광역시 서구,4,목적지 검색량,189,70
30170,대전광역시 서구,5,관광소비,218,42
30230,대전광역시 대덕구,1,방문자유입,134,126
30230,대전광역시 대덕구,2,숙박방문자 비율,123,137
30230,대전광역시 대덕구,3,체류시간,83,177
30230,대전광역시 대덕구,4,목적지 검색량,92,167
30230,대전광역시 대덕구,5,관광소비,142,118
30200,대전광역시 유성구,1,방문자유입,232,28
30200,대전광역시 유성구,2,숙박방문자 비율,238,22
30200,대전광역시 유성구,3,체류시간,146,114
30200,대전광역시 유성구,4,목적지 검색량,231,28
30200,대전광역시 유성구,5,관광소비,243,17
30140,대전광역시 중구,1,방문자유입,202,58
30140,대전광역시 중구,2,숙박방문자 비율,169,91
30140,대전광역시 중구,3,체류시간,40,220
30140,대전광역시 중구,4,목적지 검색량,150,109
30140,대전광역시 중구,5,관광소비,159,101
31140,울산광역시 남구,1,방문자유입,203,57
31140,울산광역시 남구,2,숙박방문자 비율,194,66
31140,울산광역시 남구,3,체류시간,90,170
31140,울산광역시 남구,4,목적지 검색량,182,77
31140,울산광역시 남구,5,관광소비,212,48
31170,울산광역시 동구,1,방문자유입,90,170
31170,울산광역시 동구,2,숙박방문자 비율,82,178
31170,울산광역시 동구,3,체류시간,223,37
31170,울산광역시 동구,4,목적지 검색량,78,181
31170,울산광역시 동구,5,관광소비,77,183
31200,울산광역시 북구,1,방문자유입,124,136
31200,울산광역시 북구,2,숙박방문자 비율,108,152
31200,울산광역시 북구,3,체류시간,102,158
31200,울산광역시 북구,4,목적지 검색량,120,139
31200,울산광역시 북구,5,관광소비,131,129
41820,경기도 가평군,1,방문자유입,141,119
41820,경기도 가평군,2,숙박방문자 비율,245,15
41820,경기도 가평군,3,체류시간,86,174
41820,경기도 가평군,4,목적지 검색량,228,31
41820,경기도 가평군,5,관광소비,141,119
31710,울산광역시 울주군,1,방문자유입,171,89
31710,울산광역시 울주군,2,숙박방문자 비율,157,103
31710,울산광역시 울주군,3,체류시간,82,178
31710,울산광역시 울주군,4,목적지 검색량,186,73
31710,울산광역시 울주군,5,관광소비,175,85
31110,울산광역시 중구,1,방문자유입,130,130
31110,울산광역시 중구,2,숙박방문자 비율,109,151
31110,울산광역시 중구,3,체류시간,88,172
31110,울산광역시 중구,4,목적지 검색량,81,178
31110,울산광역시 중구,5,관광소비,104,156
