SGG_CD,SGG_NM,AGEG_DIV_NM,TOU_NUM1,TOU_NUM1_RATE,TOU_NUM2,TOU_NUM2_RATE
26410,부산광역시 금정구,30~39세,22018937.0,8.8,15150392.0,6.0
26410,부산광역시 금정구,20~29세,26276502.0,10.5,22910988.0,9.1
26410,부산광역시 금정구,10~19세,7317300.0,2.9,7715045.0,3.1
26410,부산광역시 금정구,0~9세,804976.0,0.3,939793.0,0.4
26170,부산광역시 동구,70세 이상,15429115.0,5.5,8722987.0,3.1
26170,부산광역시 동구,60~69세,34213018.0,12.3,18178265.0,6.5
26170,부산광역시 동구,50~59세,33425142.0,12.0,23051593.0,8.3
26170,부산광역시 동구,40~49세,26637032.0,9.6,17648475.0,6.3
26170,부산광역시 동구,30~39세,26095499.0,9.4,18843214.0,6.8
26170,부산광역시 동구,20~29세,22567517.0,8.1,22641709.0,8.1
26170,부산광역시 동구,10~19세,4742295.0,1.7,4865961.0,1.7
26170,부산광역시 동구,0~9세,520434.0,0.2,622280.0,0.2
26260,부산광역시 동래구,70세 이상,16933473.0,5.3,12017707.0,3.8
26260,부산광역시 동래구,60~69세,35197224.0,11.1,23294551.0,7.3
26260,부산광역시 동래구,50~59세,34615668.0,10.9,28105131.0,8.8
26260,부산광역시 동래구,40~49세,29292845.0,9.2,21677657.0,6.8
26260,부산광역시 동래구,30~39세,27683947.0,8.7,20739949.0,6.5
26260,부산광역시 동래구,20~29세,26075711.0,8.2,23901706.0,7.5
26260,부산광역시 동래구,10~19세,8002016.0,2.5,7885599.0,2.5
26260,부산광역시 동래구,0~9세,1233951.0,0.4,1380693.0,0.4
26320,부산광역시 북구,70세 이상,9335543.0,4.7,6207321.0,3.1
26320,부산광역시 북구,60~69세,23675942.0,11.9,13362757.0,6.7
26320,부산광역시 북구,50~59세,24923010.0,12.5,17065831.0,8.6
26320,부산광역시 북구,40~49세,19614087.0,9.8,11964599.0,6.0
26320,부산광역시 북구,30~39세,19363038.0,9.7,12656839.0,6.4
26320,부산광역시 북구,20~29세,17312702.0,8.7,13610255.0,6.8
26320,부산광역시 북구,10~19세,4360892.0,2.2,4000490.0,2.0
26320,부산광역시 북구,0~9세,812240.0,0.4,882830.0,0.4
26230,부산광역시 부산진구,70세 이상,28095298.0,4.7,18573365.0,3.1
26230,부산광역시 부산진구,60~69세,57116068.0,9.5,35318626.0,5.8
26230,부산광역시 부산진구,50~59세,54038204.0,8.9,43435322.0,7.2
26230,부산광역시 부산진구,40~49세,46125380.0,7.6,34557665.0,5.7
26230,부산광역시 부산진구,30~39세,54801327.0,9.1,42284918.0,7.0
26230,부산광역시 부산진구,20~29세,74414034.0,12.3,77604535.0,12.8
26230,부산광역시 부산진구,10~19세,15439863.0,2.6,18843291.0,3.1
26230,부산광역시 부산진구,0~9세,1547008.0,0.3,1793349.0,0.3
26530,부산광역시 사상구,70세 이상,10370072.0,4.3,5647898.0,2.3
26530,부산광역시 사상구,60~69세,28841959.0,11.8,13361532.0,5.5
26530,부산광역시 사상구,50~59세,32739219.0,13.4,19235953.0,7.9
26530,부산광역시 사상구,40~49세,25659340.0,10.5,13839499.0,5.7
26530,부산광역시 사상구,30~39세,24740367.0,10.2,14123129.0,5.8
26530,부산광역시 사상구,20~29세,24152520.0,9.9,19197394.0,7.9
26530,부산광역시 사상구,10~19세,5162996.0,2.1,5185720.0,2.1
26530,부산광역시 사상구,0~9세,695861.0,0.3,763119.0,0.3
26500,부산광역시 수영구,70세 이상,13243273.0,4.2,8258281.0,2.6
26500,부산광역시 수영구,60~69세,31174711.0,9.9,18117701.0,5.7
