SGG_CD,SGG_NM,BASE_YM,PRE_BASE_YM,TOU_NUM,PREV_TOU_NUM,TOU_NUM_PER
11500,서울특별시 강서구,202002,,4451867.0,,
11500,서울특별시 강서구,202003,,4240568.0,,
11500,서울특별시 강서구,202004,,4534142.0,,
11500,서울특별시 강서구,202005,,5234173.0,,
11500,서울특별시 강서구,202006,,4786982.0,,
11500,서울특별시 강서구,202007,,5467136.0,,
11500,서울특별시 강서구,202008,,4893094.0,,
11500,서울특별시 강서구,202009,,4626850.0,,
11500,서울특별시 강서구,202010,,5743868.0,,
11500,서울특별시 강서구,202011,,5872458.0,,
11500,서울특별시 강서구,202012,,4579218.0,,
11500,서울특별시 강서구,202101,202001,4694263.0,,
11500,서울특별시 강서구,202102,202002,5363603.0,,
11500,서울특별시 강서구,202103,202003,6354026.0,,
11500,서울특별시 강서구,202104,202004,5742009.0,,
11500,서울특별시 강서구,202105,202005,6179016.0,,
11500,서울특별시 강서구,202106,202006,5817998.0,,
11500,서울특별시 강서구,202107,202007,5584187.0,,
11500,서울특별시 강서구,202108,202008,5506050.0,,
11500,서울특별시 강서구,202109,202009,5758382.0,,
11500,서울특별시 강서구,202110,202010,6240136.0,,
11500,서울특별시 강서구,202111,202011,6133656.0,,
11500,서울특별시 강서구,202112,202012,5869574.0,,
11500,서울특별시 강서구,202201,202101,5979218.0,,
11500,서울특별시 강서구,202202,202102,5162367.0,,
11500,서울특별시 강서구,202203,202103,5837996.0,,
11500,서울특별시 강서구,202204,202104,6329670.0,,
11500,서울특별시 강서구,202205,202105,6887906.0,,
11500,서울특별시 강서구,202206,202106,6431184.0,,
11500,서울특별시 강서구,202207,202107,6727602.0,,
11500,서울특별시 강서구,202208,202108,6887892.0,,
11500,서울특별시 강서구,202209,202109,6782909.0,,
11500,서울특별시 강서구,202210,202110,6908517.0,,
11500,서울특별시 강서구,202211,202111,6366658.0,,
11500,서울특별시 강서구,202212,202112,6408500.0,,
11500,서울특별시 강서구,202301,202201,6296314.0,,
11500,서울특별시 강서구,202302,202202,6022149.0,,
11500,서울특별시 강서구,202303,202203,6661876.0,,
11500,서울특별시 강서구,202304,202204,6143294.0,,
11500,서울특별시 강서구,202305,202205,6870997.0,,
11500,서울특별시 강서구,202306,202206,6550404.0,,
11500,서울특별시 강서구,202307,202207,6953152.0,,
11500,서울특별시 강서구,202308,202208,6829242.0,,
11500,서울특별시 강서구,202309,202209,6846024.0,,
11500,서울특별시 강서구,202310,202210,6964226.0,,
11500,서울특별시 강서구,202311,202211,6667426.0,,
11500,서울특별시 강서구,202312,202212,6974450.0,,
11500,서울특별시 강서구,202401,202301,6721106.0,,
