SGG_CD,SGG_NM,PERIOD,수도권,부울경,대구경북,합계
41135,경기도 성남시 분당구,2025,95.9,0.42,0.54,105467
41131,경기도 성남시 수정구,2019,94.39,0.41,0.58,44655
41131,경기도 성남시 수정구,2022,95.96,0.38,0.46,100382
41131,경기도 성남시 수정구,2023,95.65,0.38,0.49,116141
41131,경기도 성남시 수정구,2025,94.42,0.58,0.73,67267
41133,경기도 성남시 중원구,2019,95.74,0.51,0.55,31721
41133,경기도 성남시 중원구,2022,96.45,0.33,0.49,62295
41133,경기도 성남시 중원구,2023,96.07,0.5,0.59,57178
41133,경기도 성남시 중원구,2025,94.87,0.54,0.81,33041
41113,경기도 수원시 권선구,2019,95.68,0.36,0.47,40220
41113,경기도 수원시 권선구,2022,95.67,0.36,0.45,66916
41113,경기도 수원시 권선구,2023,95.19,0.38,0.5,61917
41113,경기도 수원시 권선구,2025,94.4,0.37,0.61,38268
41117,경기도 수원시 영통구,2019,93.55,0.61,0.83,15121
41117,경기도 수원시 영통구,2022,94.45,0.52,0.76,44507
41117,경기도 수원시 영통구,2023,94.12,0.47,0.67,52835
41117,경기도 수원시 영통구,2025,93.59,0.58,0.75,35393
41111,경기도 수원시 장안구,2019,93.93,0.52,0.53,10353
41111,경기도 수원시 장안구,2022,95.55,0.38,0.49,20801
41111,경기도 수원시 장안구,2023,94.44,0.52,0.7,20527
41111,경기도 수원시 장안구,2025,91.94,0.59,1.01,12685
41115,경기도 수원시 팔달구,2019,94.95,0.33,0.56,220871
41115,경기도 수원시 팔달구,2022,95.41,0.32,0.47,266869
41115,경기도 수원시 팔달구,2023,95.01,0.32,0.55,279264
41115,경기도 수원시 팔달구,2025,94.67,0.4,0.67,168777
41390,경기도 시흥시,2019,94.26,0.5,0.65,40117
41390,경기도 시흥시,2022,94.45,0.61,0.66,83703
41390,경기도 시흥시,2023,94.43,0.6,0.71,82529
41390,경기도 시흥시,2025,93.87,0.62,0.77,68417
41273,경기도 안산시 단원구,2019,95.5,0.27,0.38,51451
41273,경기도 안산시 단원구,2022,95.46,0.32,0.44,86733
41273,경기도 안산시 단원구,2023,95.05,0.39,0.46,88047
41273,경기도 안산시 단원구,2025,94.3,0.41,0.58,75528
41271,경기도 안산시 상록구,2019,94.92,0.35,0.44,26893
41271,경기도 안산시 상록구,2022,95.06,0.34,0.5,44494
41271,경기도 안산시 상록구,2023,94.16,0.47,0.54,43339
41271,경기도 안산시 상록구,2025,93.83,0.47,0.62,27407
41550,경기도 안성시,2019,78.36,0.59,1.01,18697
41550,경기도 안성시,2022,80.03,0.74,0.9,47283
41550,경기도 안성시,2023,79.35,0.84,1.15,44955
41550,경기도 안성시,2025,78.87,1.3,1.5,30832
41173,경기도 안양시 동안구,2019,94.54,0.52,0.83,17007
41173,경기도 안양시 동안구,2022,95.37,0.42,0.61,31643
41173,경기도 안양시 동안구,2023,94.81,0.45,0.71,33614
41173,경기도 안양시 동안구,2025,94.5,0.54,0.6,26840
41171,경기도 안양시 만안구,2019,96.35,0.27,0.34,33886
41171,경기도 안양시 만안구,2022,96.56,0.32,0.33,44736
41171,경기도 안양시 만안구,2023,96.11,0.36,0.41,43916
41171,경기도 안양시 만안구,2025,94.91,0.51,0.47,24365
41630,경기도 양주시,2019,98.03,0.13,0.24,30631
41630,경기도 양주시,2022,98.02,0.16,0.23,63724
41630,경기도 양주시,2023,97.93,0.15,0.19,66520
41630,경기도 양주시,2025,96.83,0.33,0.36,37447
41830,경기도 양평군,2019,89.15,0.61,0.76,125014
41830,경기도 양평군,2022,89.27,0.33,0.61,136992
41830,경기도 양평군,2023,89.37,0.34,0.57,133105
41830,경기도 양평군,2025,88.52,0.41,0.57,91559
41670,경기도 여주시,2019,83.27,0.6,1.22,45326
41670,경기도 여주시,2022,82.44,0.78,1.39,66248
41670,경기도 여주시,2023,82.91,0.61,1.34,60473
41670,경기도 여주시,2025,80.01,0.81,1.67,37962
41800,경기도 연천군,2019,97.71,0.11,0.14,36668
41800,경기도 연천군,2022,97.59,0.08,0.14,67004
