,방문,소비,방문당소비,야간비중,주말비중,체류시간,숙박객비중,수도권비중,권역,군
안동시,18054579.0,262567988000.0,14543.013603363446,24.45406231848441,35.62865686317028,29.64044114128402,13.623360230844655,14.01,대경,0
안성시,36616466.0,1029237845000.0,28108.606794549753,17.64371526187153,34.13752162756504,18.964078893496207,6.463349552525605,78.87,수도권,0
양구군,3034165.0,30389583000.0,10015.797756549166,24.833784583237893,34.74517700916068,34.42457515784149,15.535481809081125,43.04,강원,1
양산시,38676409.0,532816023000.0,13776.253710627581,19.06799051587235,34.676898261159664,20.44442190626532,7.313328591666099,4.94,동남,0
양양군,15541620.0,199173214000.0,12815.47316174247,25.290130629882857,40.59035029810277,16.786676605383324,20.99890984072261,27.25,강원,1
양주시,35057313.0,615116968000.0,17546.038625378962,18.811955154691976,35.218018562917244,20.1846855051944,7.156614552682401,96.83,수도권,0
양평군,29355142.0,391094832000.0,13322.873110271448,18.41289679334544,41.92699527735209,15.558084583955464,10.789999163907481,88.52,수도권,1
여주시,24741700.0,1052472084000.0,42538.39000553721,16.183301874972216,37.89840229248597,16.191502221806825,6.893739545949059,80.01,수도권,0
연천군,9108375.0,89174526000.0,9790.388076907242,20.00946381764036,37.35411640385908,21.18210578430106,10.449337766870116,97.36,수도권,1
영덕군,10876644.0,153185931000.0,14083.933518463968,24.88481741242979,41.84550859621773,17.36005417178974,16.56752670624985,9.17,대경,1
영동군,6800198.0,74000011000.0,10882.037699490515,19.27483582095698,38.11643425676723,23.018282540731427,10.991467431501725,14.89,충청,1
영양군,1821532.0,10584578000.0,5810.810899835962,26.97734654126307,35.74496632504947,35.435876662286844,17.63381318855856,10.74,대경,1
영월군,7287029.0,98005221000.0,13449.270066031026,24.749620181283756,39.49705703106163,22.57039280424701,17.991555084921647,42.55,강원,1
영주시,9517910.0,117318449000.0,12326.072530629099,24.955436645229888,36.17743811403974,32.88315192419156,15.633012751452261,15.8,대경,0
영천시,13953668.0,234987430000.0,16840.549022665582,16.75790193660907,36.06511922169855,17.623990862050842,7.908852528580295,4.79,대경,0
예산군,16398129.0,272127770000.0,16595.04995966308,20.39859547391047,37.204567667445474,18.057781381976476,9.973583044743355,30.7,충청,1
예천군,7081895.0,60232328000.0,8505.114520901538,24.92907618652917,35.15900758201018,27.167579096044218,12.422348869147886,12.57,대경,1
오산시,31783619.0,490076745000.0,15419.161203763486,19.90296322140031,32.22674233541498,21.270768639585256,6.946066338235416,85.16,수도권,0
옥천군,12312339.0,146656944000.0,11911.379633065659,16.95081657514466,39.26191440960162,12.088638423673538,6.786566851223638,13.74,충청,1
옹진군,6791758.0,59377413000.0,8742.569007906348,24.406935582804923,41.14335345870686,24.589022495534614,20.766559326960383,95.53,수도권,1
완주군,24016875.0,294144646000.0,12247.415452676503,16.052154995185678,36.004330288599164,14.21947637359024,7.046514348671135,6.56,호남,1
울릉군,1577980.0,32711550000.0,20730.0155895512,33.38356633163919,32.08329636624038,71.82637599507395,41.56505451475051,6.67,대경,1
울주군,38923070.0,634175119000.0,16293.03955212166,16.877052606590386,34.2674023400518,16.2735889244229,6.473840864889634,3.94,동남,1
울진군,8678669.0,110526963000.0,12735.47395343687,28.69918186763431,38.43061649199895,30.16168079570286,20.38544837189114,14.71,대경,1
원주시,34872732.0,684092258000.0,19616.82434287053,24.66769165088643,36.07954203301308,32.791071917348994,13.981396299777101,62.11,강원,0
음성군,19137623.0,475281873000.0,24834.948049713385,20.020082953875722,30.08369952736555,23.857033405398646,8.418150276293455,34.13,충청,1
의령군,4636698.0,28862883000.0,6224.878782271349,18.2786974696217,38.99924040772119,18.142509010689,8.657368953105784,1.99,동남,1
의성군,7121964.0,99531485000.0,13975.286171061802,18.58185466817861,36.75317651142297,20.0942393211035,10.160364374724502,6.83,대경,1
의왕시,31454757.0,565970098000.0,17993.147999839897,14.677579610613428,33.634146339137196,11.35146930944213,3.541608757847063,95.96,수도권,0
의정부시,43723446.0,780999644000.0,17862.26190863364,21.115224998505376,34.13451446622025,23.06364004330331,8.018057315064544,95.91,수도권,0
이천시,36501258.0,902138953000.0,24715.28386775053,19.40281071956479,32.66411530254656,20.761880870789007,7.098751965526855,81.0,수도권,0
익산시,27114145.0,336986910000.0,12428.454225644953,21.755969070756244,32.9801142540176,28.732139142405526,10.104455722725158,14.08,호남,0
인제군,9881182.0,114023000000.0,11539.408949253237,19.0207001551029,40.22535967862954,17.536756471579974,10.760637510328259,40.99,강원,1
임실군,9183113.0,114084641000.0,12423.307978460027,12.930234006703392,39.35527091956725,8.505147935772152,4.752157708112007,7.57,호남,1
장수군,2759017.0,36406057000.0,13195.299992714796,19.072662473627382,37.69509212882704,24.003958001576674,14.565192237648297,7.35,호남,1
정선군,10187345.0,151641192000.0,14885.251456586579,30.573736336601932,37.94219200390288,27.016802743335777,26.882810371220394,34.13,강원,1
정읍시,11773052.0,152949295000.0,12991.47366375346,21.252628460317684,35.68605659772844,22.73354602372244,11.141950437711314,9.78,호남,0
제주시,60111076.0,1658112967000.0,27584.150498320807,30.232997326482725,29.80870447236712,40.65371205355416,21.512577899998867,2.13,제주,0
제천시,15880297.0,330114143000.0,20787.655482765844,26.871714049176788,38.71443336355737,27.720361219015818,18.499813949911797,47.19,충청,0
증평군,6128349.0,118947247000.0,19409.346138739813,18.117342860205905,33.80455323285276,19.84965581001415,8.933351676545016,25.46,충청,1
진안군,5015661.0,51076932000.0,10183.489673644212,17.60423999947365,41.36196604993838,14.927558474463476,10.223974397389913,7.42,호남,1
진주시,23631729.0,322514487000.0,13647.519696929498,24.764167700128926,35.39050824423384,34.527041322301855,12.509842540960655,7.76,동남,0
진천군,13983850.0,323942198000.0,23165.451431472735,19.720978128340906,31.011052035026122,25.694883887395264,9.724894878361283,32.69,충청,1
창녕군,10376423.0,176631787000.0,17022.41581708841,18.366753167252337,38.31227774735089,17.124374935760965,9.424973741688286,2.68,동남,1
철원군,6823546.0,70586375000.0,10344.529808987878,22.895119341175395,38.19933213610636,27.20903107533828,13.194259676716891,89.5,강원,1
청도군,10707684.0,148381912000.0,13857.516900947021,18.055220904912773,45.419980641939006,13.341306630847692,10.195812796182478,1.04,대경,1
청송군,5006931.0,52626743000.0,10510.778558761844,21.805553142234235,39.1389655659325,21.11238282589752,13.90551983052928,10.28,대경,1
청양군,4858007.0,36482729000.0,7509.814003973234,25.098481743645078,37.64731092400649,25.832370530917743,12.45813082946237,19.65,충청,1
춘천시,30317533.0,562052068000.0,18538.845756348313,24.635378478849184,37.37630631093896,33.05727763162982,15.559338862815917,74.1,강원,0
충주시,31363094.0,541880987000.0,17277.663581278048,23.852611607770584,36.843122046568496,25.898973529317924,11.670971524663049,43.13,충청,0
칠곡군,23083000.0,510153518000.0,22100.832560759,14.566871723779403,34.74522808993631,11.655566285974299,5.040926272478864,2.51,대경,1
태백시,5484126.0,93621810000.0,17071.418490384793,26.011163857285556,36.3930916248095,28.869837648068494,16.417783340933394,22.09,강원,0
태안군,18089374.0,259872565000.0,14366.034170115561,28.204845562925506,42.048060922395656,23.968948260973306,24.205209873870555,42.28,충청,1
통영시,16342886.0,205741513000.0,12589.056363729147,28.914868524445435,39.10541259358965,26.232673514679057,20.13321904190287,8.67,동남,0
파주시,53117101.0,1247552590000.0,23486.835059014233,21.253513063523556,35.77220639356805,23.210326649273554,7.773883866347549,95.93,수도권,0
평창군,17450406.0,313228017000.0,17949.612003296657,26.223412796240957,40.175764391957415,22.77218898146333,21.549921580053724,44.75,강원,1
평택시,54350075.0,1063167104000.0,19561.465260167533,21.730880776153484,31.02020190404521,31.013801013734753,9.38199840147107,64.26,수도권,0
포천시,28267068.0,669153555000.0,23672.549094939735,20.02037848424888,36.11989046759289,21.097500569191837,10.054732957763877,90.91,수도권,0
하남시,58949343.0,1362558212000.0,23114.05255186644,17.338218680401578,36.74479289786147,13.362133352987492,4.1231015269872575,93.12,수도권,0
하동군,7826679.0,88027027000.0,11247.047055334708,18.27839112860001,41.76237456525303,16.68466855076009,12.533643618763232,5.29,동남,1
함안군,11526401.0,242819409000.0,21066.36833127704,14.03828480373015,33.95659234829675,15.29654634217552,5.582543125797111,2.83,동남,1
함양군,8776870.0,65609769000.0,7475.303724448465,19.41357226437215,41.1101679755995,14.028692119211856,9.467577776067646,5.62,동남,1
합천군,6944108.0,51668967000.0,7440.691734633159,18.479680903580416,43.073178009328196,20.023135887017204,12.566393296709212,5.58,동남,1
홍성군,13169252.0,188633278000.0,14323.765541125646,21.99114270119518,34.783752334604884,25.100115411847124,11.021990553158027,24.05,충청,1
홍천군,22264903.0,434397350000.0,19510.408376807212,24.15577108061059,40.79905490717835,15.881302896703097,14.81482453402507,76.12,강원,1
화천군,4317272.0,37632498000.0,8716.7308429953,20.95476032086929,35.420191268930935,27.08893741168135,12.911797645665999,50.77,강원,1
횡성군,11435210.0,254812065000.0,22283.111984825813,19.677723452389593,38.97863703421275,16.818988491472695,12.272612851842684,56.3,강원,1
