,방문25(만),방문%19-25,방문당소비25,방문당소비%19-25,방문당소비%24-26,방문%24-26,체류시간25,체류%19-25,숙박객비중25,숙박객비중p19-25,숙박소비%,체험소비%,외식소비%,대표축제,축제방문,축제외지인비율,축제수,숙박객체류%19-25,잠재개선액(억),문제,해결가능,종합,기본순위,상위10빈도%,최악순위
부여군,1141.9362,7.188840023357579,17315.58470604575,29.912862392700767,7.291837487629138,15.880335796355748,20.060428348139887,-9.725093677439132,11.370454011862495,-2.9546036630999204,6.045536269553079,0.2401046704764856,19.79423002531748,,,,,16.25583376671489,0.0,30.606060606060606,41.61616161616162,36.111111111111114,55.0,0.0,65.0
사천시,1539.7927,-2.2452402894235224,18239.149269898473,36.62880346657189,9.252618454143246,1.802622278197363,19.975378697015753,-8.143122996220132,10.681629985413212,-0.6832658165583663,1.548140654864718,2.3170855588648016,25.490203248667097,,,,,-2.1930596591351437,0.0,27.57575757575758,18.585858585858585,23.080808080808083,66.0,0.0,66.0
산청군,736.2748,14.558426953005622,15693.661931659211,21.749387800799692,13.989984827303893,0.5967368200413548,16.37292896760689,-11.010399969525286,12.448885449933671,-3.5286886555738644,0.6233418323346501,0.5226637429183619,18.806149917439846,,,,,16.881985105811804,0.0,31.818181818181813,30.707070707070713,31.262626262626263,62.0,0.0,66.0
삼척시,1224.7886,8.169285801403836,13240.201370260958,-12.435181347121135,-8.118020219003775,-0.8533860043097752,25.162324618536935,-25.571824530767053,18.27128777201157,-0.6579597277071301,8.926799054764627,1.4832638099896565,43.71097561644157,,,,,-24.711235647296135,96.70295220311785,74.54545454545455,30.707070707070713,52.62626262626263,23.0,4.166666666666666,38.0
서귀포시,4410.7359,11.386483886605347,22627.17518407756,5.3768404514861645,-2.5907346008912757,0.4528790151404172,31.634516469892784,2.174858498018284,21.826275322739537,-2.7548405831023217,21.421102484093336,4.145277275480988,36.13418582118217,,,,,18.016044320855595,0.0,44.54545454545454,26.26262626262626,35.4040404040404,58.0,0.0,64.0
서산시,1838.8255,1.2397959155583171,17577.671780166198,4.617464491980172,0.2510459100205642,1.202236981668947,30.4307148374942,-7.801322577072611,13.28074396037056,-1.22008960061142,1.7473871135249528,1.1259323296746928,32.015046430323395,서산해미읍성축제,86457.0,51.95,1.0,1.5828520800067025,0.0,48.18181818181818,39.39393939393939,43.78787878787878,42.0,0.0,49.0
서천군,1111.9519,21.476233872840787,9094.369639550056,-0.9632831083666747,-3.172082698570722,-0.2045981700789956,17.916915922426092,-8.716619008447479,10.898140626281082,-1.9922477508462448,1.2566504810243986,2.1353687597933235,33.76940677072427,한산모시문화제,26492.0,50.32,1.0,11.062610712702693,548.7904989058954,66.96969696969697,74.94949494949495,70.95959595959596,3.0,91.66666666666666,13.0
세종특별자치시,3360.9583,22.409917329485808,13980.821690051913,-8.672371164203197,-2.040115147232191,8.36656113614147,33.73113256676474,-4.434813122398518,10.75442861019693,-0.199457679233399,1.5176784498525182,2.073944234903848,39.76372836710681,세종축제,204088.0,38.94,1.0,-1.5344531849867726,16.44442564339756,58.484848484848484,80.20202020202021,69.34343434343435,5.0,95.83333333333334,12.0
속초시,2600.5012,23.47925198150751,23720.68095950119,9.909005363795307,6.128363022759986,8.074245269999892,19.12896764481818,-18.33176617074974,24.237362069529965,0.1067190392660535,7.123611467989935,2.89302119852677,57.68096410700112,,,,,-20.80104030352815,0.0,38.18181818181818,52.929292929292934,45.55555555555556,38.0,0.0,58.0
아산시,4164.4267,32.27960636936642,16749.397077873888,-5.699046782577177,0.9338516503885064,10.406379648140751,29.282132957048084,-5.935791972299276,10.056136174125015,-1.401389111636167,2.190092130942465,1.9096691758761375,31.00183911957656,,,,,8.572527084907433,0.0,48.18181818181818,55.35353535353535,51.76767676767676,26.0,0.0,48.0
