,방문2019(만),방문당2019,방문2023(만),방문당2023,방문2024(만),방문당2024,방문2025(만),방문당2025,방문2026(만),방문당2026,방문%23→24,방문당%23→24,방문%24→25,방문당%24→25,방문%25→26,방문당%25→26,방문당%19→26,방문당%23→26,흐름,문제태그,중앙대비_23→26(%p),중앙보다나쁜해,방문%23→26,초과23→24,초과24→25,초과25→26
고창군,612.2842,11078.685192268558,659.7079,12623.615390993498,581.2291,13798.687299035784,606.859,12732.764282971828,624.687,13498.11793746308,-11.895992150465384,9.308521145856986,4.409603717363764,-7.724814636088173,2.937749955096658,6.010899420440841,21.83862708620843,6.927512597488583,급락 후 회복중(미회복),거쳐가기 · 야간공백 · 계절쏠림 · 고령화,0.7497634417742312,2,-5.308546403643188,7.567811840799533,-3.8938252297716907,-1.4574178361586254
서산시,1212.8216,16790.07951375536,1255.4602,16155.590913993132,1194.3236,17764.36712797101,1205.8532,17462.682522217463,1208.6822,17808.963845086822,-4.869656560996516,9.958015293544232,0.9653665053591888,-1.6982569859104513,0.2346056717351663,1.982978974901428,6.068371090778535,10.23406039367849,급락 후 회복완료,체험공백 · 업무체류의심,4.056311237964138,1,-3.725964391384129,8.217305988486778,2.1327324204060307,-5.485338281698038
가평군,1627.2909,14076.077424140944,1848.6694,18229.18354141633,1783.5508,17872.296712827017,1783.3634,16626.117481159476,1754.8496,17647.94926015312,-3.5224578283169494,-1.9577773616600624,-0.0105071299342895,-6.972686564526176,-1.5988777161177636,6.14594345403594,25.375477332103145,-3.1884822484926745,급락 후 회복중(미회복),숙박이탈 · 계절쏠림 · 주말쏠림,-9.366231404207026,3,-5.0749906933062245,-3.6984866667175154,-3.1416971582096944,-1.3223738025635257
부안군,618.7731,9559.391641297916,690.2195,13446.159808582632,682.0054,13681.720555291791,711.5061,13967.892053209382,714.3159,14621.023975526794,-1.1900706949021345,1.7518812066981582,4.325581586304161,2.0916338464967765,0.3949087716886845,4.675951960606284,52.94931439320798,8.737544277840946,개선·유지,거쳐가기 · 숙박이탈 · 고령화,2.5597951221265944,1,3.491121302716027,0.01117190164070525,5.922623252813258,-2.792365295993182
합천군,437.3202,6078.098153252468,451.8435,7224.588823342596,439.1046,7469.189345773194,442.0294,7391.459482106847,453.0192,8173.798152484486,-2.819316865242061,3.385667038105966,0.6660827511258072,-1.040673359155564,2.4862147178445593,10.58435985844901,34.47953531501597,13.13859310684924,급락 후 회복완료,야간공백 · 계절쏠림 · 주말쏠림 · 고령화,6.960843951134889,0,0.260200711086922,1.6449577330485132,2.790316047160918,3.1160426018495446
구미시,1742.5082,18529.29902998448,1727.9225,18944.927333257136,1761.1986,18583.8256968862,1830.1647,17786.437799832987,1797.9732,18357.29826228778,1.9257866021190173,-1.9060597595274675,3.9158616183319728,-4.290762892738598,-1.7589400560506951,3.209526656653816,-0.9282637590249054,-3.101775270142082,급락 후 회복중(미회복),소비하락 · 업무체류의심,-9.279524425856433,3,4.05404177560047,-3.6467690645849205,-0.4597734864221157,-4.25879059994565
청도군,614.8926,11554.196131161769,706.3926,12269.38334291724,678.7793,13734.354745349485,716.9476,13444.089358831803,696.2042,15897.613803536377,-3.9090585037272474,11.940057307590202,5.623079548831256,-2.113425726213791,-2.893293735832303,18.249837376250277,37.59169069893469,29.571416583976973,급락 후 회복완료,거쳐가기 · 야간공백 · 주말쏠림,23.39366742826262,0,-1.4423140899267661,10.199348002532748,1.7175636801026908,10.78152011965081
포천시,1688.5171,20576.40879088521,1920.1721,24285.561122359813,1807.3959,25010.00262311096,1847.713,23377.415756667837,1937.3839,25084.575287324315,-5.873233966892865,2.9830132279058397,2.2306734235703507,-6.527735686578873,4.8530751258447635,7.3026015725008,21.909394113690528,3.2900790759528453,급락 후 회복완료,야간공백 · 숙박이탈,-2.8876700797615067,2,0.896367570386003,1.2423039228483868,-2.6967462802623907,-0.16571568409866622
홍성군,767.4891,12925.08935957527,825.3727,14566.128126118056,799.2051,15671.90950107801,837.8951,14156.429963607616,884.5587,15664.904432006604,-3.1703980516922803,7.591457148981218,4.841060198439684,-9.670037574975463,5.569145827443078,10.655754821497164,21.19764897719336,7.5433656519769965,급락 후 회복중(미회복),체험공백 · 업무체류의심,1.3656164962626445,1,7.17082113328924,5.850747843923765,-5.839048168658982,3.1874375648976976
춘천시,1955.9383,18136.089620004885,2144.0192,18504.87015228222,2014.0669,19123.932874325077,2003.5414,18350.92506698389,1974.3292,20106.323099511468,-6.061153743399316,3.3454043013995793,-0.5225993237861215,-4.042096426614172,-1.45802826934347,9.565719581547436,10.863606878813226,8.65422418017745,급락 후 회복완료,숙박이탈,2.476475024463099,1,-7.914574645600203,1.6046949963421264,-0.21110702029769035,2.0974023249479696
양양군,932.9636,10671.427909942038,1083.0309,14287.13021946096,1045.0534,13732.14258716349,1067.8045,12762.51879440478,1072.6738,17049.988635874204,-3.5065943178537173,-3.88452840964173,2.177027508833529,-7.060979643956589,0.4560104401133413,33.5942294035962,59.77232643805408,19.338092212877477,급락 후 회복완료,숙박이탈 · 계절쏠림,13.160343057163125,2,-0.9563069714816019,-5.625237714699183,-3.229990237640107,26.125912146996736
남해군,569.673,8934.128701904427,577.0557,11448.031273237577,568.3426,11352.579764388593,599.1266,11496.013864181628,613.2203,13021.563865384103,-1.5099235654374432,-0.8337809931749818,5.416451274284206,1.2634493900933963,2.352374272816471,13.270251925805908,45.75079786581075,13.74500605903326,개선·유지,계절쏠림 · 주말쏠림,7.567256903318908,1,6.2670899880202136,-2.5744902982324347,5.094438796409879,5.801934669206442
제천시,908.7483,19369.464570112537,1023.6343,23246.36366718075,1033.9663,21787.51763959812,1036.4244,20809.341906655227,1049.2719,22888.27109541388,1.009344841219173,-6.275588081082262,0.2377350209576523,-4.489615334447683,1.2395983730216995,9.99036489517129,18.166772305781382,-1.540424028866194,급락 후 회복완료,숙박이탈,-7.718173184580546,2,2.504566328033353,-8.016297386139716,-0.6586259281312006,2.5220476385718236
