,v24,v26,s24,s26,pv24,pv26,방문%,방문당소비%,방문당소비26,격차,소비순위(낮은순)
상주시,8940339.0,9297281.0,105164317.0,105642286.0,11.762900377714983,11.362707656141618,3.9924884280115203,-3.402160255743869,11.362707656141618,3.1477393449940827,53.0
서귀포시,29438105.0,29571424.0,709330188.0,694082508.0,24.095647053368413,23.47139278784816,0.4528790151404172,-2.5907346008912757,23.47139278784816,-1.2032957227296137,65.0
서대문구,56259446.0,61065815.0,565631373.0,553588692.0,10.053980499559131,9.06544343999994,8.543221346331787,-9.832295373981859,9.06544343999994,14.128607381552339,15.0
서산시,11943236.0,12086822.0,212164029.0,215253776.0,17.764367127971013,17.808963845086822,1.202236981668947,0.2510459100205642,17.808963845086822,-3.2957182671129237,107.0
서천군,7005439.0,6991106.0,70974586.0,68582607.0,10.131354508975098,9.809979565465035,-0.2045981700789956,-3.172082698570722,9.809979565465035,-1.2794248102695809,58.0
서초구,110955238.0,126356652.0,2749800851.0,2963586710.0,24.78297465325612,23.45414082354762,13.880745314610564,-5.361881889888109,23.45414082354762,14.995717865737369,37.0
성남시 분당구,57442746.0,61666857.0,1447991242.0,1528845013.0,25.207556094202044,24.792004771704192,7.353602141513216,-1.6485188843571863,24.792004771704192,4.755211687109096,75.0
성남시 수정구,29156571.0,30905845.0,399246129.0,409254991.0,13.693178426228517,13.241993254026868,5.99958753723131,-3.2949630696218035,13.241993254026868,5.047641268091807,56.0
성남시 중원구,16716288.0,16716533.0,281120353.0,286989822.0,16.817151810258355,17.168022938727784,0.0014656363900966696,2.0863885420562056,17.168022938727784,-6.3318322444274155,129.0
성동구,41969052.0,54365237.0,737521747.0,764286264.0,17.572990378720014,14.058363509019559,29.53649036437611,-20.000163853481013,14.058363509019559,45.28974487909582,3.0
성북구,33862701.0,41183665.0,449091115.0,458940347.0,13.26211736624317,11.143747090017365,21.619551257886947,-15.97309251400395,11.143747090017365,33.34573443312959,5.0
성주군,4996993.0,5165392.0,131542547.0,134263479.0,26.324340858592358,25.992892504576613,3.37000672204264,-1.2590945991628133,25.992892504576613,0.38219198244414665,84.0
세종특별자치시,20890638.0,22638466.0,316803266.0,336304910.0,15.164843984180857,14.855463705005453,8.36656113614147,-2.040115147232191,14.855463705005453,6.159766944612355,71.0
속초시,16630285.0,17973055.0,398042988.0,456545067.0,23.93482661301355,25.40163967672719,8.074245269999892,6.128363022759986,25.40163967672719,-2.3010270915214006,170.0
송파구,83630876.0,91795142.0,1936642656.0,2077783445.0,23.157029420569504,22.63500442104006,9.762262923085974,-2.2542830949886516,22.63500442104006,7.769636679313319,67.0
수성구,33078207.0,34865078.0,466300280.0,490012448.0,14.09690313625524,14.054534683674019,5.401958455607958,-0.3005514911445628,14.054534683674019,1.4556006079912143,97.0
수영구,25306725.0,28478766.0,301585922.0,320957444.0,11.917224453183886,11.270061490726109,12.534379695515717,-5.43048396042316,11.270061490726109,13.717954317177572,35.0
수원시 권선구,29728091.0,33768838.0,662304292.0,680424443.0,22.278736027819612,20.149477544948393,13.592352768295823,-9.557357653559873,20.149477544948393,18.90280108309439,17.0
수원시 영통구,39148932.0,40729770.0,615162602.0,583684883.0,15.713394224905038,14.330669753352401,4.038010538831549,-8.799654942539902,14.330669753352401,8.590756142610145,20.0
수원시 장안구,30881092.0,31606489.0,401440316.0,384294140.0,12.999550534029042,12.158710193973143,2.3490004822368293,-6.4682262502447685,12.158710193973143,4.570317393720291,33.0
수원시 팔달구,45582186.0,51940075.0,800671949.0,827443289.0,17.56545745743743,15.930729576343508,13.948188004849094,-9.306491931992111,15.930729576343508,19.0077705980799,19.0
순창군,3039032.0,3142228.0,26202250.0,25136704.0,8.621906580779669,7.999643565011833,3.3956865212343867,-7.21723217408795,7.999643565011833,6.3660093565610305,26.0
순천시,16920457.0,18379222.0,263137281.0,278302761.0,15.551428723231293,15.142249274751673,8.621309696304301,-2.6311373428241525,15.142249274751673,7.005537700367148,64.0
시흥시,35789519.0,37762705.0,824223899.0,872753914.0,23.0297562534998,23.11153064908883,5.5133068427100085,0.3550814636894106,23.11153064908883,0.9113160402592912,111.0
신안군,5164868.0,5020338.0,30998629.0,31915145.0,6.001824054361118,6.357170572977357,-2.7983290182827525,5.920642048112557,6.357170572977357,-12.965880405156616,168.0
아산시,25309609.0,27943423.0,462104745.0,514957566.0,18.258075223524788,18.428578560328848,10.406379648140751,0.9338516503885064,18.428578560328848,5.225618658990938,117.0
안동시,11100086.0,11726312.0,172849081.0,177466240.0,15.571868632369155,15.13401997149658,5.641631965734328,-2.81179267054964,15.13401997149658,4.206515297522662,62.0
안산시 단원구,35346580.0,37553935.0,678053290.0,664351627.0,19.182995639182064,17.690599586967384,6.24488988750822,-7.779786224662422,17.690599586967384,9.777766773409336,25.0
안산시 상록구,17980614.0,19984604.0,328123506.0,338474269.0,18.248737557015573,16.93675136119785,11.145281245679373,-7.189462787322198,16.93675136119785,14.087834694240264,27.0
안성시,22479630.0,24918766.0,675070799.0,765404124.0,30.03033408468022,30.715972211465047,10.850427698320653,2.283151845235709,30.715972211465047,4.320366514323637,133.0
안양시 동안구,27061379.0,29625210.0,727515511.0,730684002.0,26.883903846880827,24.664264050786475,9.474132859230867,-8.256389431893773,24.664264050786475,13.483612952363334,22.0
