,방문25(만),방문%19-25,방문%24-26,방문당소비,소비%19-25,소비%24-26,식음(원),체험(원),쇼핑(원),교통(원),체류지수,체류당소비,숙박객%,숙박객p19-25,숙박객체류%19-25,야간%,주말%,성수3개월%,성수월,2030%,60+%,수도권%,수도권p19-25,대표축제,문제태그,태그수,종합순위
포천시,2826.7068,8.654249609811227,7.192004806473218,23672.549094939735,17.384904619100872,0.2981713570251232,6864.23731672489,4776.204804828007,5180.474784296694,6521.951622290646,21.097500569191837,1122.0546726519908,10.054732957763877,-1.4739175133958131,-11.9829779475642,20.02037848424888,36.11989046759289,30.119137223570554,"10,5,8",31.84896643684446,25.64288238171713,90.91,-3.0600000000000023,,야간공백 · 숙박이탈,2,48.0
홍성군,1316.9252,10.765970424731307,10.679811727928158,14323.765541125646,11.247085437273885,-0.0446982486143276,4743.13301924817,193.22289527150062,4885.187632524611,4092.54914402124,25.100115411847124,570.6653258799321,11.021990553158028,-1.041603568002186,12.17654534255612,21.99114270119518,34.783752334604884,28.92138444916993,"10,5,9",27.1533493322172,28.85043888597469,24.05,5.02,,체험공백 · 업무체류의심,2,49.0
춘천시,3031.7533,1.7907907494859376,-1.9730079472533912,18538.845756348313,3.177893621139072,5.136967545547622,7333.697171204531,3106.089271841479,5156.917022239243,2123.6233502244395,33.05727763162982,560.80981510135,15.559338862815917,-0.438302382239053,-16.838523552667095,24.635378478849184,37.37630631093896,29.352566384606558,"10,5,8",38.39926223548598,21.078499362068804,74.1,1.3299999999999983,춘천마임축제,숙박이탈,1,50.0
양양군,1554.162,12.57573079675607,2.642965421671284,12815.47316174247,21.27199586472952,24.1611680599076,5889.592719420498,1662.9063765553399,2912.860049338486,1164.8406022023444,16.786676605383324,763.4312295998287,20.99890984072261,1.3676542816415171,-10.010647014529972,25.290130629882857,40.59035029810277,34.62790236796421,"8,7,10",29.219270577970633,24.972017074153143,27.25,-6.0,,숙박이탈 · 계절쏠림,2,51.0
남해군,905.7444,9.850966821831486,7.896240753376582,11738.40003868641,34.04409042861125,14.701364232919769,5101.654727316007,788.3140100010555,3112.7696732102345,670.3017981673416,23.50832435368909,499.3295082235131,23.73570298750529,1.325022106528074,4.923241438891379,28.984446384653328,41.188871827416214,33.33036340053552,"10,8,5",27.413881885441413,26.85631840505997,9.73,0.120000000000001,,계절쏠림 · 주말쏠림,2,52.0
제천시,1588.0297,16.12061869487984,1.4802803534312403,20787.655482765844,4.230416507931123,5.052220606422719,5830.9489425796,817.7665065080332,5750.680859432289,6255.096551405808,27.720361219015818,749.9056494439104,18.499813949911797,-0.1702231067870059,-11.04735261209434,26.871714049176788,38.71443336355737,30.825229528137918,"10,8,5",29.90739404936822,26.54742540394553,47.19,-2.1700000000000017,,숙박이탈,1,53.0
양평군,2935.5142,-1.9223461277472431,0.3054996202521698,13322.873110271448,24.083190104311925,5.23088428533216,5359.639002938566,612.4168637985127,3178.3814569863093,3841.263959820055,15.558084583955464,856.3311915665303,10.78999916390748,-1.44935701930609,-5.132552186066519,18.41289679334544,41.92699527735209,30.978841798823524,"8,10,5",27.88912416093916,30.136079736899248,88.52,-0.6300000000000097,,야간공백 · 주말쏠림 · 고령화,3,54.0
부여군,1141.9362,7.188840023357579,15.880335796355748,17315.58470604575,29.912862392700767,7.291837487629138,3427.4866669433895,1167.8874879349653,6568.882131943974,5049.442604586841,20.060428348139887,863.1712347085223,11.370454011862495,-2.9546036630999204,16.25583376671489,21.381789980911368,38.290615535263704,31.277430385340264,"10,11,5",24.593782034407877,29.771847148728625,27.27,-0.3200000000000003,,고령화,1,55.0
단양군,942.7933,11.70899387018014,-3.1416870765559435,14078.677266798566,-0.7202802409366993,3.4855952940720636,4895.611795289593,750.9276953919804,2173.2331996843845,5643.8879020459735,14.871835303395954,946.6671046030027,15.65389018696285,-1.975374677152809,9.295013948111986,22.059989183206966,43.599259774120156,34.360214481795744,"10,8,5",23.736963340744996,30.937926690823957,37.15,-4.640000000000001,,계절쏠림 · 주말쏠림 · 고령화,3,56.0
남원시,1084.1883,12.482122961654518,1.0315482795552722,15374.510128913951,64.41206910677212,2.347660178733646,4017.605613342258,977.8574441358572,2959.839909727858,6914.837210473494,21.49510519628224,715.2563334080869,13.253398426900464,-3.4166828648154173,5.820962490509207,21.378813993842215,38.17803604779723,32.49202191169191,"10,5,8",24.915044738999676,29.432756284125183,8.9,-1.459999999999999,,숙박이탈 · 고령화,2,57.0
