BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
201803,전국,제과음료업,72,418448415.0,0.0
201803,전국,수상운송,32,11102183.0,0.0
201803,전국,스키장,54,1123814.0,0.0
201803,전국,항공운송,33,473444204.0,0.0
201804,전국,레저용품쇼핑,43,303615213.0,0.0
201804,전국,항공운송,33,483976086.0,0.0
201804,전국,여행업,21,143246578.0,0.0
201804,전국,대형쇼핑몰,42,2285000920.0,0.0
201804,전국,캠핑장/펜션,13,9045849.0,0.0
201804,전국,기타레저,55,129674968.0,0.0
201804,전국,제과음료업,72,425516862.0,0.0
201804,전국,렌터카,34,14126780.0,0.0
201804,전국,호텔,11,94562539.0,0.0
201804,전국,기타숙박,14,105419680.0,0.0
201804,전국,문화서비스,56,122323990.0,0.0
201804,전국,면세점,41,181584045.0,0.0
201804,전국,뷰티,62,250698923.0,0.0
201804,전국,육상운송,31,2631117540.0,0.0
201804,전국,기타관광쇼핑,44,1829800996.0,0.0
201804,전국,골프장,53,233368061.0,0.0
201804,전국,관광유원시설,52,34703478.0,0.0
201804,전국,일반외식업,71,2761574149.0,0.0
201804,전국,콘도,12,25540822.0,0.0
201804,전국,수상운송,32,14735798.0,0.0
201804,전국,스키장,54,51766.0,0.0
201805,전국,레저용품쇼핑,43,327936283.0,0.0
201805,전국,항공운송,33,521185686.0,0.0
201805,전국,여행업,21,155573164.0,0.0
201805,전국,대형쇼핑몰,42,2529886178.0,0.0
201805,전국,캠핑장/펜션,13,10232833.0,0.0
201805,전국,렌터카,34,15754592.0,0.0
201805,전국,기타레저,55,144813347.0,0.0
201805,전국,제과음료업,72,456960430.0,0.0
201805,전국,호텔,11,109614499.0,0.0
201805,전국,기타숙박,14,112837603.0,0.0
201805,전국,문화서비스,56,133966166.0,0.0
201805,전국,면세점,41,185741781.0,0.0
201805,전국,뷰티,62,271384968.0,0.0
201805,전국,육상운송,31,2803354429.0,0.0
201805,전국,기타관광쇼핑,44,1985245381.0,0.0
201805,전국,골프장,53,268913130.0,0.0
201805,전국,관광유원시설,52,45396021.0,0.0
201805,전국,일반외식업,71,3031387134.0,0.0
201805,전국,콘도,12,33722371.0,0.0
201805,전국,수상운송,32,16663132.0,0.0
201805,전국,스키장,54,149572.0,0.0
201806,전국,일반외식업,71,2835978093.0,0.0
201806,전국,여행업,21,150103301.0,0.0
201806,전국,대형쇼핑몰,42,2333096178.0,0.0
201806,전국,호텔,11,101364919.0,0.0
201806,전국,골프장,53,272071410.0,0.0
201806,전국,기타숙박,14,109689801.0,0.0
201806,전국,문화서비스,56,124126702.0,0.0
201806,전국,뷰티,62,263191555.0,0.0
201806,전국,기타관광쇼핑,44,1904899564.0,0.0
201806,전국,항공운송,33,546317196.0,0.0
201806,전국,렌터카,34,15053042.0,0.0
201806,전국,제과음료업,72,438019841.0,0.0
201806,전국,레저용품쇼핑,43,285191475.0,0.0
201806,전국,관광유원시설,52,35604028.0,0.0
201806,전국,캠핑장/펜션,13,9888046.0,0.0
201806,전국,기타레저,55,138835571.0,0.0
201806,전국,육상운송,31,2704012419.0,0.0
201806,전국,수상운송,32,15261463.0,0.0
201806,전국,콘도,12,34666964.0,0.0
201806,전국,면세점,41,185237684.0,0.0
201806,전국,스키장,54,182039.0,0.0
201807,전국,기타숙박,14,121462620.0,0.0
201807,전국,문화서비스,56,153517023.0,0.0
201807,전국,면세점,41,197348579.0,0.0
201807,전국,뷰티,62,264768334.0,0.0
201807,전국,기타관광쇼핑,44,1950404482.0,0.0
201807,전국,일반외식업,71,2960385667.0,0.0
201807,전국,여행업,21,195389152.0,0.0
201807,전국,대형쇼핑몰,42,2423392261.0,0.0
201807,전국,호텔,11,117028972.0,0.0
201807,전국,골프장,53,215944191.0,0.0
201807,전국,항공운송,33,552232829.0,0.0
201807,전국,수상운송,32,16975153.0,0.0
201807,전국,기타레저,55,145476418.0,0.0
201807,전국,제과음료업,72,458555815.0,0.0
201807,전국,레저용품쇼핑,43,267938077.0,0.0
201807,전국,캠핑장/펜션,13,11208061.0,0.0
201807,전국,렌터카,34,17483052.0,0.0
201807,전국,콘도,12,57477709.0,0.0
201807,전국,육상운송,31,2886490650.0,0.0
201807,전국,관광유원시설,52,41094919.0,0.0
201807,전국,스키장,54,281244.0,0.0
201808,전국,면세점,41,205422065.0,0.0
201808,전국,뷰티,62,258530397.0,0.0
201808,전국,콘도,12,70737320.0,0.0
201808,전국,항공운송,33,500052265.0,0.0
201808,전국,기타관광쇼핑,44,2079341490.0,0.0
201808,전국,일반외식업,71,3103046812.0,0.0
201808,전국,여행업,21,143009879.0,0.0
