DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE,DTL_TOU_NUM_RATE2
전남광주통합특별시,강진군,55798497714.0,621237.0,4.3,385935094.0,621.0,0.7,0.7
전남광주통합특별시,고흥군,55798497714.0,734894.0,4.3,540069284.0,735.0,1.0,1.0
전남광주통합특별시,곡성군,55798497714.0,771828.0,4.3,595717803.0,772.0,1.1,1.1
전남광주통합특별시,광산구,55798497714.0,2454091.0,4.3,6022562222.0,2454.0,10.8,10.8
전남광주통합특별시,광양시,55798497714.0,1520305.0,4.3,2311328683.0,1520.0,4.1,4.1
전남광주통합특별시,구례군,55798497714.0,595210.0,4.3,354274802.0,595.0,0.6,0.6
전남광주통합특별시,나주시,55798497714.0,1354171.0,4.3,1833779635.0,1354.0,3.3,3.3
전남광주통합특별시,남구,55798497714.0,1381915.0,4.3,1909688613.0,1382.0,3.4,3.4
전남광주통합특별시,담양군,55798497714.0,1124204.0,4.3,1263835330.0,1124.0,2.3,2.3
전남광주통합특별시,동구,55798497714.0,1818623.0,4.3,3307389456.0,1819.0,5.9,5.9
전남광주통합특별시,목포시,55798497714.0,1798176.0,4.3,3233438356.0,1798.0,5.8,5.8
전남광주통합특별시,무안군,55798497714.0,1417215.0,4.3,2008498648.0,1417.0,3.6,3.6
전남광주통합특별시,보성군,55798497714.0,869073.0,4.3,755287902.0,869.0,1.4,1.4
전남광주통합특별시,북구,55798497714.0,2186197.0,4.3,4779458107.0,2186.0,8.6,8.6
전남광주통합특별시,서구,55798497714.0,3226738.0,4.3,10411838710.0,3227.0,18.7,18.7
전남광주통합특별시,순천시,55798497714.0,1945393.0,4.3,3784553042.0,1945.0,6.8,6.8
전남광주통합특별시,신안군,55798497714.0,596477.0,4.3,355784873.0,596.0,0.6,0.6
전남광주통합특별시,여수시,55798497714.0,2142857.0,4.3,4591835635.0,2143.0,8.2,8.2
전남광주통합특별시,영광군,55798497714.0,793459.0,4.3,629576753.0,793.0,1.1,1.1
전남광주통합특별시,영암군,55798497714.0,1115734.0,4.3,1244862943.0,1116.0,2.2,2.2
전남광주통합특별시,완도군,55798497714.0,638677.0,4.3,407907828.0,639.0,0.7,0.7
전남광주통합특별시,장성군,55798497714.0,1149435.0,4.3,1321201900.0,1149.0,2.4,2.4
전남광주통합특별시,장흥군,55798497714.0,670200.0,4.3,449168260.0,670.0,0.8,0.8
전남광주통합특별시,진도군,55798497714.0,626326.0,4.3,392284455.0,626.0,0.7,0.7
전남광주통합특별시,함평군,55798497714.0,1022461.0,4.3,1045426661.0,1022.0,1.9,1.9
전남광주통합특별시,해남군,55798497714.0,855050.0,4.3,731110087.0,855.0,1.3,1.3
전남광주통합특별시,화순군,55798497714.0,1063806.0,4.3,1131682631.0,1064.0,2.0,2.0
전북특별자치도,고창군,27698930900.0,1016333.0,2.1,1032932264.0,1016.0,3.7,3.7
전북특별자치도,군산시,27698930900.0,2088012.0,2.1,4359792792.0,2088.0,15.7,15.7
전북특별자치도,김제시,27698930900.0,1177329.0,2.1,1386102430.0,1177.0,5.0,5.0
전북특별자치도,남원시,27698930900.0,1046574.0,2.1,1095317076.0,1047.0,4.0,4.0
전북특별자치도,무주군,27698930900.0,801793.0,2.1,642872281.0,802.0,2.3,2.3
전북특별자치도,부안군,27698930900.0,1009596.0,2.1,1019283633.0,1010.0,3.7,3.7
