BASE_DATE,SIDO_NM,KTO_TOB_MCLS_NM,KTO_TOB_MCLS_CD,CNSM_AMT,SPPY_CNSM_AMT
201810,전국,레저용품쇼핑,43,448136598.0,0.0
201810,전국,기타관광쇼핑,44,2289642063.0,0.0
201810,전국,기타레저,55,169449424.0,0.0
201810,전국,문화서비스,56,131620721.0,0.0
201810,전국,육상운송,31,3346086272.0,0.0
201810,전국,수상운송,32,15498524.0,0.0
201810,전국,렌터카,34,20022003.0,0.0
201810,전국,대형쇼핑몰,42,3108498348.0,0.0
201810,전국,골프장,53,307049908.0,0.0
201810,전국,뷰티,62,299817299.0,0.0
201810,전국,일반외식업,71,3509035175.0,0.0
201810,전국,제과음료업,72,519553985.0,0.0
201810,전국,콘도,12,31070499.0,0.0
201810,전국,관광유원시설,52,66445233.0,0.0
201810,전국,스키장,54,319281.0,0.0
201811,전국,호텔,11,99958558.0,0.0
201811,전국,캠핑장/펜션,13,9475247.0,0.0
201811,전국,기타숙박,14,129473177.0,0.0
201811,전국,여행업,21,108561664.0,0.0
201811,전국,항공운송,33,446104597.0,0.0
201811,전국,면세점,41,160033706.0,0.0
201811,전국,레저용품쇼핑,43,416328331.0,0.0
201811,전국,기타관광쇼핑,44,2197205936.0,0.0
201811,전국,기타레저,55,164704376.0,0.0
201811,전국,문화서비스,56,144900875.0,0.0
201811,전국,육상운송,31,3245682886.0,0.0
201811,전국,수상운송,32,11630137.0,0.0
201811,전국,대형쇼핑몰,42,2950478991.0,0.0
201811,전국,골프장,53,253251963.0,0.0
201811,전국,뷰티,62,300609363.0,0.0
201811,전국,일반외식업,71,3347441448.0,0.0
201811,전국,제과음료업,72,496063158.0,0.0
201811,전국,콘도,12,24346549.0,0.0
201811,전국,렌터카,34,19364834.0,0.0
201811,전국,관광유원시설,52,36725029.0,0.0
201811,전국,스키장,54,440758.0,0.0
201812,전국,호텔,11,154411907.0,0.0
201812,전국,캠핑장/펜션,13,9699672.0,0.0
201812,전국,기타숙박,14,142894171.0,0.0
201812,전국,여행업,21,143902407.0,0.0
201812,전국,항공운송,33,536584491.0,0.0
201812,전국,면세점,41,157450431.0,0.0
201812,전국,대형쇼핑몰,42,3379654574.0,0.0
201812,전국,레저용품쇼핑,43,409107543.0,0.0
201812,전국,기타관광쇼핑,44,2278387793.0,0.0
201812,전국,기타레저,55,198597526.0,0.0
201812,전국,문화서비스,56,176874112.0,0.0
201812,전국,육상운송,31,3165025746.0,0.0
201812,전국,수상운송,32,9268358.0,0.0
201812,전국,골프장,53,113772497.0,0.0
201812,전국,뷰티,62,333967387.0,0.0
201812,전국,일반외식업,71,3826185587.0,0.0
201812,전국,제과음료업,72,549804728.0,0.0
201812,전국,콘도,12,43546898.0,0.0
201812,전국,렌터카,34,20236640.0,0.0
201812,전국,관광유원시설,52,34068001.0,0.0
201812,전국,스키장,54,7327725.0,0.0
201901,전국,호텔,11,122001308.0,110163270.0
201901,전국,캠핑장/펜션,13,8648631.0,9504186.0
201901,전국,기타숙박,14,128282476.0,115810273.0
201901,전국,여행업,21,204015847.0,199800339.0
201901,전국,항공운송,33,571750721.0,594844203.0
201901,전국,면세점,41,172176419.0,187578390.0
201901,전국,대형쇼핑몰,42,2768517791.0,2658920106.0
201901,전국,레저용품쇼핑,43,276445721.0,263268770.0
