조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
52,2024_1-8,52,전북특별자치도,1,외지인,695142189812.9994,2206375971067.7065
52,2024_1-8,46,전라남도,1,외지인,689229015418.9989,2389820600535.9956
52,2024_1-8,29,광주광역시,1,외지인,685789547453.8998,2025141599248.5005
52,2024_1-8,50,제주특별자치도,1,외지인,670772223241.0,2031870303781.2993
52,2024_1-8,31,울산광역시,1,외지인,543833679773.19977,1511198884103.101
52,2024_1-8,36,세종특별자치시,1,외지인,108048935855.09996,316803264799.4001
52,2024_1-8,11,서울특별시,2,외국인,1373754593003.2988,4020764158712.096
52,2024_1-8,41,경기도,2,외국인,155219111527.1999,442121115549.6999
52,2024_1-8,28,인천광역시,2,외국인,149054056817.69995,376508065448.90027
52,2024_1-8,26,부산광역시,2,외국인,148873821909.39987,427698482735.1991
52,2024_1-8,50,제주특별자치도,2,외국인,66199132637.99997,185905410455.80002
52,2024_1-8,27,대구광역시,2,외국인,14101091074.200014,36853987441.00003
52,2024_1-8,47,경상북도,2,외국인,13867143088.399998,33087377585.80004
52,2024_1-8,48,경상남도,2,외국인,11577535773.700016,29035381885.500008
52,2024_1-8,51,강원특별자치도,2,외국인,10153731890.00001,34156788958.69997
52,2024_1-8,52,전북특별자치도,2,외국인,8482877063.200007,20483509360.1
52,2024_1-8,44,충청남도,2,외국인,8260295599.499995,22074018862.600006
52,2024_1-8,30,대전광역시,2,외국인,8080328775.099989,27606973158.600014
52,2024_1-8,43,충청북도,2,외국인,4789001135.299993,12341500336.700005
