조회_SGG_CD,조회_지역,조회기간,DPTR_REGN_NM,DPTR_REGN_DTL_NM,DISP_NM,DTL_TOU_NUM,TOT_DTL_TOU_NUM_RATE,TOU_NUM,TOU_NUM_SQRT,TOT_DPTR_REGN_NM_RATE
47170,경상북도 안동시,202601-202608,부산광역시,강서구,부산광역시 강서구,18194.0,0.2,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,연제구,부산광역시 연제구,24179.0,0.2,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,수영구,부산광역시 수영구,21059.0,0.2,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,사상구,부산광역시 사상구,20399.0,0.2,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,기장군,부산광역시 기장군,21854.0,0.2,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,중구,부산광역시 중구,6222.0,0.1,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,서구,부산광역시 서구,8882.0,0.1,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,동구,부산광역시 동구,7853.0,0.1,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,부산광역시,영도구,부산광역시 영도구,9248.0,0.1,373367.0,611.0,3.2
47170,경상북도 안동시,202601-202608,강원특별자치도,원주시,강원특별자치도 원주시,104562.0,0.9,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,춘천시,강원특별자치도 춘천시,55484.0,0.5,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,태백시,강원특별자치도 태백시,49034.0,0.4,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,강릉시,강원특별자치도 강릉시,28251.0,0.2,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,동해시,강원특별자치도 동해시,18692.0,0.2,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,속초시,강원특별자치도 속초시,10090.0,0.1,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,삼척시,강원특별자치도 삼척시,14603.0,0.1,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,홍천군,강원특별자치도 홍천군,12676.0,0.1,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,횡성군,강원특별자치도 횡성군,9371.0,0.1,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,영월군,강원특별자치도 영월군,13040.0,0.1,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,평창군,강원특별자치도 평창군,11256.0,0.1,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,정선군,강원특별자치도 정선군,14049.0,0.1,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,인제군,강원특별자치도 인제군,7115.0,0.1,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,철원군,강원특별자치도 철원군,4434.0,0.0,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,화천군,강원특별자치도 화천군,3784.0,0.0,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,양구군,강원특별자치도 양구군,4498.0,0.0,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,고성군,강원특별자치도 고성군,3458.0,0.0,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,강원특별자치도,양양군,강원특별자치도 양양군,4124.0,0.0,368521.0,607.0,3.1
47170,경상북도 안동시,202601-202608,충청북도,제천시,충청북도 제천시,58528.0,0.5,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,충주시,충청북도 충주시,50780.0,0.4,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,청주시 서원구,충청북도 청주시 서원구,29896.0,0.3,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,청주시 흥덕구,충청북도 청주시 흥덕구,34342.0,0.3,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,청주시 상당구,충청북도 청주시 상당구,19117.0,0.2,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,청주시 청원구,충청북도 청주시 청원구,24394.0,0.2,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,음성군,충청북도 음성군,20050.0,0.2,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,단양군,충청북도 단양군,24077.0,0.2,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,영동군,충청북도 영동군,8225.0,0.1,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,진천군,충청북도 진천군,13376.0,0.1,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,괴산군,충청북도 괴산군,5969.0,0.1,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,보은군,충청북도 보은군,4778.0,0.0,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,옥천군,충청북도 옥천군,5253.0,0.0,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,충청북도,증평군,충청북도 증평군,5635.0,0.0,304419.0,552.0,2.6
47170,경상북도 안동시,202601-202608,울산광역시,남구,울산광역시 남구,60230.0,0.5,233525.0,483.0,2.0
47170,경상북도 안동시,202601-202608,울산광역시,북구,울산광역시 북구,52952.0,0.5,233525.0,483.0,2.0
47170,경상북도 안동시,202601-202608,울산광역시,울주군,울산광역시 울주군,47914.0,0.4,233525.0,483.0,2.0
47170,경상북도 안동시,202601-202608,울산광역시,중구,울산광역시 중구,39352.0,0.3,233525.0,483.0,2.0
47170,경상북도 안동시,202601-202608,울산광역시,동구,울산광역시 동구,33078.0,0.3,233525.0,483.0,2.0
47170,경상북도 안동시,202601-202608,인천광역시,연수구,인천광역시 연수구,30968.0,0.3,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,부평구,인천광역시 부평구,31296.0,0.3,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,서구,인천광역시 서구,33732.0,0.3,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,미추홀구,인천광역시 미추홀구,22615.0,0.2,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,남동구,인천광역시 남동구,28660.0,0.2,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,계양구,인천광역시 계양구,17708.0,0.2,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,중구,인천광역시 중구,12125.0,0.1,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,서해구,인천광역시 서해구,6869.0,0.1,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,제물포구,인천광역시 제물포구,1100.0,0.0,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,동구,인천광역시 동구,1427.0,0.0,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,영종구,인천광역시 영종구,3601.0,0.0,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,검단구,인천광역시 검단구,5057.0,0.0,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,강화군,인천광역시 강화군,3581.0,0.0,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,인천광역시,옹진군,인천광역시 옹진군,1913.0,0.0,200652.0,448.0,1.7
47170,경상북도 안동시,202601-202608,충청남도,천안시 서북구,충청남도 천안시 서북구,33736.0,0.3,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,아산시,충청남도 아산시,30089.0,0.3,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,천안시 동남구,충청남도 천안시 동남구,25880.0,0.2,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,공주시,충청남도 공주시,8142.0,0.1,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,서산시,충청남도 서산시,11335.0,0.1,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,논산시,충청남도 논산시,9529.0,0.1,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,당진시,충청남도 당진시,14211.0,0.1,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,홍성군,충청남도 홍성군,6172.0,0.1,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,보령시,충청남도 보령시,5649.0,0.0,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,계룡시,충청남도 계룡시,5029.0,0.0,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,금산군,충청남도 금산군,4183.0,0.0,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,부여군,충청남도 부여군,4574.0,0.0,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,서천군,충청남도 서천군,2602.0,0.0,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,청양군,충청남도 청양군,1237.0,0.0,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,예산군,충청남도 예산군,5361.0,0.0,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,충청남도,태안군,충청남도 태안군,2763.0,0.0,170494.0,413.0,1.5
47170,경상북도 안동시,202601-202608,대전광역시,서구,대전광역시 서구,49381.0,0.4,160531.0,401.0,1.4
47170,경상북도 안동시,202601-202608,대전광역시,유성구,대전광역시 유성구,51381.0,0.4,160531.0,401.0,1.4
47170,경상북도 안동시,202601-202608,대전광역시,동구,대전광역시 동구,21729.0,0.2,160531.0,401.0,1.4
47170,경상북도 안동시,202601-202608,대전광역시,중구,대전광역시 중구,20041.0,0.2,160531.0,401.0,1.4
47170,경상북도 안동시,202601-202608,대전광역시,대덕구,대전광역시 대덕구,17999.0,0.2,160531.0,401.0,1.4
47170,경상북도 안동시,202601-202608,전남광주통합특별시,서구,전남광주통합특별시 서구,6940.0,0.1,121475.0,349.0,1.0
47170,경상북도 안동시,202601-202608,전남광주통합특별시,북구,전남광주통합특별시 북구,9321.0,0.1,121475.0,349.0,1.0
47170,경상북도 안동시,202601-202608,전남광주통합특별시,광산구,전남광주통합특별시 광산구,10728.0,0.1,121475.0,349.0,1.0
47170,경상북도 안동시,202601-202608,전남광주통합특별시,여수시,전남광주통합특별시 여수시,6717.0,0.1,121475.0,349.0,1.0
47170,경상북도 안동시,202601-202608,전남광주통합특별시,순천시,전남광주통합특별시 순천시,7891.0,0.1,121475.0,349.0,1.0
47170,경상북도 안동시,202601-202608,전남광주통합특별시,광양시,전남광주통합특별시 광양시,7745.0,0.1,121475.0,349.0,1.0
