조회_SGG_CD,조회_지역,조회기간,FROM_NM,TO_NM,DPTR_REGN_NM,DPTR_REGN_DTL_NM,TOU_NUM,TOU_NUM_SQRT,TOU_NUM_RATE,DTL_TOU_NUM,DTL_TOU_NUM_SQRT,DTL_TOU_NUM_RATE
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 영주시,역사관광,역사유적지,3353,58.0,1.7,971,31.0,29.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,레저스포츠,육상레저스포츠,3336,58.0,1.7,3099,56.0,92.9
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,레저스포츠,기타레저스포츠,3336,58.0,1.7,226,15.0,6.8
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 예천군,레저스포츠,수상레저스포츠,3336,58.0,1.7,11,3.0,0.3
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,음식,한식,3335,58.0,1.7,2135,46.0,64.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,음식,음식점기타,3335,58.0,1.7,132,11.0,4.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,음식,전문음식,3335,58.0,1.7,366,19.0,11.0
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,음식,카페/찻집,3335,58.0,1.7,328,18.0,9.8
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,음식,간이음식,3335,58.0,1.7,187,14.0,5.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 의성군,음식,외국식,3335,58.0,1.7,187,14.0,5.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,숙박,펜션/민박,3327,58.0,1.7,20,4.0,0.6
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,숙박,호텔,3327,58.0,1.7,216,15.0,6.5
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,숙박,기타숙박,3327,58.0,1.7,17,4.0,0.5
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,숙박,모텔,3327,58.0,1.7,547,23.0,16.4
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,숙박,캠핑,3327,58.0,1.7,107,10.0,3.2
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,숙박,콘도미니엄,3327,58.0,1.7,2420,49.0,72.7
47170,경상북도 안동시,202501-202512,경상북도 안동시,경상북도 청송군,음식,한식,3083,56.0,1.6,2420,49.0,78.5
