조회연도,FSTV_YEAR,FSTV_ID,FSTV_REPS_NM,FSTV_NM,SIDO_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,KTO_TOB_LCLS_CD,KTO_TOB_LCLS_NM,FSTV_PERD_CNT,SUM_CNSM_AMT,SUM_CNSM_AMT_1000,SUM_CNSM_AMT_AVG,SUM_CNSM_AMT_1000_AVG
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,4,쇼핑업,10,653990559.9,653991,65399056,65399
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,4,쇼핑업,10,33444787.299999997,33445,3344479,3344
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,4,쇼핑업,10,770031586.9,770032,77003159,77003
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,0,현지인,5,여가서비스업,10,527.7,1,53,0
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,5,여가서비스업,10,7542602.200000001,7543,754260,754
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,5,여가서비스업,10,70000,70,7000,7
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,5,여가서비스업,10,7543129.900000001,7543,754313,754
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,6,의료웰니스업,10,45079906,45080,4507991,4508
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,6,의료웰니스업,10,9147455,9147,914746,915
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,6,의료웰니스업,10,45079906,45080,4507991,4508
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,1,외지인,7,식음료업,10,1143139025.9,1143139,114313903,114314
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,2,외국인,7,식음료업,10,22471139.1,22471,2247114,2247
2025,2025,KCTF0041,안동탈춤축제,안동탈춤축제,47,경상북도,안동시,중구동,3,내국인,7,식음료업,10,1143139025.9,1143139,114313903,114314
