조회_시도,조회기간,SIDO_CD,SIDO_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM
47,2025,50,제주특별자치도,1,외지인,1713221735920.0012,5312275813229.597,32.25
47,2025,41,경기도,1,외지인,652449934831685.8,2051185878522220.2,31.81
47,2025,47,경상북도,1,외지인,40544686367806.94,130909253927982.5,30.97
47,2025,48,경상남도,1,외지인,40209397645980.81,129921296709849.8,30.95
47,2025,52,전북특별자치도,1,외지인,16722560210036.549,54688144521963.12,30.58
47,2025,44,충청남도,1,외지인,28110150367272.85,93271922881243.62,30.14
47,2025,51,강원특별자치도,1,외지인,26730844149686.207,89179215062050.83,29.97
47,2025,12,전남광주통합특별시,1,외지인,26872484105268.41,94765966429890.52,28.36
47,2025,47,경상북도,2,외국인,663017021265.5691,1623040564060.7952,40.85
47,2025,28,인천광역시,2,외국인,4993808249038.465,12349658656076.814,40.44
47,2025,52,전북특별자치도,2,외국인,232087769967.99753,578696525899.2128,40.11
47,2025,31,울산광역시,2,외국인,42409994447.0,105926861710.99994,40.04
47,2025,48,경상남도,2,외국인,565368703618.1934,1436945108488.3164,39.35
47,2025,43,충청북도,2,외국인,164231780255.99997,431623806798.00446,38.05
47,2025,36,세종특별자치시,2,외국인,1759239066.1999998,4696356930.500002,37.46
47,2025,12,전남광주통합특별시,2,외국인,204833300024.9961,572573632017.4115,35.77
47,2025,44,충청남도,2,외국인,242738121941.7979,688675984984.2872,35.25
47,2025,27,대구광역시,2,외국인,251180112518.10257,722852990196.9181,34.75
47,2025,41,경기도,2,외국인,15978683682202.348,46575880601696.11,34.31
47,2025,26,부산광역시,2,외국인,5051945966254.309,15034162517026.996,33.6
47,2025,50,제주특별자치도,2,외국인,221194475105.1994,665418305923.0007,33.24
47,2025,11,서울특별시,2,외국인,68058364554897.35,207705293349068.8,32.77
47,2025,30,대전광역시,2,외국인,75483582747.9998,255947447726.9996,29.49
47,2025,51,강원특별자치도,2,외국인,280443900877.1919,1040337241783.198,26.96
47,2025,11,서울특별시,3,내국인,442313817497315.94,1183131862250218.5,37.38
47,2025,31,울산광역시,3,내국인,4263032576800.507,12292282135277.11,34.68
47,2025,28,인천광역시,3,내국인,43229465938649.96,129027872321399.81,33.5
47,2025,26,부산광역시,3,내국인,53658285405454.29,162051398805875.66,33.11
47,2025,27,대구광역시,3,내국인,20038950329704.156,60919829642032.01,32.89
47,2025,36,세종특별자치시,3,내국인,157282566843.89996,481738512362.7004,32.65
47,2025,43,충청북도,3,내국인,27434211564473.723,85247610777249.05,32.18
47,2025,30,대전광역시,3,내국인,8115038277247.028,25289758737095.105,32.09
47,2025,50,제주특별자치도,3,내국인,1764854584500.8005,5575820034169.201,31.65
47,2025,41,경기도,3,내국인,677972239462479.5,2152629091617666.0,31.5
47,2025,47,경상북도,3,내국인,41310958084524.07,134636005646356.44,30.68
47,2025,48,경상남도,3,내국인,41708881551825.125,136546198855997.3,30.55
47,2025,52,전북특별자치도,3,내국인,17060955008919.543,56130571145472.23,30.4
47,2025,44,충청남도,3,내국인,28733754198658.17,95720507989277.25,30.02
47,2025,51,강원특별자치도,3,내국인,27527932785225.7,93111220761967.86,29.56
47,2025,12,전남광주통합특별시,3,내국인,27596147126099.957,98342040759140.16,28.06
44,2024_1-8,28,인천광역시,0,현지인,472555966309.50055,1629873938923.5261,28.99
44,2024_1-8,44,충청남도,0,현지인,475830863373.90265,1739490622176.626,27.35
44,2024_1-8,36,세종특별자치시,0,현지인,2230293801.899998,8159396695.800002,27.33
44,2024_1-8,11,서울특별시,0,현지인,11855430827702.398,45150845178230.34,26.26
44,2024_1-8,41,경기도,0,현지인,17943647967275.145,68666645808979.84,26.13
44,2024_1-8,27,대구광역시,0,현지인,360307919080.0987,1418451282610.2778,25.4
44,2024_1-8,31,울산광역시,0,현지인,77867861659.99976,310649656210.99945,25.07
44,2024_1-8,43,충청북도,0,현지인,411918028578.0059,1650059013773.997,24.96
44,2024_1-8,52,전북특별자치도,0,현지인,241285499187.20056,996912208523.2069,24.2
44,2024_1-8,48,경상남도,0,현지인,1075781623642.1809,4525742075351.596,23.77
44,2024_1-8,30,대전광역시,0,현지인,232068343086.5003,992156295199.4983,23.39
44,2024_1-8,51,강원특별자치도,0,현지인,600768058120.2063,2636126141290.2354,22.79
44,2024_1-8,12,전남광주통합특별시,0,현지인,554615376741.1088,2521404509099.8335,22.0
44,2024_1-8,26,부산광역시,0,현지인,1595950802742.375,7258325313588.82,21.99
44,2024_1-8,47,경상북도,0,현지인,579973776009.6113,2643213065272.8926,21.94
44,2024_1-8,50,제주특별자치도,0,현지인,38828079087.00001,191304049594.00012,20.3
44,2024_1-8,11,서울특별시,1,외지인,295321416620868.3,765398582331596.0,38.58
44,2024_1-8,31,울산광역시,1,외지인,2719168398866.0117,7555994420515.514,35.99
44,2024_1-8,26,부산광역시,1,외지인,34279729759992.895,97771297517732.14,35.06
44,2024_1-8,28,인천광역시,1,외지인,29783020651701.14,85190143149095.22,34.96
44,2024_1-8,27,대구광역시,1,외지인,13288189624121.879,38847480812308.68,34.21
44,2024_1-8,36,세종특별자치시,1,외지인,108048935855.1,316803264799.3998,34.11
44,2024_1-8,30,대전광역시,1,외지인,5300709882393.02,15681826363644.988,33.8
44,2024_1-8,43,충청북도,1,외지인,18134802057117.734,54397044905953.46,33.34
44,2024_1-8,50,제주특별자치도,1,외지인,1341544446481.9998,4063740607562.603,33.01
44,2024_1-8,41,경기도,1,외지인,453432847346807.8,1377209399453185.8,32.92
44,2024_1-8,47,경상북도,1,외지인,27636768985267.477,86259595101141.9,32.04
44,2024_1-8,48,경상남도,1,외지인,27251144081529.418,85219483129923.06,31.98
44,2024_1-8,52,전북특별자치도,1,외지인,11122275037007.938,35302015537084.51,31.51
44,2024_1-8,44,충청남도,1,외지인,19404770457414.75,61803993486095.28,31.4
44,2024_1-8,51,강원특별자치도,1,외지인,18641361942901.61,60375898216953.79,30.88
