조회_시도,조회기간,DT,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT
44,2026_1-8,202608,0,현지인,2834922722.200001,10833375672.399994
44,2026_1-8,202601,1,외지인,125284302410.29993,430865727496.4003
44,2026_1-8,202602,1,외지인,122005110010.4001,430076083981.2999
44,2026_1-8,202603,1,외지인,141895594646.29996,473653697507.19977
44,2026_1-8,202604,1,외지인,147170864416.1,497896166137.0001
44,2026_1-8,202605,1,외지인,169306879962.1002,572387878756.2999
44,2026_1-8,202606,1,외지인,148395788621.00006,491357221009.70013
44,2026_1-8,202607,1,외지인,150043624516.59995,496596907314.89966
44,2026_1-8,202608,1,외지인,153281800889.4001,528028621122.2
44,2026_1-8,202601,2,외국인,1078012037.9,3298750539.5000005
44,2026_1-8,202602,2,외국인,942577715.4999999,2864059296.500001
44,2026_1-8,202603,2,외국인,1656609246.8000002,4577770337.399999
44,2026_1-8,202604,2,외국인,1655807386.7000012,4652508842.200001
44,2026_1-8,202605,2,외국인,2039081831.8000002,5331601763.600001
44,2026_1-8,202606,2,외국인,1988601984.8,5094334484.5
44,2026_1-8,202607,2,외국인,1896898808.499999,5248786662.300001
44,2026_1-8,202608,2,외국인,1826565929.8999996,4844996881.399995
44,2025,202501,0,현지인,2855665182.1,10399332584.799997
44,2025,202502,0,현지인,2507633958.7999997,9093810997.1
44,2025,202503,0,현지인,3306993224.2000012,11967966196.399996
44,2025,202504,0,현지인,3303924696.4999995,12012909735.600004
44,2025,202505,0,현지인,3372973604.8,13223106811.6
44,2025,202506,0,현지인,3077359657.3999996,11600762551.5
44,2025,202507,0,현지인,2903118798.4,11738239223.000004
44,2025,202508,0,현지인,3042987246.400001,11381555413.799994
44,2025,202509,0,현지인,2649672057.4999986,11247617911.300003
44,2025,202510,0,현지인,3092412087.6999993,13587935513.49999
44,2025,202511,0,현지인,3550146115.0,13972059892.0
44,2025,202512,0,현지인,3019691688.0,13809121289.0
44,2025,202501,1,외지인,117340381795.9,411692029544.60065
44,2025,202502,1,외지인,108422814754.89996,355872242792.09985
44,2025,202503,1,외지인,134797438695.60004,447574014606.20044
44,2025,202504,1,외지인,133654961001.49994,442806750606.6997
44,2025,202505,1,외지인,155109945242.69998,506620345515.3998
44,2025,202506,1,외지인,136309679255.49998,438746453920.4003
44,2025,202507,1,외지인,142260265776.4,454232621663.3002
44,2025,202508,1,외지인,149977410268.90002,495220859451.7995
44,2025,202509,1,외지인,138776120051.6,451694531096.4
44,2025,202510,1,외지인,155589946977.40005,535376316240.7
44,2025,202511,1,외지인,144495912335.0,493353638791.0
44,2025,202512,1,외지인,136803380743.0,453393894668.0
44,2025,202501,2,외국인,899896822.6,2606924387.0000005
44,2025,202502,2,외국인,888480699.7999998,2430097114.1999993
44,2025,202503,2,외국인,1314026521.4,3555490447.6999993
44,2025,202504,2,외국인,1224714205.1000004,3523509843.500002
44,2025,202505,2,외국인,1248529343.5,3618448745.700001
44,2025,202506,2,외국인,1154393548.9999998,3478701472.400002
44,2025,202507,2,외국인,1176657249.0,3273724850.1999993
44,2025,202508,2,외국인,1157210690.9,3303790635.4
44,2025,202509,2,외국인,1184579157.8,3389343993.9000006
44,2025,202510,2,외국인,1456299789.4000008,3954472935.9999995
44,2025,202511,2,외국인,1214048282.0999997,3688029170.599999
44,2025,202512,2,외국인,1359876744.8000002,3687818461.299999
52,2024_1-8,202401,0,현지인,1628109311.6000009,7134257123.500001
52,2024_1-8,202402,0,현지인,1558568197.8999999,6911979441.800002
52,2024_1-8,202403,0,현지인,1973538835.5,8596073638.699999
52,2024_1-8,202404,0,현지인,2203516359.3999996,8897306772.099998
52,2024_1-8,202405,0,현지인,2205457314.2999997,9190036682.0
52,2024_1-8,202406,0,현지인,2091294132.1000001,8218880655.700003
52,2024_1-8,202407,0,현지인,1755052414.3,6889156622.599996
52,2024_1-8,202408,0,현지인,1664807134.1000001,6469322096.299999
52,2024_1-8,202401,1,외지인,75488366225.20003,243303474666.9999
