조회_시도,조회기간,SIDO_CD,SGG_CD,ADONG_CD,SIDO_NM,SGG_NM,ADONG_NM,LRFRN_DIV_CD,LRFRN_DIV_NM,NIGHT_CNSM_AMT,CNSM_AMT,RATE_NUM,RNK
52,2024_1-8,52,52190,52190250,전북특별자치도,남원시,운봉읍,0,현지인,3450244.0,4630800.0,74.51,10
52,2024_1-8,52,52130,52130701,전북특별자치도,군산시,나운1동,1,외지인,3020669811.0,5281650034.0,57.19,1
52,2024_1-8,52,52740,52740335,전북특별자치도,장수군,장계면,1,외지인,2989113730.0,5361607678.0,55.75,2
52,2024_1-8,52,52113,52113612,전북특별자치도,전주시 덕진구,우아2동,1,외지인,12625055248.0,23513844371.0,53.69,3
52,2024_1-8,52,52111,52111671,전북특별자치도,전주시 완산구,중화산1동,1,외지인,5320117995.0,9974372810.0,53.34,4
52,2024_1-8,52,52111,52111702,전북특별자치도,전주시 완산구,삼천2동,1,외지인,2464479661.0,4779436129.0,51.56,5
52,2024_1-8,52,52140,52140610,전북특별자치도,익산시,모현동,1,외지인,8264260558.0,16042017440.0,51.52,6
52,2024_1-8,52,52130,52130703,전북특별자치도,군산시,나운3동,1,외지인,9519314220.0,18752529952.0,50.76,7
52,2024_1-8,52,52111,52111672,전북특별자치도,전주시 완산구,중화산2동,1,외지인,11501229074.0,22663285121.0,50.75,8
52,2024_1-8,52,52111,52111701,전북특별자치도,전주시 완산구,삼천1동,1,외지인,693228801.0,1392691270.0,49.78,9
52,2024_1-8,52,52140,52140560,전북특별자치도,익산시,인화동,1,외지인,4664001964.0,9386923389.0,49.69,10
52,2024_1-8,52,52800,52800420,전북특별자치도,부안군,위도면,2,외국인,506000.0,571400.0,88.55,1
52,2024_1-8,52,52130,52130400,전북특별자치도,군산시,옥서면,2,외국인,1100793888.0,1594792111.0,69.02,2
52,2024_1-8,52,52111,52111702,전북특별자치도,전주시 완산구,삼천2동,2,외국인,15577191.0,24304392.0,64.09,3
52,2024_1-8,52,52730,52730310,전북특별자치도,무주군,무풍면,2,외국인,1575320.0,2461120.0,64.01,4
52,2024_1-8,52,52140,52140560,전북특별자치도,익산시,인화동,2,외국인,23264066.0,36532973.0,63.68,5
52,2024_1-8,52,52750,52750370,전북특별자치도,임실군,삼계면,2,외국인,33200.0,53200.0,62.41,6
52,2024_1-8,52,52180,52180380,전북특별자치도,정읍시,정우면,2,외국인,390405.0,643329.0,60.69,7
52,2024_1-8,52,52130,52130690,전북특별자치도,군산시,수송동,2,외국인,1946202636.0,3217508098.0,60.49,8
52,2024_1-8,52,52710,52710330,전북특별자치도,완주군,이서면,2,외국인,79993101.0,132405782.0,60.42,9
52,2024_1-8,52,52710,52710380,전북특별자치도,완주군,운주면,2,외국인,15321700.0,26031364.0,58.86,10
52,2024_1-8,52,52740,52740335,전북특별자치도,장수군,장계면,3,내국인,2992102212.0,5375583543.0,55.66,1
52,2024_1-8,52,52113,52113612,전북특별자치도,전주시 덕진구,우아2동,3,내국인,12895930596.0,23865590870.0,54.04,2
52,2024_1-8,52,52130,52130701,전북특별자치도,군산시,나운1동,3,내국인,3126291494.0,5808919030.0,53.82,3
52,2024_1-8,52,52111,52111671,전북특별자치도,전주시 완산구,중화산1동,3,내국인,5478109943.0,10191720764.0,53.75,4
52,2024_1-8,52,52111,52111702,전북특별자치도,전주시 완산구,삼천2동,3,내국인,2472968152.0,4843446738.0,51.06,5
52,2024_1-8,52,52140,52140610,전북특별자치도,익산시,모현동,3,내국인,8487302951.0,16700436391.0,50.82,6
52,2024_1-8,52,52130,52130703,전북특별자치도,군산시,나운3동,3,내국인,9963011053.0,19675629223.0,50.64,7
52,2024_1-8,52,52140,52140560,전북특별자치도,익산시,인화동,3,내국인,4923754092.0,9755242607.0,50.47,8
52,2024_1-8,52,52111,52111701,전북특별자치도,전주시 완산구,삼천1동,3,내국인,696665430.0,1401648406.0,49.7,9
52,2024_1-8,52,52111,52111672,전북특별자치도,전주시 완산구,중화산2동,3,내국인,11659541747.0,23555552051.0,49.5,10
52,2026_1-8,52,52800,52800420,전북특별자치도,부안군,위도면,0,현지인,1071852.0,1071852.0,100.0,1
52,2026_1-8,52,52140,52140420,전북특별자치도,익산시,춘포면,0,현지인,481979.0,481979.0,100.0,2
52,2026_1-8,52,52210,52210410,전북특별자치도,김제시,진봉면,0,현지인,428628.0,428628.0,100.0,3
52,2026_1-8,52,52790,52790400,전북특별자치도,고창군,흥덕면,0,현지인,427993.0,427993.0,100.0,4
52,2026_1-8,52,52790,52790380,전북특별자치도,고창군,대산면,0,현지인,320959.0,320959.0,100.0,5
52,2026_1-8,52,52790,52790370,전북특별자치도,고창군,성송면,0,현지인,24680.0,24680.0,100.0,6
52,2026_1-8,52,52790,52790430,전북특별자치도,고창군,부안면,0,현지인,5350.0,5350.0,100.0,7
52,2026_1-8,52,52180,52180580,전북특별자치도,정읍시,농소동,0,현지인,1553142.0,1737837.0,89.37,8
52,2026_1-8,52,52190,52190540,전북특별자치도,남원시,노암동,0,현지인,151865944.0,199795810.0,76.01,9
52,2026_1-8,52,52113,52113612,전북특별자치도,전주시 덕진구,우아2동,0,현지인,357339201.0,474382615.0,75.33,10
52,2026_1-8,52,52111,52111906,전북특별자치도,전주시 완산구,효자동,1,외지인,3731144.0,4027566.0,92.64,1
52,2026_1-8,52,52111,52111904,전북특별자치도,전주시 완산구,중화산동,1,외지인,377782.0,495749.0,76.2,2
52,2026_1-8,52,52130,52130701,전북특별자치도,군산시,나운1동,1,외지인,2862260776.0,5057320561.0,56.6,3
52,2026_1-8,52,52140,52140647,전북특별자치도,익산시,영등2동,1,외지인,6765947564.0,12979398541.0,52.13,4
52,2026_1-8,52,52130,52130703,전북특별자치도,군산시,나운3동,1,외지인,9101248669.0,18133861736.0,50.19,5
52,2026_1-8,52,52111,52111702,전북특별자치도,전주시 완산구,삼천2동,1,외지인,2466056673.0,4961849338.0,49.7,6
52,2026_1-8,52,52113,52113612,전북특별자치도,전주시 덕진구,우아2동,1,외지인,13765793764.0,27850109264.0,49.43,7
52,2026_1-8,52,52113,52113641,전북특별자치도,전주시 덕진구,송천1동,1,외지인,12658060408.0,25836764369.0,48.99,8
52,2026_1-8,52,52111,52111672,전북특별자치도,전주시 완산구,중화산2동,1,외지인,12448979449.0,25441074586.0,48.93,9
52,2026_1-8,52,52111,52111671,전북특별자치도,전주시 완산구,중화산1동,1,외지인,5804561732.0,11889198191.0,48.82,10
52,2026_1-8,52,52210,52210460,전북특별자치도,김제시,광활면,2,외국인,184506.0,184506.0,100.0,1
52,2026_1-8,52,52190,52190400,전북특별자치도,남원시,보절면,2,외국인,23000.0,23000.0,100.0,2
52,2026_1-8,52,52140,52140430,전북특별자치도,익산시,삼기면,2,외국인,25817402.0,32451277.0,79.56,3
52,2026_1-8,52,52750,52750370,전북특별자치도,임실군,삼계면,2,외국인,110000.0,148000.0,74.32,4
52,2026_1-8,52,52190,52190540,전북특별자치도,남원시,노암동,2,외국인,49843618.0,68618758.0,72.64,5
52,2026_1-8,52,52140,52140560,전북특별자치도,익산시,인화동,2,외국인,38369414.0,58270781.0,65.85,6
52,2026_1-8,52,52730,52730310,전북특별자치도,무주군,무풍면,2,외국인,1772350.0,2728940.0,64.95,7
52,2026_1-8,52,52111,52111702,전북특별자치도,전주시 완산구,삼천2동,2,외국인,25993908.0,40558240.0,64.09,8
52,2026_1-8,52,52740,52740340,전북특별자치도,장수군,천천면,2,외국인,142700.0,224100.0,63.68,9
52,2026_1-8,52,52210,52210520,전북특별자치도,김제시,신풍동,2,외국인,8776677.0,13890669.0,63.18,10
52,2026_1-8,52,52111,52111906,전북특별자치도,전주시 완산구,효자동,3,내국인,3731144.0,4027566.0,92.64,1
52,2026_1-8,52,52111,52111904,전북특별자치도,전주시 완산구,중화산동,3,내국인,377782.0,495749.0,76.2,2
52,2026_1-8,52,52130,52130701,전북특별자치도,군산시,나운1동,3,내국인,2913374479.0,5416676470.0,53.79,3
52,2026_1-8,52,52140,52140647,전북특별자치도,익산시,영등2동,3,내국인,6915660555.0,13593033861.0,50.88,4
52,2026_1-8,52,52113,52113612,전북특별자치도,전주시 덕진구,우아2동,3,내국인,14123132965.0,28324491879.0,49.86,5
52,2026_1-8,52,52130,52130703,전북특별자치도,군산시,나운3동,3,내국인,9361332414.0,18934459535.0,49.44,6
52,2026_1-8,52,52111,52111702,전북특별자치도,전주시 완산구,삼천2동,3,내국인,2467694386.0,5003807007.0,49.32,7
52,2026_1-8,52,52111,52111671,전북특별자치도,전주시 완산구,중화산1동,3,내국인,5939514343.0,12079482943.0,49.17,8
52,2026_1-8,52,52113,52113641,전북특별자치도,전주시 덕진구,송천1동,3,내국인,12670122703.0,25922264925.0,48.88,9
52,2026_1-8,52,52140,52140560,전북특별자치도,익산시,인화동,3,내국인,4060489757.0,8453250147.0,48.03,10
