BASE_DATE,CTNN_NM,C_RATE,NAT_NM,PRE_QTY,QTY,R_LEV,SEX_CD,SRT_NO
202101,기타,-100.0,연도대륙,16.0,0.0,2,승무원,0
202101,기타,-93.4,연도대륙,61.0,4.0,2,전체,0
202101,기타,-88.6,기타,35.0,4.0,3,남성,1
202101,기타,-100.0,기타,10.0,0.0,3,여성,1
202101,기타,-100.0,기타,16.0,0.0,3,승무원,1
202101,기타,-93.4,기타,61.0,4.0,3,전체,1
202101,교포,-90.3,연도대륙,3680.0,357.0,2,남성,0
202101,교포,-91.1,연도대륙,5112.0,454.0,2,여성,0
202101,교포,0.0,연도대륙,0.0,0.0,2,승무원,0
202101,교포,-90.8,연도대륙,8792.0,811.0,2,전체,0
202101,교포,-90.3,교포,3680.0,357.0,3,남성,1
202101,교포,-91.1,교포,5112.0,454.0,3,여성,1
202101,교포,0.0,교포,0.0,0.0,3,승무원,1
202101,교포,-90.8,교포,8792.0,811.0,3,전체,1
202102,대륙전체,-92.9,연도,283669.0,20224.0,1,남성,0
202102,대륙전체,-95.8,연도,349083.0,14769.0,1,여성,0
202102,대륙전체,-41.7,연도,52460.0,30589.0,1,승무원,0
202102,대륙전체,-90.4,연도,685212.0,65582.0,1,전체,0
202102,아시아,-93.7,연도대륙,220271.0,13833.0,2,남성,0
202102,아시아,-97.2,연도대륙,300329.0,8432.0,2,여성,0
202102,아시아,-48.4,연도대륙,31849.0,16444.0,2,승무원,0
202102,아시아,-93.0,연도대륙,552449.0,38709.0,2,전체,0
202102,아시아,-90.9,중국,52686.0,4804.0,3,남성,1
202102,아시아,-91.2,중국,48043.0,4247.0,3,여성,1
202102,아시아,-12.7,중국,3357.0,2931.0,3,승무원,1
202102,아시아,-88.5,중국,104086.0,11982.0,3,전체,1
202102,아시아,-99.1,일본,67646.0,636.0,3,남성,2
202102,아시아,-99.3,일본,141475.0,1018.0,3,여성,2
202102,아시아,-96.9,일본,2078.0,65.0,3,승무원,2
202102,아시아,-99.2,일본,211199.0,1719.0,3,전체,2
202102,아시아,-99.4,대만,18859.0,110.0,3,남성,3
202102,아시아,-99.4,대만,33722.0,218.0,3,여성,3
202102,아시아,-74.8,대만,461.0,116.0,3,승무원,3
202102,아시아,-99.2,대만,53042.0,444.0,3,전체,3
202102,아시아,-99.6,홍콩,7812.0,33.0,3,남성,4
202102,아시아,-99.4,홍콩,12946.0,79.0,3,여성,4
202102,아시아,-91.8,홍콩,208.0,17.0,3,승무원,4
202102,아시아,-99.4,홍콩,20966.0,129.0,3,전체,4
202102,아시아,-98.9,마카오,184.0,2.0,3,남성,5
202102,아시아,-99.4,마카오,317.0,2.0,3,여성,5
202102,아시아,-100.0,마카오,2.0,0.0,3,승무원,5
202102,아시아,-99.2,마카오,503.0,4.0,3,전체,5
202102,아시아,-75.5,필리핀,8351.0,2046.0,3,남성,6
202102,아시아,-99.3,필리핀,5958.0,39.0,3,여성,6
202102,아시아,-1.7,필리핀,6023.0,5921.0,3,승무원,6
202102,아시아,-60.6,필리핀,20332.0,8006.0,3,전체,6
202102,아시아,-75.7,인도네시아,5554.0,1347.0,3,남성,7
202102,아시아,-95.9,인도네시아,8073.0,334.0,3,여성,7
202102,아시아,-14.3,인도네시아,2173.0,1862.0,3,승무원,7
202102,아시아,-77.6,인도네시아,15800.0,3543.0,3,전체,7
202102,아시아,-98.9,태국,10436.0,119.0,3,남성,8
202102,아시아,-99.1,태국,16741.0,156.0,3,여성,8
202102,아시아,-97.2,태국,4600.0,130.0,3,승무원,8
202102,아시아,-98.7,태국,31777.0,405.0,3,전체,8
202102,아시아,-95.6,베트남,15353.0,672.0,3,남성,9
202102,아시아,-93.6,베트남,11134.0,716.0,3,여성,9
202102,아시아,-91.8,베트남,3826.0,314.0,3,승무원,9
202102,아시아,-94.4,베트남,30313.0,1702.0,3,전체,9
202102,아시아,-71.3,인도,3483.0,1001.0,3,남성,10
202102,아시아,-69.8,인도,586.0,177.0,3,여성,10
202102,아시아,-35.5,인도,1770.0,1142.0,3,승무원,10
202102,아시아,-60.3,인도,5839.0,2320.0,3,전체,10
202102,아시아,-98.3,말레이시아,6671.0,113.0,3,남성,11
202102,아시아,-98.6,말레이시아,9624.0,139.0,3,여성,11
202102,아시아,-93.7,말레이시아,2246.0,142.0,3,승무원,11
