region,year,vis,stay_hours,overnight_vis,overnight_hours,daytrip_vis,daytrip_hours,n1,n2,n3to6,n7p,overnight_ex7_vis,overnight_ex7_hours,avg_stay,daytrip_stay,overnight_stay,overnight_ex7_stay,daytrip_share,overnight_share,n1_share_all,n2_share_all,n3to6_share_all,n7_share_all,n1_share_ovn,n2_share_ovn,n3to6_share_ovn,n7_share_ovn
삼척시,2019,5671729.0,184573889.26999998,1111965.0,162565139.82999998,4559764.0,22008749.44,743380.0,233824.0,98849.0,35912.0,1076053.0,81864034.36,32.54279061464326,4.826729944795389,146.19627401042297,76.07806897987366,80.3946027745684,19.60539722543161,13.106761624189026,4.122622925037497,1.7428371489540488,0.6331755272510375,66.85282360505951,21.027999982013824,8.889578359031084,3.229598053895581
삼척시,2020,5434747.0,168665794.86,1061462.0,147462204.50000006,4373285.0,21203590.36,696007.0,236683.0,94927.0,33845.0,1027617.0,74924932.80999999,31.03470959365726,4.848435526154824,138.9236774373459,72.91134032426477,80.46897123269952,19.531028767300484,12.806612708926469,4.354995733932049,1.7466682441703358,0.6227520802716299,65.57059979537657,22.297830727807497,8.943042709018316,3.1885267677976223
삼척시,2021,5253828.0,150923776.28999996,1063035.0,130169343.20999998,4190793.0,20754433.08,699765.0,243338.0,90583.0,29349.0,1033686.0,68509250.30999999,28.726440281257773,4.952388027755129,122.4506655096022,66.27665491261368,79.76646742146869,20.23353257853131,13.319145582992059,4.631632402126602,1.7241333366832718,0.558621256729379,65.82708941850457,22.890873771794908,8.521168164735874,2.760868644964653
삼척시,2022,5891855.0,182182416.9,1213134.0,159858525.70000002,4678721.0,22323891.2,783050.0,286609.0,105477.0,37998.0,1175136.0,78871765.80000001,30.92106253463468,4.771366191743427,131.77318062143178,67.11713861204151,79.40998208543829,20.590017914561713,13.290381382433885,4.864495137779189,1.790217172690095,0.6449242216585439,64.54769217580251,23.625502211627076,8.69458773721617,3.1322178753542476
삼척시,2023,6134683.0,178244200.46000004,1316726.0,155295248.14000002,4817957.0,22948952.32,850574.0,319123.0,112577.0,34452.0,1282274.0,81854806.39999999,29.055160708385426,4.76321235743698,117.94044329647932,63.835659461238386,78.53636447066621,21.46363552933379,13.865003293568714,5.2019476801001785,1.8350907455201841,0.5615938101447133,64.59764597949763,24.236097715090306,8.549766618111892,2.616489687300167
삼척시,2024,6301076.0,159450521.94,1210263.0,137831331.27999997,5090813.0,21619190.659999996,779792.0,297304.0,103095.0,30072.0,1180191.0,73947468.66000001,25.30528467518881,4.2467068933783265,113.88543752886767,62.65720435082119,80.79275666568694,19.20724333431306,12.375537130483746,4.71830525453113,1.6361491275458349,0.47725182175234837,64.43161527701004,24.56523912571069,8.51839641466359,2.4847491826156793
삼척시,2025,6537903.0,158703759.99999997,1199717.0,136440798.45,5338186.0,22262961.55,767802.0,301252.0,102760.0,27903.0,1171814.0,74006969.03999999,24.27441337077041,4.1705106472498334,113.72748610714025,63.15590105596963,81.64981952164172,18.350180478358276,11.743857319388189,4.607777141997977,1.5717577945099523,0.4267882224621564,63.99859300151619,25.110255168510577,8.565353329160127,2.3257985008131086
삼척시,2026,6278488.0,156876290.21,1175755.0,135788493.11999997,5102733.0,21087797.09,746252.0,299449.0,101783.0,28271.0,1147484.0,73820645.33,24.986316802707915,4.132647561610612,115.4904662280832,64.33261407566467,81.27327789748105,18.72672210251895,11.885855320580369,4.769444490456938,1.6211387200230374,0.450283571458606,63.470025643097415,25.46865631020068,8.656820511075862,2.4044975356260445
속초시,2018,10240805.0,225693240.3,2584644.0,183618829.07,7656161.0,42074411.230000004,1891857.0,511903.0,140997.0,39887.0,2544757.0,111715638.13,22.038622969581006,5.495497185861165,71.0422128037749,43.900316662848354,74.76132003294663,25.238679967053372,18.473713736371312,4.998659773328367,1.3768155921336263,0.38949086522006815,73.19603782958117,19.805551557583946,5.455180674785386,1.5432299380494954
속초시,2019,10426078.0,248524656.08,2545700.0,206554704.49999997,7880378.0,41969951.58,1863583.0,498735.0,141200.0,42182.0,2503518.0,120062655.51000004,23.83683069319067,5.325880507254855,81.13866696782809,47.957576302626954,75.58334015916628,24.416659840833724,17.87424763175568,4.783534134312059,1.354296409445623,0.4045816653203631,73.20513021958597,19.591271555957103,5.546608005656598,1.65699021880033
속초시,2020,10690084.0,262136733.38,2526993.0,220390763.8,8163091.0,41745969.58,1814268.0,518496.0,148857.0,45372.0,2481621.0,127041076.32000004,24.52148489946384,5.113990470031511,87.21463169862362,51.19277936477812,76.36133635619701,23.63866364380299,16.971503685097332,4.850251878282715,1.3924773650048026,0.4244307154181389,71.7955293109241,20.51829981325631,5.890677180348343,1.7954936954712577
속초시,2021,10301653.0,232247227.01000002,2484783.0,193157936.58,7816870.0,39089290.43,1767901.0,523702.0,152222.0,40958.0,2443825.0,116011380.74999996,22.544656377961868,5.0006320215124465,77.736340187453,47.47123085736497,75.87976415047177,24.12023584952823,17.161333234578954,5.083669581959323,1.4776463544248675,0.3975866785650808,71.14911040521446,21.076367634517784,6.126168764032915,1.6483531962348423
속초시,2022,12099441.0,282001239.67,3088011.0,235794630.61,9011430.0,46206609.06,2131183.0,723094.0,183447.0,50287.0,3037724.0,137638048.89,23.3069643192607,5.127555677622753,76.35809283386621,45.30959655650085,74.47806886285076,25.521931137149227,17.613896377526864,5.97625956438814,1.5161609532208968,0.41561424201332936,69.01474768062678,23.416173064150357,5.940620030174763,1.6284592250480974
속초시,2023,12072752.0,271572260.98,3198545.0,225236526.82,8874207.0,46335734.16,2205458.0,754866.0,191912.0,46309.0,3152236.0,137911521.89000002,22.494644218650397,5.221394335291029,70.41843301251038,43.75037969555579,73.50608212609686,26.49391787390315,18.268063487098882,6.252642313865141,1.5896292742532938,0.383582798685834,68.95191407343026,23.6002932583409,5.999978115049187,1.447814553179649
속초시,2024,12185388.0,235829241.0,3051463.0,191606018.61,9133925.0,44223222.39,2107597.0,732767.0,175268.0,35831.0,3015632.0,125090229.96999997,19.353445372441158,4.841645009128058,62.79152610075889,41.480601734561766,74.95801528847501,25.041984711524982,17.2961008709776,6.01348927092022,1.43834566449587,0.29404890513129334,69.06841079180708,24.013628872445775,5.743736692858475,1.1742236428886734
속초시,2025,12976431.0,252680540.8599999,3169681.0,203865407.85,9806750.0,48815133.01,2166431.0,786275.0,180821.0,36154.0,3133527.0,132055169.87,19.47226790324704,4.977707498406709,64.31732652276365,42.14266220460203,75.5735533136962,24.42644668630381,16.695122102525726,6.059254659466844,1.393457106965698,0.2786128173455398,68.34854990139387,24.806124023206124,5.704706561953711,1.1406195134463057
