시군,체험문화_2024,체험문화_2026,방문_2026,①체험문화_변화율,②평균숙박일수,③저녁전환율,④야간방문비중,①체험문화_변화율_문제백분위,②평균숙박일수_문제백분위,③저녁전환율_문제백분위,④야간방문비중_문제백분위,진단점수,순위,유형,순위_P10,순위_P90,상위20_비율
강화군,428.3086167203275,429.4228053280039,11592484.0,0.002601368649101765,3.0316666666666667,0.5017127461023156,0.09795521639820501,43.75,87.5,60.41666666666667,39.583333333333336,57.81250000000001,41,평균숙박일수,18,77,0.124
장수군,71.93584976644277,98.79249903250555,1767452.0,0.37334165584002155,3.5091666666666668,0.4561540734946747,0.0805898365967263,8.333333333333337,56.25,84.72222222222221,79.16666666666666,57.11805555555555,42,저녁전환율 · 야간방문비중,24,101,0.048
부안군,110.562467687206,101.48031144203846,7143159.0,-0.08214502113739008,3.079166666666667,0.5120294507654345,0.10450723046977328,67.36111111111111,81.25,55.55555555555556,23.611111111111114,56.94444444444445,43,평균숙박일수,23,91,0.059
연천군,194.7625091090714,169.9280791470455,6157046.0,-0.12751134741295644,3.655,0.5155042098452083,0.08735337285851809,78.47222222222221,30.90277777777778,53.47222222222222,64.58333333333333,56.857638888888886,44,체험문화,30,81,0.001
양평군,152.2936809715294,185.35858374903808,19514451.0,0.21711276900379084,3.141666666666667,0.5001634075447203,0.08443647418207441,15.972222222222221,79.16666666666666,61.111111111111114,70.83333333333333,56.77083333333333,45,평균숙박일수,20,97,0.1
영월군,322.367230849678,306.24537919623725,5571271.0,-0.050010826506613704,3.484166666666667,0.48559872372661955,0.10087622625898182,61.111111111111114,59.72222222222222,73.61111111111111,31.25,56.423611111111114,46,-,33,83,0.0
남해군,242.12297300958963,116.03170997437626,6132203.0,-0.5207736443506307,2.6241666666666665,0.5632702050158402,0.1224509313983882,98.61111111111111,95.83333333333334,23.611111111111114,6.25,56.07638888888889,47,체험문화 · 평균숙박일수,6,110,0.268
산청군,75.62400651899695,123.59625063453524,5082460.0,0.6343520572860357,3.5641666666666665,0.4440822876622906,0.0785522304890004,5.555555555555558,47.916666666666664,88.19444444444444,82.63888888888889,56.076388888888886,48,저녁전환율 · 야간방문비중,24,107,0.052
신안군,124.59059941125311,125.19993673732725,5020338.0,0.004890716706986931,2.768333333333333,0.5065869887551044,0.10290081415673089,43.05555555555556,93.75,59.72222222222222,27.083333333333336,55.90277777777778,49,평균숙박일수,15,92,0.152
김포시,377.6466988687262,350.5411371082572,35067268.0,-0.07177492042606515,3.3266666666666667,0.5426244253561806,0.09343272507253608,65.27777777777779,71.52777777777779,34.72222222222222,48.611111111111114,55.03472222222223,50,-,36,78,0.0
순천시,220.9923762697426,192.76866017506072,18379222.0,-0.1277135282722699,3.36,0.5351460729753085,0.10046746195214147,79.16666666666666,69.09722222222221,39.583333333333336,31.944444444444443,54.94791666666666,51,체험문화,30,86,0.005
옹진군,270.62117845973705,257.790450877366,4835439.0,-0.04741213402217148,2.4725,0.5389673467016247,0.1040022761667434,59.02777777777778,99.30555555555556,36.111111111111114,25.0,54.861111111111114,52,평균숙박일수,12,97,0.169
울진군,267.89713086074175,123.45226969487565,5814482.0,-0.5391803215725793,3.0574999999999997,0.5545923182691432,0.12008185668734235,99.30555555555556,84.72222222222221,27.083333333333336,8.333333333333337,54.861111111111114,52,체험문화 · 평균숙박일수,9,109,0.213
양주시,347.49983885180313,337.53218461373854,22654847.0,-0.028683910389712297,3.589166666666667,0.5140403160510849,0.08437959496197366,52.08333333333333,39.583333333333336,54.861111111111114,71.52777777777779,54.513888888888886,54,-,42,76,0.0
함안군,72.28738619342651,79.05985849911083,7838820.0,0.0936881614112115,3.9941666666666666,0.45009974768884653,0.06482433827209438,29.166666666666664,6.25,86.11111111111111,96.52777777777779,54.513888888888886,54,저녁전환율 · 야간방문비중,20,117,0.116
