R:기초단체,R:광역단체,R:기준연월,C:숙박일수,C:방문자유형별,V:관광객수,V:숙박자수,V:숙박체류시간
경산시,경상북도,202608,2박,외국인(c),393.0,3.96,22330.09
경산시,경상북도,202608,2박,외지인(b),33347.0,2.99,3096156.22
경산시,경상북도,202608,3박,외국인(c),262.0,3.96,37864.34
경산시,경상북도,202608,3박,외지인(b),14937.0,2.99,3742288.9
경산시,경상북도,202608,4박,외국인(c),145.0,3.96,42103.56
경산시,경상북도,202608,4박,외지인(b),7075.0,2.99,3706881.36
경산시,경상북도,202608,5박,외국인(c),112.0,3.96,55761.53
경산시,경상북도,202608,5박,외지인(b),4489.0,2.99,3602627.64
경산시,경상북도,202608,6박,외국인(c),121.0,3.96,78247.3
경산시,경상북도,202608,6박,외지인(b),3053.0,2.99,3400989.37
경산시,경상북도,202608,7박이상,외국인(c),311.0,3.96,343912.13
경산시,경상북도,202608,7박이상,외지인(b),12351.0,2.99,24934637.9
경산시,경상북도,202608,무박,외국인(c),5566.0,0.0,38628.19
경산시,경상북도,202608,무박,외지인(b),2039288.0,0.0,6665864.0
경주시,경상북도,202608,1박,외국인(c),4143.0,2.83,92842.79
경주시,경상북도,202608,1박,외지인(b),503017.0,2.47,13914883.21
경주시,경상북도,202608,2박,외국인(c),2739.0,2.83,111186.9
경주시,경상북도,202608,2박,외지인(b),167531.0,2.47,7868380.72
경주시,경상북도,202608,3박,외국인(c),678.0,2.83,90995.33
경주시,경상북도,202608,3박,외지인(b),28838.0,2.47,4918573.42
경주시,경상북도,202608,4박,외국인(c),250.0,2.83,67070.36
경주시,경상북도,202608,4박,외지인(b),9558.0,2.47,3822366.84
경주시,경상북도,202608,5박,외국인(c),168.0,2.83,77647.07
경주시,경상북도,202608,5박,외지인(b),4876.0,2.47,3748353.65
경주시,경상북도,202608,6박,외국인(c),61.0,2.83,42192.86
경주시,경상북도,202608,6박,외지인(b),2463.0,2.47,2723667.67
